mean,Var1,Var2,q2.5,q97.5,rhat,sd,ess_bulk,ess_tail,condition,comorbidity,repo
0.41,Pain,Cardiovascular,0.393,0.436,1,0.011,1358.78,1709.86,Psoriasis,Pain : Cardiovascular,SAIL-age restricted
0.58,Cardiovascular,Arthritis,0.557,0.595,1.003,0.01,1361.49,1873.87,Psoriasis,Cardiovascular : Arthritis,SAIL-age restricted
0.22,Cardiovascular,Anxiety,0.191,0.242,1.004,0.013,1421.28,1776.88,Psoriasis,Cardiovascular : Anxiety,SAIL-age restricted
0.12,Cardiovascular,Asthma,0.087,0.145,1,0.015,1857.1,2041.99,Psoriasis,Cardiovascular : Asthma,SAIL-age restricted
0.02,Cardiovascular,Acid-related disease,-0.005,0.055,1.003,0.015,1440.11,1921.1,Psoriasis,Cardiovascular : Acid-related disease,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Psoriasis,Pain : Pain,SAIL-age restricted
0.58,Pain,Arthritis,0.566,0.601,1,0.009,1714.76,2196.56,Psoriasis,Pain : Arthritis,SAIL-age restricted
0.37,Pain,Anxiety,0.351,0.397,1.001,0.012,1790.9,2384.32,Psoriasis,Pain : Anxiety,SAIL-age restricted
0.26,Pain,Asthma,0.237,0.29,1.002,0.013,2330.9,2065.53,Psoriasis,Pain : Asthma,SAIL-age restricted
0.16,Pain,Acid-related disease,0.133,0.191,1,0.014,1664.63,2344.55,Psoriasis,Pain : Acid-related disease,SAIL-age restricted
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Psoriasis,Arthritis : Arthritis,SAIL-age restricted
0.21,Arthritis,Anxiety,0.183,0.232,1.001,0.013,1438.62,2089.12,Psoriasis,Arthritis : Anxiety,SAIL-age restricted
0.1,Asthma,Arthritis,0.076,0.132,1.003,0.014,1596.01,2163.66,Psoriasis,Asthma : Arthritis,SAIL-age restricted
-0.29,Arthritis,Acid-related disease,-0.324,-0.266,1,0.015,1292.26,1786.37,Psoriasis,Arthritis : Acid-related disease,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Psoriasis,Anxiety : Anxiety,SAIL-age restricted
0.23,Asthma,Anxiety,0.201,0.259,1,0.015,1688.83,1802.3,Psoriasis,Asthma : Anxiety,SAIL-age restricted
0.22,Anxiety,Acid-related disease,0.188,0.245,1,0.015,2047.2,2356.53,Psoriasis,Anxiety : Acid-related disease,SAIL-age restricted
1,Asthma,Asthma,1,1,NA,0,NA,NA,Psoriasis,Asthma : Asthma,SAIL-age restricted
0.21,Asthma,Acid-related disease,0.183,0.245,1.001,0.016,1570.9,2139.36,Psoriasis,Asthma : Acid-related disease,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Psoriasis,Acid-related disease : Acid-related disease,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Restless_legs_syndrome,Pain : Pain,SAIL-age restricted
0.35,Pain,Cardiovascular,0.316,0.375,1.002,0.015,1751.63,1973.36,Restless_legs_syndrome,Pain : Cardiovascular,SAIL-age restricted
0.46,Pain,Arthritis,0.438,0.492,1.002,0.014,1498.49,1873.64,Restless_legs_syndrome,Pain : Arthritis,SAIL-age restricted
0.36,Pain,Anxiety,0.328,0.387,1.001,0.015,1657.24,2165.92,Restless_legs_syndrome,Pain : Anxiety,SAIL-age restricted
0.12,Pain,Acid-related disease,0.083,0.151,1,0.017,1581.89,1914.45,Restless_legs_syndrome,Pain : Acid-related disease,SAIL-age restricted
0.27,Pain,Asthma,0.233,0.3,1.001,0.017,2047.9,2253.09,Restless_legs_syndrome,Pain : Asthma,SAIL-age restricted
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Restless_legs_syndrome,Cardiovascular : Cardiovascular,SAIL-age restricted
0.44,Cardiovascular,Arthritis,0.41,0.464,1,0.014,1868.95,2429.29,Restless_legs_syndrome,Cardiovascular : Arthritis,SAIL-age restricted
0.13,Cardiovascular,Anxiety,0.095,0.16,1.001,0.016,2277.63,2299.61,Restless_legs_syndrome,Cardiovascular : Anxiety,SAIL-age restricted
0.01,Cardiovascular,Acid-related disease,-0.027,0.043,0.999,0.018,1910.52,2278.78,Restless_legs_syndrome,Cardiovascular : Acid-related disease,SAIL-age restricted
0.1,Cardiovascular,Asthma,0.06,0.131,1,0.018,2259.11,2469.63,Restless_legs_syndrome,Cardiovascular : Asthma,SAIL-age restricted
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Restless_legs_syndrome,Arthritis : Arthritis,SAIL-age restricted
0.16,Arthritis,Anxiety,0.125,0.189,1.002,0.016,1642.84,1493.65,Restless_legs_syndrome,Arthritis : Anxiety,SAIL-age restricted
-0.38,Arthritis,Acid-related disease,-0.408,-0.344,1.003,0.016,1741.74,2020.45,Restless_legs_syndrome,Arthritis : Acid-related disease,SAIL-age restricted
0.07,Asthma,Arthritis,0.041,0.107,1,0.017,2213.19,2239.83,Restless_legs_syndrome,Asthma : Arthritis,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Restless_legs_syndrome,Anxiety : Anxiety,SAIL-age restricted
0.17,Anxiety,Acid-related disease,0.138,0.205,1,0.017,2404.87,2404.05,Restless_legs_syndrome,Anxiety : Acid-related disease,SAIL-age restricted
0.24,Asthma,Anxiety,0.207,0.274,1,0.017,2456.54,2061.99,Restless_legs_syndrome,Asthma : Anxiety,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Restless_legs_syndrome,Acid-related disease : Acid-related disease,SAIL-age restricted
0.17,Asthma,Acid-related disease,0.13,0.201,1,0.018,1849.63,2198.74,Restless_legs_syndrome,Asthma : Acid-related disease,SAIL-age restricted
1,Asthma,Asthma,1,1,NA,0,NA,NA,Restless_legs_syndrome,Asthma : Asthma,SAIL-age restricted
