mean,CI2.5,CI97.5,sd,n_eff,rhat,trial,condition,repo,comorbidity,Var1,Var2
0.17,-0.159,0.483,0.168,694.05,1.006,BI502_327,Hypertension,Vivli,Asthma : Diabetes,Asthma,Diabetes
0.28,0.057,0.49,0.111,1640.96,1,BI502_376,Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
0.21,-0.095,0.494,0.15,1448.53,1.002,BI502_376,Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.18,-0.049,0.405,0.118,1305.42,1.001,BI502_376,Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
0.25,-0.032,0.495,0.132,1500.65,1.001,BI502_376,Hypertension,Vivli,Asthma : Pain,Asthma,Pain
0.1,-0.174,0.36,0.137,1255.71,1.002,BI502_376,Hypertension,Vivli,Diabetes : Pain,Diabetes,Pain
-0.42,-0.746,-0.016,0.189,276.37,1.023,BI502_376,Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.29,0.067,0.488,0.111,1426.6,1.001,BI502_376,Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.3,0.041,0.531,0.128,1383.66,1.001,BI502_376,Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.2,-0.05,0.457,0.13,1257.57,1,BI502_376,Hypertension,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
0.19,-0.095,0.475,0.148,647.95,1.005,BI502_376,Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.12,-0.245,0.454,0.178,664.26,1,BI502_376,Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.03,-0.39,0.337,0.188,497.11,1.004,BI502_376,Hypertension,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
0.01,-0.285,0.301,0.153,1426.65,1.002,BI502_376,Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0,-0.301,0.29,0.151,1496.31,1.001,BI502_376,Hypertension,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
-0.02,-0.382,0.321,0.181,1016.15,1.002,BI502_376,Hypertension,Vivli,Asthma : Diabetes,Asthma,Diabetes
0.24,0.108,0.379,0.071,1620.12,1.001,BI502_391,Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
0.03,-0.159,0.215,0.096,1275.37,1,BI502_391,Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.3,0.141,0.447,0.078,1568.89,1.001,BI502_391,Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
0.18,-0.039,0.373,0.105,2006.58,0.999,BI502_391,Hypertension,Vivli,Asthma : Pain,Asthma,Pain
0.01,-0.229,0.247,0.122,1118.32,1.001,BI502_391,Hypertension,Vivli,Diabetes : Pain,Diabetes,Pain
-0.64,-0.85,-0.377,0.122,228.43,1.005,BI502_391,Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.25,0.09,0.4,0.081,875.93,1.002,BI502_391,Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.05,-0.16,0.249,0.105,1082.57,1.002,BI502_391,Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
-0.18,-0.42,0.069,0.127,573.54,1.002,BI502_391,Hypertension,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
0.12,-0.074,0.322,0.1,823.06,1.005,BI502_391,Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.07,-0.178,0.314,0.127,442.46,1.014,BI502_391,Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.13,-0.412,0.17,0.151,446.28,1.003,BI502_391,Hypertension,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
-0.04,-0.287,0.217,0.128,1337.75,1.001,BI502_391,Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.19,-0.057,0.427,0.123,1264.8,1.003,BI502_391,Hypertension,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
-0.02,-0.356,0.302,0.172,904.52,1.003,BI502_391,Hypertension,Vivli,Asthma : Diabetes,Asthma,Diabetes
0.32,0.205,0.435,0.059,2042.07,0.999,BI502_392,Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
0.19,0.035,0.346,0.08,1265.24,1.003,BI502_392,Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.12,-0.042,0.265,0.079,1486.31,1.001,BI502_392,Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
0.18,0.004,0.36,0.091,2121.97,0.999,BI502_392,Hypertension,Vivli,Asthma : Pain,Asthma,Pain
-0.09,-0.276,0.095,0.095,1484.93,1.003,BI502_392,Hypertension,Vivli,Diabetes : Pain,Diabetes,Pain
-0.69,-0.836,-0.513,0.084,193.94,1.028,BI502_392,Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.34,0.201,0.474,0.068,1026.33,1,BI502_392,Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.02,-0.171,0.195,0.093,833.75,1.002,BI502_392,Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
-0.07,-0.235,0.1,0.085,840.52,1.001,BI502_392,Hypertension,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
0.02,-0.17,0.23,0.104,504.36,1.001,BI502_392,Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.14,-0.079,0.356,0.113,408.97,1.001,BI502_392,Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.07,-0.316,0.184,0.125,335.86,1.01,BI502_392,Hypertension,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
0.22,0.012,0.406,0.1,1863.94,0.999,BI502_392,Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.08,-0.291,0.132,0.108,1428.1,1.001,BI502_392,Hypertension,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
-0.05,-0.33,0.218,0.142,1067.81,1.001,BI502_392,Hypertension,Vivli,Asthma : Diabetes,Asthma,Diabetes
0.15,-0.142,0.456,0.153,270.37,1.003,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.06,-0.294,0.407,0.18,290.36,1.002,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
-0.21,-0.429,0.02,0.118,629.37,1.004,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
-0.28,-0.489,-0.04,0.117,632.21,1,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
-0.04,-0.41,0.335,0.191,509.17,1.006,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.49,0.319,0.647,0.083,1229.06,1.001,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
-0.05,-0.238,0.132,0.093,977.08,1.001,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.2,0.018,0.374,0.093,1296.53,1.003,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.08,-0.179,0.329,0.131,729.66,1.006,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.23,-0.498,0.066,0.146,290.85,1.012,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.21,-0.005,0.42,0.108,865.22,1.003,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.08,-0.232,0.387,0.157,681.12,1.002,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.11,-0.086,0.288,0.095,838.81,1.007,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.09,-0.175,0.342,0.133,1001.99,1.001,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.11,-0.421,0.203,0.159,597.54,1.004,BI502_396,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.17,-0.034,0.364,0.103,479.49,1.008,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.09,-0.114,0.29,0.103,606.86,1.004,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.15,-0.049,0.35,0.103,253.78,1.017,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.24,0.032,0.435,0.102,403.17,1.007,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.26,-0.028,0.575,0.154,281.1,1.003,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.3,0.165,0.431,0.069,1033.35,1,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
0.21,0.067,0.348,0.072,553.47,1.008,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.27,0.137,0.402,0.067,1086.29,1.001,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.21,0.032,0.377,0.087,1640.31,0.999,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.68,-0.843,-0.47,0.096,117.76,1.015,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.14,-0.011,0.277,0.073,344.83,1.011,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.18,-0.006,0.349,0.091,405.78,1.014,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.24,0.101,0.361,0.067,687.4,1.004,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.05,-0.139,0.241,0.097,458.6,1.006,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.19,0.011,0.36,0.09,1997.04,1,BI502_397,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.03,-0.344,0.293,0.165,3696.83,0.999,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.25,0.077,0.414,0.086,3223.67,1,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
-0.05,-0.221,0.118,0.087,2126.58,1,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.22,0.021,0.422,0.102,2390.12,1,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.17,-0.118,0.432,0.139,2794.54,1,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.31,-0.012,0.61,0.16,601.15,1.003,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
-0.35,-0.779,0.123,0.239,233.27,1.005,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.04,-0.397,0.451,0.22,459.93,1.001,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.21,-0.243,0.592,0.217,774.63,1.008,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.64,-0.864,-0.35,0.132,353.37,1.009,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.23,0.025,0.434,0.105,1896.2,1,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.17,-0.118,0.439,0.145,1838.1,1.001,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.13,-0.105,0.345,0.117,1376.31,1.001,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.07,-0.231,0.361,0.152,1437.55,1.001,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.04,-0.302,0.363,0.17,1882.56,1,BI502_413,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.43,0.243,0.591,0.089,1490.52,0.999,BI502_550,Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
0.51,0.31,0.684,0.096,1379.12,1,BI502_550,Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.39,0.197,0.57,0.096,1151.43,1.001,BI502_550,Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
0.28,0.057,0.488,0.112,912.16,1.005,BI502_550,Hypertension,Vivli,Asthma : Pain,Asthma,Pain
0.22,0.033,0.395,0.091,698.42,1.004,BI502_550,Hypertension,Vivli,Diabetes : Pain,Diabetes,Pain
-0.21,-0.515,0.107,0.158,379.22,1.006,BI502_550,Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.17,-0.056,0.392,0.115,580.99,1.004,BI502_550,Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.45,0.236,0.639,0.103,1302.82,1.002,BI502_550,Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.04,-0.179,0.237,0.108,756.06,1.002,BI502_550,Hypertension,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
0.48,0.256,0.671,0.107,468.37,1,BI502_550,Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.21,-0.088,0.494,0.15,434.98,1.009,BI502_550,Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.05,-0.308,0.222,0.137,176.81,1.028,BI502_550,Hypertension,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
0.41,0.17,0.626,0.115,1744.02,1.001,BI502_550,Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.15,-0.08,0.362,0.114,937.47,1.004,BI502_550,Hypertension,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
0.15,-0.078,0.37,0.115,819.34,1.001,BI502_550,Hypertension,Vivli,Asthma : Diabetes,Asthma,Diabetes
0.09,0.007,0.175,0.043,1911.31,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.26,0.175,0.341,0.043,1420.09,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Arthritis : Pain,Arthritis,Pain
-0.29,-0.37,-0.21,0.041,1315.55,1.002,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.34,0.251,0.423,0.045,2082.26,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Anxiety : Pain,Anxiety,Pain
0.24,0.126,0.34,0.055,1438.01,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Asthma : Pain,Asthma,Pain
0.4,0.321,0.476,0.04,1609.43,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
-0.42,-0.491,-0.338,0.04,1512.2,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.15,0.06,0.244,0.047,2057.15,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.15,0.038,0.254,0.057,1943.75,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
-0.99,-0.994,-0.983,0.003,1878.57,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.18,0.08,0.268,0.05,1290.55,1.002,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.14,0.029,0.254,0.058,1697.39,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Arthritis : Asthma,Arthritis,Asthma
-0.13,-0.22,-0.033,0.049,1522.64,1.002,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
-0.08,-0.194,0.032,0.058,1731.55,1,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.17,0.048,0.298,0.063,1893.49,0.999,LILLY_B3D_MC_GHAC,Osteoporosis,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.12,-0.027,0.275,0.077,2045.78,1.002,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.11,-0.039,0.25,0.076,1709.44,1,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Arthritis : Pain,Arthritis,Pain
-0.1,-0.247,0.044,0.077,1582.34,1,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.32,0.156,0.467,0.08,2651.29,1,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Anxiety : Pain,Anxiety,Pain
0.21,0.032,0.378,0.089,2689.17,1,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Asthma : Pain,Asthma,Pain
0.11,-0.028,0.255,0.072,2047.57,1,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
-0.12,-0.263,0.02,0.073,1746.53,1.001,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.02,-0.138,0.191,0.083,2257.69,1.002,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.1,-0.084,0.282,0.094,2407.48,1,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
-0.99,-0.995,-0.97,0.007,1834.02,1,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.03,-0.136,0.196,0.084,1846.99,1.001,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.22,-0.388,-0.04,0.087,2012.41,1,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.03,-0.132,0.2,0.085,1473.16,1,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.2,0.025,0.371,0.088,1939.89,1.001,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.02,-0.179,0.224,0.103,2031.26,1.001,LILLY_B3D_US_GHBZ,Osteoporosis,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.25,0.083,0.403,0.083,2983.81,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.23,0.062,0.391,0.086,2450.97,1,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.36,0.153,0.543,0.1,1982.18,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.2,0.034,0.348,0.081,2785.6,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.08,-0.089,0.239,0.082,1345.79,1.002,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.31,0.138,0.468,0.085,2690.79,1,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Asthma : Pain,Asthma,Pain
0.26,0.057,0.454,0.101,2379.36,0.999,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
0.41,0.255,0.553,0.076,2102.38,1,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
0.16,0.001,0.328,0.085,1388.27,1.003,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.2,-0.006,0.405,0.107,2286.39,1.003,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.24,0.078,0.401,0.084,2267.7,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.21,0.031,0.366,0.085,1287.59,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.16,-0.057,0.357,0.104,957.69,1.003,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.65,-0.831,-0.414,0.109,234.46,1.007,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.24,0.083,0.393,0.08,2228.94,0.999,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.09,-0.141,0.319,0.116,3792.99,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.1,-0.063,0.266,0.084,3494.72,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.16,-0,0.316,0.082,2570.38,1.001,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
-0.1,-0.299,0.099,0.101,3140.51,1.001,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.36,0.162,0.519,0.092,2645.76,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.45,0.204,0.654,0.115,804.34,1.005,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Pain,Arthritis,Pain
0.11,-0.18,0.382,0.144,696.69,1.01,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.47,0.214,0.679,0.121,1225.61,1.002,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Pain,Asthma,Pain
0.23,-0.069,0.508,0.151,762.96,1.002,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Pain,Anxiety,Pain
-0.5,-0.737,-0.232,0.131,395.29,1.006,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.25,0.029,0.464,0.112,1563.04,1.001,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.24,0.022,0.451,0.109,1574.21,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.02,-0.271,0.233,0.13,1354.32,1.002,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.42,0.229,0.602,0.096,2438.24,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
-0.09,-0.383,0.202,0.149,1622.57,1.004,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.06,-0.126,0.25,0.096,3518.6,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.21,0.053,0.363,0.079,3553.07,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.04,-0.152,0.244,0.102,2284.25,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.13,-0.103,0.355,0.119,3455.45,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.15,-0.052,0.348,0.103,2787.83,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.17,-0.015,0.355,0.096,2391.41,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Pain,Arthritis,Pain
0.19,-0.048,0.413,0.117,1878.58,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.05,-0.248,0.333,0.148,2378.39,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Pain,Asthma,Pain
0.32,0.102,0.528,0.108,2480.72,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Pain,Anxiety,Pain
-0.67,-0.866,-0.411,0.119,392.89,1.011,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.08,-0.168,0.324,0.125,1968.62,1.002,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.09,-0.127,0.307,0.112,2021.12,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.13,-0.154,0.398,0.141,1647.97,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.33,0.08,0.554,0.119,1520.36,1.002,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.31,0.048,0.559,0.132,2204.91,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.21,-0.214,0.601,0.211,1657.88,1.001,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
