condition,Omega,mean,sd,CI2.5,CI97.5,repo,comorbidity,Var1,Var2
Restless_legs_syndrome,Omega.1.4,0.16,0.05,0.06,0.26,Trial meta weighted,Anxiety : Pain,Anxiety,Pain
Restless_legs_syndrome,Omega.1.5,0.18,0.05,0.08,0.29,Trial meta weighted,Acid-related disease : Pain,Acid-related disease,Pain
Restless_legs_syndrome,Omega.1.6,0.14,0.06,0.03,0.25,Trial meta weighted,Asthma : Pain,Asthma,Pain
Restless_legs_syndrome,Omega.2.3,0.14,0.04,0.06,0.22,Trial meta weighted,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Restless_legs_syndrome,Omega.2.4,0.07,0.05,-0.03,0.16,Trial meta weighted,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Restless_legs_syndrome,Omega.2.5,0.15,0.05,0.05,0.25,Trial meta weighted,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Restless_legs_syndrome,Omega.2.6,0.07,0.06,-0.04,0.17,Trial meta weighted,Asthma : Cardiovascular,Asthma,Cardiovascular
Restless_legs_syndrome,Omega.3.4,0.11,0.05,0.02,0.21,Trial meta weighted,Anxiety : Arthritis,Anxiety,Arthritis
Restless_legs_syndrome,Omega.3.5,-0.5,0.06,-0.6,-0.38,Trial meta weighted,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Restless_legs_syndrome,Omega.3.6,0.06,0.06,-0.05,0.17,Trial meta weighted,Arthritis : Asthma,Arthritis,Asthma
Restless_legs_syndrome,Omega.4.5,0.07,0.06,-0.04,0.18,Trial meta weighted,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Restless_legs_syndrome,Omega.4.6,0.19,0.06,0.08,0.31,Trial meta weighted,Anxiety : Asthma,Anxiety,Asthma
Restless_legs_syndrome,Omega.5.6,0.22,0.06,0.1,0.34,Trial meta weighted,Acid-related disease : Asthma,Acid-related disease,Asthma
Rheumatoid_arthritis,Omega.1.2,0.01,0.03,-0.04,0.06,Trial meta weighted,Cardiovascular : Pain,Cardiovascular,Pain
Rheumatoid_arthritis,Omega.1.3,0.07,0.03,0.01,0.14,Trial meta weighted,Acid-related disease : Pain,Acid-related disease,Pain
Rheumatoid_arthritis,Omega.1.4,0.15,0.04,0.07,0.24,Trial meta weighted,Asthma : Pain,Asthma,Pain
Rheumatoid_arthritis,Omega.1.5,0.32,0.03,0.26,0.37,Trial meta weighted,Anxiety : Pain,Anxiety,Pain
Rheumatoid_arthritis,Omega.1.6,-0.02,0.04,-0.1,0.06,Trial meta weighted,Osteoporosis : Pain,Osteoporosis,Pain
Rheumatoid_arthritis,Omega.2.3,0.03,0.03,-0.03,0.1,Trial meta weighted,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Rheumatoid_arthritis,Omega.2.4,0.03,0.04,-0.06,0.11,Trial meta weighted,Asthma : Cardiovascular,Asthma,Cardiovascular
Rheumatoid_arthritis,Omega.2.5,0.17,0.03,0.1,0.23,Trial meta weighted,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Rheumatoid_arthritis,Omega.2.6,0.05,0.04,-0.03,0.12,Trial meta weighted,Cardiovascular : Osteoporosis,Cardiovascular,Osteoporosis
Rheumatoid_arthritis,Omega.3.4,0.03,0.05,-0.08,0.14,Trial meta weighted,Acid-related disease : Asthma,Acid-related disease,Asthma
Rheumatoid_arthritis,Omega.3.5,0.12,0.04,0.04,0.2,Trial meta weighted,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Rheumatoid_arthritis,Omega.3.6,0.07,0.05,-0.03,0.17,Trial meta weighted,Acid-related disease : Osteoporosis,Acid-related disease,Osteoporosis
Rheumatoid_arthritis,Omega.4.5,0.24,0.05,0.14,0.32,Trial meta weighted,Anxiety : Asthma,Anxiety,Asthma
Rheumatoid_arthritis,Omega.4.6,-0.09,0.07,-0.22,0.04,Trial meta weighted,Asthma : Osteoporosis,Asthma,Osteoporosis
Rheumatoid_arthritis,Omega.5.6,0.04,0.05,-0.05,0.13,Trial meta weighted,Anxiety : Osteoporosis,Anxiety,Osteoporosis
Systemic_Lupus_Erythematosus,Omega.1.2,-0,0.04,-0.08,0.08,Trial meta weighted,Cardiovascular : Pain,Cardiovascular,Pain
Systemic_Lupus_Erythematosus,Omega.1.3,0.31,0.04,0.24,0.38,Trial meta weighted,Arthritis : Pain,Arthritis,Pain
Systemic_Lupus_Erythematosus,Omega.1.4,0.36,0.04,0.29,0.44,Trial meta weighted,Anxiety : Pain,Anxiety,Pain
Systemic_Lupus_Erythematosus,Omega.1.5,-0.08,0.04,-0.16,0.01,Trial meta weighted,Acid-related disease : Pain,Acid-related disease,Pain
Systemic_Lupus_Erythematosus,Omega.1.6,0.39,0.05,0.28,0.48,Trial meta weighted,Asthma : Pain,Asthma,Pain
Systemic_Lupus_Erythematosus,Omega.2.3,-0.12,0.04,-0.2,-0.04,Trial meta weighted,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Systemic_Lupus_Erythematosus,Omega.2.4,0.14,0.04,0.05,0.21,Trial meta weighted,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Systemic_Lupus_Erythematosus,Omega.2.5,0.14,0.04,0.05,0.23,Trial meta weighted,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Systemic_Lupus_Erythematosus,Omega.2.6,0.03,0.05,-0.07,0.13,Trial meta weighted,Asthma : Cardiovascular,Asthma,Cardiovascular
Systemic_Lupus_Erythematosus,Omega.3.4,0.32,0.04,0.25,0.4,Trial meta weighted,Anxiety : Arthritis,Anxiety,Arthritis
Systemic_Lupus_Erythematosus,Omega.3.5,-0.77,0.03,-0.82,-0.71,Trial meta weighted,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Systemic_Lupus_Erythematosus,Omega.3.6,0.29,0.05,0.19,0.38,Trial meta weighted,Arthritis : Asthma,Arthritis,Asthma
Systemic_Lupus_Erythematosus,Omega.4.5,-0.1,0.05,-0.19,-0,Trial meta weighted,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Systemic_Lupus_Erythematosus,Omega.4.6,0.21,0.05,0.11,0.31,Trial meta weighted,Anxiety : Asthma,Anxiety,Asthma
Systemic_Lupus_Erythematosus,Omega.5.6,-0.09,0.06,-0.22,0.03,Trial meta weighted,Acid-related disease : Asthma,Acid-related disease,Asthma
