mean,Var1,Var2,q2.5,q97.5,rhat,sd,ess_bulk,ess_tail,condition,comorbidity,repo
0.23,Asthma,Anxiety,0.198,0.261,1.001,0.016,1907.39,2211.56,Restless_legs_syndrome,Asthma : Anxiety,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Restless_legs_syndrome,Acid-related disease : Acid-related disease,SAIL
0.16,Asthma,Acid-related disease,0.126,0.19,1.001,0.017,2279.21,2044.86,Restless_legs_syndrome,Asthma : Acid-related disease,SAIL
1,Asthma,Asthma,1,1,NA,0,NA,NA,Restless_legs_syndrome,Asthma : Asthma,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Pain : Pain,SAIL
0.24,Pain,Cardiovascular,0.208,0.262,1.001,0.014,1770.98,2198.72,Rheumatoid_arthritis,Pain : Cardiovascular,SAIL
0.18,Pain,Acid-related disease,0.146,0.207,1.002,0.016,1667.43,2003.8,Rheumatoid_arthritis,Pain : Acid-related disease,SAIL
0.21,Pain,Asthma,0.182,0.242,1.001,0.016,1775.57,2207.76,Rheumatoid_arthritis,Pain : Asthma,SAIL
0.33,Pain,Anxiety,0.305,0.364,1.003,0.015,1954.42,2400.19,Rheumatoid_arthritis,Pain : Anxiety,SAIL
0.25,Pain,Osteoporosis,0.214,0.28,1.001,0.017,1501.19,2313.08,Rheumatoid_arthritis,Pain : Osteoporosis,SAIL
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Cardiovascular : Cardiovascular,SAIL
0.06,Cardiovascular,Acid-related disease,0.03,0.09,1.003,0.015,2106.09,2132.36,Rheumatoid_arthritis,Cardiovascular : Acid-related disease,SAIL
0.09,Cardiovascular,Asthma,0.062,0.123,1,0.015,1926.13,1819.15,Rheumatoid_arthritis,Cardiovascular : Asthma,SAIL
0.13,Cardiovascular,Anxiety,0.097,0.155,1.001,0.015,2447.33,2264.32,Rheumatoid_arthritis,Cardiovascular : Anxiety,SAIL
0.07,Osteoporosis,Cardiovascular,0.037,0.103,1,0.017,2242.2,2359.3,Rheumatoid_arthritis,Osteoporosis : Cardiovascular,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Acid-related disease : Acid-related disease,SAIL
0.15,Asthma,Acid-related disease,0.119,0.182,1.002,0.016,1800.09,2132.6,Rheumatoid_arthritis,Asthma : Acid-related disease,SAIL
0.14,Anxiety,Acid-related disease,0.104,0.169,1.002,0.017,1848.66,2267.35,Rheumatoid_arthritis,Anxiety : Acid-related disease,SAIL
0.2,Osteoporosis,Acid-related disease,0.17,0.235,1,0.017,2195.59,2513.33,Rheumatoid_arthritis,Osteoporosis : Acid-related disease,SAIL
1,Asthma,Asthma,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Asthma : Asthma,SAIL
0.21,Asthma,Anxiety,0.183,0.246,1.001,0.016,1441.57,1683.42,Rheumatoid_arthritis,Asthma : Anxiety,SAIL
0.1,Osteoporosis,Asthma,0.066,0.136,1.001,0.018,1873.09,2226.79,Rheumatoid_arthritis,Osteoporosis : Asthma,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Anxiety : Anxiety,SAIL
0.06,Osteoporosis,Anxiety,0.031,0.099,0.999,0.018,1690.22,2245.04,Rheumatoid_arthritis,Osteoporosis : Anxiety,SAIL
1,Osteoporosis,Osteoporosis,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Osteoporosis : Osteoporosis,SAIL
