trial,Omega,tail_ess,bulk_ess
LILLY_H6D_MC_LVHB,Omega.6.1,2964.48846270567,3046.86952896996
LILLY_H6D_MC_LVHG,Omega.6.1,2977.74774814504,3039.57018121088
LILLY_H6D_MC_LVHJ,Omega.6.1,2947.52736355523,3027.6187786125
LILLY_H6D_MC_LVHR,Omega.6.1,2953.5057210841,3091.96276173447
LILLY_H6D_MC_LVHS,Omega.6.1,2358.10361864713,2452.7316966876
LILLY_H6D_MC_LVID,Omega.6.1,2905.94435905384,2745.99414117295
LILLY_H9X_MC_GBCF,Omega.6.1,2957.40633523031,3040.10488991021
LILLY_H9X_MC_GBDA,Omega.6.1,2986.62367190037,2820.02330811587
LILLY_H9X_MC_GBDB,Omega.6.1,3013.69127366307,2915.33806138066
LILLY_H9X_MC_GBDC,Omega.6.1,3029.55817752982,2975.09085427256
LILLY_H9X_MC_GBDD,Omega.6.1,2930.44806018677,2970.96521725037
LILLY_H9X_MC_GBDE,Omega.6.1,2931.97936617886,2958.08700024734
LILLY_H9X_MC_GBDG,Omega.6.1,2709.25775225088,2801.84910742507
RCHNA25220,Omega.6.1,2499.26943557897,2729.67381684221
RCHWA19924,Omega.6.1,2830.04641323086,2932.86205260318
TKASYR322_305,Omega.6.1,2870.20221520911,2969.44724254573
TKASYR322_402,Omega.6.1,2679.93473491311,2808.54114924134
GSK101468_169,Omega.6.1,2982.49545222211,3072.61185398599
GSK101468_204,Omega.6.1,2987.46727569208,2924.28077288707
GSK101468_205,Omega.6.1,2856.36621327986,2926.44453476726
GSK101468_249,Omega.6.1,2792.26862613451,2807.84742197922
GSK200109,Omega.6.1,3010.33580744725,2870.63018031058
GSK200110,Omega.6.1,2945.55096660376,2940.93705148938
GSK201315,Omega.6.1,2977.65328308634,2912.7721498723
GSKAC4116135,Omega.6.1,2770.16742933307,2669.87310074078
GSKAVA102670_v02,Omega.6.1,2921.51916516539,2869.52999106771
GSKAVA102672_v02,Omega.6.1,2689.7071165867,2855.48705253356
GSKAVA105640_v02,Omega.6.1,2989.85514772325,3131.59803149773
GSKB2C112060,Omega.6.1,3032.01453156659,3080.57667280309
GSKCOR103561,Omega.6.1,2525.51248423464,3038.105747211
GSKDB2113360_v02,Omega.6.1,2868.90747665256,2961.60012682538
GSKFFA112059,Omega.6.1,3029.87297599324,3039.90927953589
GSKFFA115285,Omega.6.1,2907.13896066473,3235.30498304533
GSKHGS1006_C1056_v05,Omega.6.1,2874.41076487312,2963.87481695175
GSKHGS1006_C1057_v03,Omega.6.1,2988.2326189625,3095.15898944978
GSKMEA115588,Omega.6.1,2705.48710733587,2564.94974753339
GSKROR104836,Omega.6.1,2940.56774132513,3024.11021266312
GAL-ALZ-302,Omega.6.1,2794.83900831989,2910.51848732971
C0168T29,Omega.6.1,2899.33967370022,3019.60046696976
Gal-Int-11_24m,Omega.6.1,2515.32357018318,2925.32029303594
Gal-Int-18_24m,Omega.6.1,2869.75035852912,2854.01640093842
C0524T05,Omega.6.1,3029.21759615867,3162.6879033781
C0524T06,Omega.6.1,2428.49809950464,2910.97249010326
C0524T09,Omega.6.1,2819.48621399707,2849.15617003267
C0524T08,Omega.6.1,2436.68949055689,2625.55086478094
C0743T08,Omega.6.1,2847.30983101198,2879.33757537287
C0524T11,Omega.6.1,2944.1716768998,2842.8135146732
C0743T09,Omega.6.1,2656.54422692575,3144.07903973906
C0524T12,Omega.6.1,3138.64823144368,2352.34496829647
DIA3009,Omega.6.1,2916.9113555733,2784.0528311602
ART3001,Omega.6.1,2874.00501694502,2988.73362176669
CNTO1275PSA3001,Omega.6.1,2709.15320506621,2755.84064891041
CNTO1275PSA3002,Omega.6.1,2733.02740701587,2726.15069825583
DIA3005,Omega.6.1,2917.35392692438,2855.48390240756
DIA3002,Omega.6.1,2906.5125949021,3166.29137213272
DIA3010,Omega.6.1,2956.76407051462,2897.37572891622
DIA3006,Omega.6.1,2779.77486076689,3248.30749572416
DIA3012,Omega.6.1,2863.98393777395,1994.97890147904
DIA3015,Omega.6.1,2921.67557443074,3098.01110612199
28431754DIA3014,Omega.6.1,2988.65380623772,2957.14729302344
28431754DIA3011,Omega.6.1,2854.13298041957,2641.79966884838
BI107_210,Omega.1.2,2862.34903808733,3033.72258866801
BI1245_36,Omega.1.2,3029.12740689587,3088.91873806694
BI1276_1,Omega.1.2,2803.2342565093,2964.33991925052
BI244_2484,Omega.1.2,2890.06219761151,3054.32390729574
BI248_524,Omega.1.2,3026.93365789825,3175.58205774572
BI248_525,Omega.1.2,2949.01022860958,2999.2167847418
BI248_622,Omega.1.2,3165.88484158258,3096.73674513104
BI248_629,Omega.1.2,2829.53158480231,3138.69082381299
BI502_254,Omega.1.2,2905.60072061859,3040.09638395952
BI502_256,Omega.1.2,3025.13601391254,3109.4120862785
BI502_316,Omega.1.2,2867.31410051214,2950.95529852724
BI502_317,Omega.1.2,2866.08599209758,2449.45594138402
BI502_327,Omega.1.2,2985.27602896585,3001.08739697187
BI502_376,Omega.1.2,2908.29490836267,2829.63921441097
BI502_391,Omega.1.2,2925.51037834962,2953.63690733628
BI502_392,Omega.1.2,2926.67269270272,2967.02885835877
BI502_396,Omega.1.2,2902.29400158127,2666.99468520206
BI502_397,Omega.1.2,2854.84461962765,2706.08236413369
BI502_413,Omega.1.2,2733.38523698351,2829.61465381955
BI502_550,Omega.1.2,2947.55957575875,2894.26048109644
LILLY_B3D_MC_GHAC,Omega.1.2,2847.61105368784,2921.2012628832
LILLY_B3D_US_GHBZ,Omega.1.2,2672.78501521867,2999.96609990633
LILLY_H6D_MC_LVGY,Omega.1.2,2545.36433575457,3056.38455942708
LILLY_H6D_MC_LVHB,Omega.1.2,2892.807774422,3047.90838387904
LILLY_H6D_MC_LVHG,Omega.1.2,2552.96896457713,3001.1086227012
LILLY_H6D_MC_LVHJ,Omega.1.2,2509.61453101878,2975.90376332566
LILLY_H6D_MC_LVHR,Omega.1.2,2793.82837418439,2936.01213121572
LILLY_H6D_MC_LVHS,Omega.1.2,2775.20136723779,2943.07750198926
LILLY_H6D_MC_LVID,Omega.1.2,2802.9617101421,2995.76135505051
LILLY_H9X_MC_GBCF,Omega.1.2,2893.67406938795,3098.30423514644
LILLY_H9X_MC_GBDA,Omega.1.2,2948.68767458357,2879.0761149448
LILLY_H9X_MC_GBDB,Omega.1.2,3009.93535033409,3048.2580600068
LILLY_H9X_MC_GBDC,Omega.1.2,2921.57697817627,2676.64914577915
LILLY_H9X_MC_GBDD,Omega.1.2,2796.00084284898,2791.71487980244
LILLY_H9X_MC_GBDE,Omega.1.2,3026.77946273386,3036.64886900823
LILLY_H9X_MC_GBDG,Omega.1.2,2812.53411661206,3176.05122674963
RCHNA25220,Omega.1.2,2999.90842217844,3077.35084555323
RCHWA19924,Omega.1.2,2956.80165986983,2905.88042178238
TKASYR322_305,Omega.1.2,2831.10135049813,3032.52025070037
TKASYR322_402,Omega.1.2,2929.75530946854,2930.73773314829
GSK101468_169,Omega.1.2,2713.20639929705,2826.60248380365
GSK101468_204,Omega.1.2,2784.9822006608,2701.33060234686
GSK101468_205,Omega.1.2,2897.38798601204,2865.1188780182
GSK101468_249,Omega.1.2,2985.32715165918,3095.13298435422
GSK200109,Omega.1.2,2990.65684873063,2927.55010327944
GSK200110,Omega.1.2,2941.68347992652,3196.14151638685
GSK201315,Omega.1.2,2946.3829207137,2949.7035242816
GSKAC4116135,Omega.1.2,2847.39549142139,2994.85521142199
GSKAVA102670_v02,Omega.1.2,2944.98766943101,2783.4227890904
GSKAVA102672_v02,Omega.1.2,2967.87904774935,2919.66037707607
GSKAVA105640_v02,Omega.1.2,2989.98871971197,3056.56741539017
GSKB2C112060,Omega.1.2,2847.43247512268,2997.61578429615
GSKCOR103561,Omega.1.2,2948.36522730217,2962.40427260703
GSKDB2113360_v02,Omega.1.2,2743.69102333043,3007.48317281181
GSKFFA112059,Omega.1.2,3002.92464112353,2708.40520325458
GSKFFA115285,Omega.1.2,2823.59887460087,2936.69309005463
GSKHGS1006_C1056_v05,Omega.1.2,2565.51204419326,2953.88975353582
GSKHGS1006_C1057_v03,Omega.1.2,2925.9127766067,3110.0795062349
GSKMEA115588,Omega.1.2,2908.79339675511,3063.10039583732
GSKROR104836,Omega.1.2,2935.57687971631,2444.66056714479
GAL-ALZ-302,Omega.1.2,2808.56543349578,3256.7727665464
C0168T29,Omega.1.2,2948.97796840196,2905.16711995636
Gal-Int-11_24m,Omega.1.2,2945.88286268478,3214.75527108831
Gal-Int-18_24m,Omega.1.2,2757.95872896723,3012.075608385
C0524T05,Omega.1.2,3015.46442905386,2837.08101502851
C0524T06,Omega.1.2,2545.89967145091,2817.03184207937
C0524T09,Omega.1.2,2861.5740763362,3033.57258263114
C0524T08,Omega.1.2,2511.30612492616,3095.51928732923
C0743T08,Omega.1.2,2947.92901621812,3051.43194184645
C0524T11,Omega.1.2,2865.90721494354,2628.40551452969
C0743T09,Omega.1.2,2938.8348965315,3000.71956807317
C0524T12,Omega.1.2,2988.8505376559,2823.84162819924
DIA3009,Omega.1.2,2948.81668338165,2864.59812846813
ART3001,Omega.1.2,2664.84710777992,2891.30599959067
CNTO1275PSA3001,Omega.1.2,3033.93096007567,3091.1760311287
CNTO1275PSA3002,Omega.1.2,2741.36882675311,2989.12111527052
DIA3005,Omega.1.2,2908.76223360091,3119.10234491116
DIA3002,Omega.1.2,3121.94338638895,3004.43685735216
DIA3010,Omega.1.2,2828.7752876702,2827.49979902067
DIA3006,Omega.1.2,2957.52641156755,2820.41907270371
DIA3012,Omega.1.2,3159.60621067597,3100.71141008295
DIA3015,Omega.1.2,2867.40421906964,2898.93019180158
28431754DIA3014,Omega.1.2,2773.51412423243,3041.07132774471
28431754DIA3011,Omega.1.2,3028.77842340523,2865.12698487558
BI107_210,Omega.2.2,NA,2661.00307187981
BI1245_36,Omega.2.2,NA,3092.03654890911
BI1276_1,Omega.2.2,NA,2655.13920228896
BI244_2484,Omega.2.2,NA,2884.53542787826
BI248_524,Omega.2.2,NA,3048.09685679497
BI248_525,Omega.2.2,NA,3050.27897294723
BI248_622,Omega.2.2,NA,3122.28821041798
BI248_629,Omega.2.2,NA,2989.32157925982
BI502_254,Omega.2.2,NA,3061.29854156193
BI502_256,Omega.2.2,NA,3080.41752688194
BI502_316,Omega.2.2,NA,3023.62636389838
BI502_317,Omega.2.2,NA,2854.40411267616
BI502_327,Omega.2.2,NA,2977.04762376808
BI502_376,Omega.2.2,NA,3045.80276918165
BI502_391,Omega.2.2,NA,2995.18905259744
BI502_392,Omega.2.2,NA,2957.89134913228
BI502_396,Omega.2.2,NA,2990.05007569124
BI502_397,Omega.2.2,NA,2864.82651050183
BI502_413,Omega.2.2,NA,2889.15052256599
BI502_550,Omega.2.2,NA,2437.96429047771
LILLY_B3D_MC_GHAC,Omega.2.2,NA,2911.82370443144
LILLY_B3D_US_GHBZ,Omega.2.2,NA,3083.84724727448
LILLY_H6D_MC_LVGY,Omega.2.2,NA,2765.19357850122
LILLY_H6D_MC_LVHB,Omega.2.2,NA,3125.72331290512
LILLY_H6D_MC_LVHG,Omega.2.2,NA,2930.42704501935
LILLY_H6D_MC_LVHJ,Omega.2.2,NA,2936.86025143751
LILLY_H6D_MC_LVHR,Omega.2.2,NA,2843.00456332024
LILLY_H6D_MC_LVHS,Omega.2.2,NA,3120.65389579435
LILLY_H6D_MC_LVID,Omega.2.2,NA,2738.98339653852
LILLY_H9X_MC_GBCF,Omega.2.2,NA,3054.12256746724
LILLY_H9X_MC_GBDA,Omega.2.2,NA,3054.66067925477
LILLY_H9X_MC_GBDB,Omega.2.2,NA,2936.1534713837
LILLY_H9X_MC_GBDC,Omega.2.2,NA,2829.57816733905
LILLY_H9X_MC_GBDD,Omega.2.2,NA,3032.83061777684
LILLY_H9X_MC_GBDE,Omega.2.2,NA,2746.0280501584
LILLY_H9X_MC_GBDG,Omega.2.2,NA,3080.80451573051
RCHNA25220,Omega.2.2,NA,2903.84250926692
RCHWA19924,Omega.2.2,NA,2783.27449992079
TKASYR322_305,Omega.2.2,NA,2945.82926011967
TKASYR322_402,Omega.2.2,NA,3331.59624949821
GSK101468_169,Omega.2.2,NA,3116.05869532235
GSK101468_204,Omega.2.2,NA,3037.2789939829
GSK101468_205,Omega.2.2,NA,2895.92896377928
GSK101468_249,Omega.2.2,NA,2954.16499368579
GSK200109,Omega.2.2,NA,3052.66732665582
GSK200110,Omega.2.2,NA,2770.56405416301
GSK201315,Omega.2.2,NA,2901.01045730014
GSKAC4116135,Omega.2.2,NA,2794.01244363039
GSKAVA102670_v02,Omega.2.2,NA,3079.35182652257
GSKAVA102672_v02,Omega.2.2,NA,3104.21297020846
GSKAVA105640_v02,Omega.2.2,NA,2932.38234505112
GSKB2C112060,Omega.2.2,NA,3038.45435584356
GSKCOR103561,Omega.2.2,NA,2960.76525872959
GSKDB2113360_v02,Omega.2.2,NA,2592.84355345981
GSKFFA112059,Omega.2.2,NA,2726.80349180146
GSKFFA115285,Omega.2.2,NA,2940.0995210142
GSKHGS1006_C1056_v05,Omega.2.2,NA,2488.32986787398
GSKHGS1006_C1057_v03,Omega.2.2,NA,2860.1983455818
GSKMEA115588,Omega.2.2,NA,3005.42091467343
GSKROR104836,Omega.2.2,NA,3105.51293854667
GAL-ALZ-302,Omega.2.2,NA,NA
C0168T29,Omega.2.2,NA,NA
Gal-Int-11_24m,Omega.2.2,NA,NA
Gal-Int-18_24m,Omega.2.2,NA,NA
C0524T05,Omega.2.2,NA,NA
C0524T06,Omega.2.2,NA,NA
C0524T09,Omega.2.2,NA,NA
C0524T08,Omega.2.2,NA,NA
C0743T08,Omega.2.2,NA,NA
C0524T11,Omega.2.2,NA,NA
C0743T09,Omega.2.2,NA,NA
C0524T12,Omega.2.2,NA,NA
DIA3009,Omega.2.2,NA,NA
ART3001,Omega.2.2,NA,NA
CNTO1275PSA3001,Omega.2.2,NA,NA
CNTO1275PSA3002,Omega.2.2,NA,NA
DIA3005,Omega.2.2,NA,NA
DIA3002,Omega.2.2,NA,NA
DIA3010,Omega.2.2,NA,NA
DIA3006,Omega.2.2,NA,NA
DIA3012,Omega.2.2,NA,NA
DIA3015,Omega.2.2,NA,NA
28431754DIA3014,Omega.2.2,NA,NA
28431754DIA3011,Omega.2.2,NA,NA
BI107_210,Omega.3.2,2671.9504617373,2642.8312033285
BI1245_36,Omega.3.2,3014.77621472917,3045.99286101398
BI1276_1,Omega.3.2,2713.5592760594,2725.49639955967
BI244_2484,Omega.3.2,2866.25864818267,3028.56955466184
BI248_524,Omega.3.2,2880.64312144964,2986.14943370097
BI248_525,Omega.3.2,3029.33272809241,2983.27605337662
BI248_622,Omega.3.2,2790.72687586819,2797.74894391104
BI248_629,Omega.3.2,2463.30686390086,3040.9404573155
BI502_254,Omega.3.2,2863.77688902055,1430.13514359177
BI502_256,Omega.3.2,2923.5804489968,3095.56094648423
BI502_316,Omega.3.2,2957.6305374911,3133.64089493577
BI502_317,Omega.3.2,3031.09286636619,3041.17023264555
BI502_327,Omega.3.2,2603.69093399129,2599.49333336185
BI502_376,Omega.3.2,2678.50029641974,2040.59077577598
BI502_391,Omega.3.2,2904.96805731453,2860.67175515286
BI502_392,Omega.3.2,2933.30539952974,821.475254996586
BI502_396,Omega.3.2,2820.4826066229,3130.46441691305
BI502_397,Omega.3.2,2667.30737802682,3153.04166588179
BI502_413,Omega.3.2,2861.20852408423,2944.98908611266
BI502_550,Omega.3.2,2867.46430294056,2708.47133577405
LILLY_B3D_MC_GHAC,Omega.3.2,2949.04248988517,3043.9390780667
LILLY_B3D_US_GHBZ,Omega.3.2,2730.53990639518,2750.38747794991
LILLY_H6D_MC_LVGY,Omega.3.2,2909.13625862199,3273.8165934383
LILLY_H6D_MC_LVHB,Omega.3.2,2819.36652066833,2944.68717189436
LILLY_H6D_MC_LVHG,Omega.3.2,3031.3232136336,3188.59388992403
LILLY_H6D_MC_LVHJ,Omega.3.2,2883.28478434981,2986.30998263349
LILLY_H6D_MC_LVHR,Omega.3.2,2812.05996846106,3024.67416721902
LILLY_H6D_MC_LVHS,Omega.3.2,2867.91505524302,2995.01476124482
LILLY_H6D_MC_LVID,Omega.3.2,3011.10218570158,2693.58168604755
LILLY_H9X_MC_GBCF,Omega.3.2,3076.48741655937,3116.80912525233
LILLY_H9X_MC_GBDA,Omega.3.2,2670.90419223294,2787.90564793519
LILLY_H9X_MC_GBDB,Omega.3.2,2986.26773470593,3233.77675310673
LILLY_H9X_MC_GBDC,Omega.3.2,2825.38271978619,3066.98613151678
LILLY_H9X_MC_GBDD,Omega.3.2,2855.42645728518,2914.93001882048
LILLY_H9X_MC_GBDE,Omega.3.2,3022.83559540615,3059.65741285796
LILLY_H9X_MC_GBDG,Omega.3.2,2827.49681512886,3096.76757699974
RCHNA25220,Omega.3.2,2879.1592176019,2995.84682666922
RCHWA19924,Omega.3.2,3031.77251677161,3052.07259406113
TKASYR322_305,Omega.3.2,2948.30075065058,2978.22479927965
TKASYR322_402,Omega.3.2,2962.00858206544,3026.26902130931
GSK101468_169,Omega.3.2,2924.68119377271,2987.12264081682
GSK101468_204,Omega.3.2,2822.95776134314,2951.42273245417
GSK101468_205,Omega.3.2,3117.14273666773,2981.80078764841
GSK101468_249,Omega.3.2,2902.68584581086,2898.64071746911
GSK200109,Omega.3.2,2707.73010663942,3180.83588461386
GSK200110,Omega.3.2,2698.90379154696,2999.11721716229
GSK201315,Omega.3.2,2594.85134057148,2678.21755287878
GSKAC4116135,Omega.3.2,2670.3155431249,3147.52979963335
GSKAVA102670_v02,Omega.3.2,2902.69358918004,2892.1433796994
GSKAVA102672_v02,Omega.3.2,2931.87043704733,2793.80848518803
GSKAVA105640_v02,Omega.3.2,2741.52597995457,2967.65567044151
GSKB2C112060,Omega.3.2,2907.09354046566,2725.90636905424
GSKCOR103561,Omega.3.2,3109.66997615435,2965.67443163392
GSKDB2113360_v02,Omega.3.2,2828.54464503046,2880.05984083138
GSKFFA112059,Omega.3.2,2814.10914093502,2873.68392858563
GSKFFA115285,Omega.3.2,2869.28129390962,3112.71676494754
GSKHGS1006_C1056_v05,Omega.3.2,2896.5201358338,2925.70022145303
GSKHGS1006_C1057_v03,Omega.3.2,2878.00343305066,3074.92629748327
GSKMEA115588,Omega.3.2,3073.47974654909,3241.70669908956
GSKROR104836,Omega.3.2,2832.29486629799,2942.88104548472
GAL-ALZ-302,Omega.3.2,2941.48053691755,2886.02378093176
C0168T29,Omega.3.2,2813.04539252973,3009.06010756588
Gal-Int-11_24m,Omega.3.2,2903.26818346597,2893.10981461476
Gal-Int-18_24m,Omega.3.2,2947.91783997729,3037.98049306376
C0524T05,Omega.3.2,3028.4594318997,3022.58022172134
C0524T06,Omega.3.2,2682.22832949234,3271.35516696261
C0524T09,Omega.3.2,2659.97085919924,3022.19502889494
C0524T08,Omega.3.2,2934.26641020435,2797.98145183657
C0743T08,Omega.3.2,2502.62248290979,2914.9862364255
C0524T11,Omega.3.2,2863.90695774167,3068.15128598494
C0743T09,Omega.3.2,2925.36795885338,2890.72554235488
C0524T12,Omega.3.2,2819.506158257,2969.34491460261
DIA3009,Omega.3.2,2886.79471595175,2992.77173154781
ART3001,Omega.3.2,2806.95597888172,2930.09314662586
CNTO1275PSA3001,Omega.3.2,2988.62045634698,3137.228387172
CNTO1275PSA3002,Omega.3.2,2902.87563541148,2922.75709747797
DIA3005,Omega.3.2,2966.05286078961,3109.01113772953
DIA3002,Omega.3.2,2608.56374844441,2827.98498483351
DIA3010,Omega.3.2,2780.11383349632,2829.09256069879
DIA3006,Omega.3.2,2885.15093591342,2865.58853271074
DIA3012,Omega.3.2,2835.35478005173,2767.17902512266
DIA3015,Omega.3.2,2830.11263543392,2919.15362133659
28431754DIA3014,Omega.3.2,2908.51296499393,3037.28868198522
28431754DIA3011,Omega.3.2,2930.64683095916,2807.50180105795
BI107_210,Omega.4.2,2741.59073706315,3054.16221065242
BI1245_36,Omega.4.2,2987.78837568078,2573.99062169369
BI1276_1,Omega.4.2,2771.81330465694,3144.78627612102
BI244_2484,Omega.4.2,2634.49398040853,2899.12297087681
BI248_524,Omega.4.2,2984.59335889179,2589.05314678082
BI248_525,Omega.4.2,2843.25623099398,3016.13011928348
BI248_622,Omega.4.2,2990.7571067805,2882.57238824798
BI248_629,Omega.4.2,2795.06428354443,2946.58102280242
BI502_254,Omega.4.2,2867.60556051041,3281.11558154071
BI502_256,Omega.4.2,2943.36789784841,3119.3033798823
BI502_316,Omega.4.2,2792.69296064558,3061.19358073536
BI502_317,Omega.4.2,3025.36793170899,2697.22532543953
BI502_327,Omega.4.2,3064.28569865192,2998.68266851571
BI502_376,Omega.4.2,2738.95180843173,2831.18130873622
BI502_391,Omega.4.2,2757.14928979553,2810.54207004145
BI502_392,Omega.4.2,2811.28851195628,2916.15310466309
BI502_396,Omega.4.2,2756.9934973464,2750.4429966635
BI502_397,Omega.4.2,2796.1998566633,2949.36131618377
BI502_413,Omega.4.2,2719.55946905669,3091.5407404767
BI502_550,Omega.4.2,2795.00148774563,2807.32376231524
LILLY_B3D_MC_GHAC,Omega.4.2,2799.62018355785,3069.55403034802
LILLY_B3D_US_GHBZ,Omega.4.2,2990.4229525474,2908.06429139567
LILLY_H6D_MC_LVGY,Omega.4.2,2917.99183706473,2892.86604655606
LILLY_H6D_MC_LVHB,Omega.4.2,3037.50956446299,3028.27581512328
LILLY_H6D_MC_LVHG,Omega.4.2,2770.53460268517,3001.3799238313
LILLY_H6D_MC_LVHJ,Omega.4.2,2670.17756341292,2794.90360559354
LILLY_H6D_MC_LVHR,Omega.4.2,2900.13796785917,2836.67870897539
LILLY_H6D_MC_LVHS,Omega.4.2,2651.48262344303,2914.42783579338
LILLY_H6D_MC_LVID,Omega.4.2,2775.05656070602,2943.48403373466
LILLY_H9X_MC_GBCF,Omega.4.2,2753.92619116623,2713.83714639706
LILLY_H9X_MC_GBDA,Omega.4.2,2607.36588686082,2583.00140924128
LILLY_H9X_MC_GBDB,Omega.4.2,3027.49217646583,3077.56524273302
LILLY_H9X_MC_GBDC,Omega.4.2,2865.01572068626,3163.54267518426
LILLY_H9X_MC_GBDD,Omega.4.2,2922.72788053863,3153.81504988303
LILLY_H9X_MC_GBDE,Omega.4.2,2948.62317658941,2835.03377123907
LILLY_H9X_MC_GBDG,Omega.4.2,3025.9758131563,3021.8164872946
RCHNA25220,Omega.4.2,2944.87027064545,3006.09611875269
RCHWA19924,Omega.4.2,2462.98786763544,2801.31812001373
TKASYR322_305,Omega.4.2,3025.90608479038,2753.56926186086
TKASYR322_402,Omega.4.2,2987.43430443272,3228.8217133895
GSK101468_169,Omega.4.2,2783.31748200846,2973.87207711703
GSK101468_204,Omega.4.2,2632.2493499437,2813.25687551389
GSK101468_205,Omega.4.2,2776.24979894856,2827.75619607794
GSK101468_249,Omega.4.2,2940.38851208839,2930.38034799276
GSK200109,Omega.4.2,2888.55369116892,2855.95418729985
GSK200110,Omega.4.2,2983.57606382196,2950.00408249556
GSK201315,Omega.4.2,2561.80427859297,3035.89242620883
GSKAC4116135,Omega.4.2,2828.81915226051,2811.94589695773
GSKAVA102670_v02,Omega.4.2,2825.039936414,2930.59095127529
GSKAVA102672_v02,Omega.4.2,2806.7538701467,2910.40559082267
GSKAVA105640_v02,Omega.4.2,2832.440533407,2810.5753191918
GSKB2C112060,Omega.4.2,2713.47551353417,2761.52290714653
GSKCOR103561,Omega.4.2,2673.70489144747,3115.94822251732
GSKDB2113360_v02,Omega.4.2,2901.75082172634,2587.46116807998
GSKFFA112059,Omega.4.2,2877.03115720087,3069.06848522984
GSKFFA115285,Omega.4.2,2938.1184997617,3002.25009584217
GSKHGS1006_C1056_v05,Omega.4.2,2762.97802831019,3004.60099358866
GSKHGS1006_C1057_v03,Omega.4.2,2791.70417498463,2799.59786520448
GSKMEA115588,Omega.4.2,2916.39849580927,3027.7088323127
GSKROR104836,Omega.4.2,2923.94071110784,2916.35416155059
GAL-ALZ-302,Omega.4.2,2976.97893778852,2683.8556315199
C0168T29,Omega.4.2,2869.38777352361,2742.20002759271
Gal-Int-11_24m,Omega.4.2,2935.99622938129,3029.06844140463
Gal-Int-18_24m,Omega.4.2,2761.34888246976,2891.03014732527
C0524T05,Omega.4.2,2756.87739821247,3089.29049921319
C0524T06,Omega.4.2,2909.16743399034,3055.73676992188
C0524T09,Omega.4.2,2819.24641089423,2993.02558447429
C0524T08,Omega.4.2,3033.26009035329,2932.71198438532
C0743T08,Omega.4.2,2870.2926127539,3007.04428614368
C0524T11,Omega.4.2,2949.36516139149,2815.93329021398
C0743T09,Omega.4.2,2965.71718619773,2902.39426271399
C0524T12,Omega.4.2,2717.62656503573,2883.08161959008
DIA3009,Omega.4.2,3006.77229414297,2930.18385417177
ART3001,Omega.4.2,2931.80235446485,3096.6199424217
CNTO1275PSA3001,Omega.4.2,2916.68641273776,3129.27730226513
CNTO1275PSA3002,Omega.4.2,2765.77005490878,2955.11290993548
DIA3005,Omega.4.2,2507.10146763536,2984.58579756878
DIA3002,Omega.4.2,2822.74815719711,2639.24801053846
DIA3010,Omega.4.2,2946.91046355893,2704.22465454003
DIA3006,Omega.4.2,2986.4831508311,2965.90369805209
DIA3012,Omega.4.2,2830.64819697607,2697.09453874024
DIA3015,Omega.4.2,2699.01057314285,2984.90252307991
28431754DIA3014,Omega.4.2,2724.79005434043,3004.15895355738
28431754DIA3011,Omega.4.2,2628.98384399805,2941.3477372389
BI107_210,Omega.5.2,2989.28766675812,2989.90377421773
BI1245_36,Omega.5.2,2697.43504814519,2716.15182919446
BI1276_1,Omega.5.2,2418.11392473716,2860.83207322447
BI244_2484,Omega.5.2,2603.4708316745,2900.79570226016
BI248_524,Omega.5.2,2612.48326276575,3120.75224158495
BI248_525,Omega.5.2,2748.19813684662,2791.55193195036
BI248_622,Omega.5.2,2904.67055030758,2700.10544445653
BI248_629,Omega.5.2,2852.91327065137,3078.70638879472
BI502_254,Omega.5.2,2853.63079186643,2965.1013570143
BI502_256,Omega.5.2,2874.95451869048,2779.42578194181
BI502_316,Omega.5.2,2944.25867820032,3007.19006436621
BI502_317,Omega.5.2,2865.17633903741,3065.7791204143
BI502_327,Omega.5.2,2813.66515006536,3261.19631679929
BI502_376,Omega.5.2,2850.94227819724,2824.19842431006
BI502_391,Omega.5.2,2793.41784991506,2775.28632144524
BI502_392,Omega.5.2,2894.77354247098,3234.0795136999
BI502_396,Omega.5.2,2786.47007635762,2505.45365547228
BI502_397,Omega.5.2,2948.23627826623,2910.03358874927
BI502_413,Omega.5.2,2971.80239086672,2694.04515845694
BI502_550,Omega.5.2,3104.127080231,3011.15477874763
LILLY_B3D_MC_GHAC,Omega.5.2,2667.94507728894,2713.88726451306
LILLY_B3D_US_GHBZ,Omega.5.2,2902.89555583109,3023.72106945636
LILLY_H6D_MC_LVGY,Omega.5.2,2864.10389495907,2953.86251213701
LILLY_H6D_MC_LVHB,Omega.5.2,2737.53623116567,3035.40689548496
LILLY_H6D_MC_LVHG,Omega.5.2,2830.54866567094,2830.78592544698
LILLY_H6D_MC_LVHJ,Omega.5.2,2676.7937231209,2810.50926067269
LILLY_H6D_MC_LVHR,Omega.5.2,2866.15698640444,2910.14725093371
LILLY_H6D_MC_LVHS,Omega.5.2,2887.46699839709,2958.87427890772
LILLY_H6D_MC_LVID,Omega.5.2,2779.3512824728,2930.56949124774
LILLY_H9X_MC_GBCF,Omega.5.2,2962.87409855597,2879.69299167738
LILLY_H9X_MC_GBDA,Omega.5.2,2845.38836649036,2674.98156260333
LILLY_H9X_MC_GBDB,Omega.5.2,3030.48609742746,2817.14502454916
LILLY_H9X_MC_GBDC,Omega.5.2,2920.5619481017,2758.72503880368
LILLY_H9X_MC_GBDD,Omega.5.2,2759.15624210689,3112.25372696466
