term,match1,match2,match3,match4,match5
magnesium verla                    /00648601/,magnesium,magnesia,magnesia,magnesite,magnesiumsulfat
maltose,malaseb,malaseb,malaseb,malaseb,malaseb
meglumine gadoterate,meglumine antimonate,meglumine antimoniate,meglumine antimoniate (product),meglutol [chemical/ingredient],meglumine antimoniate (substance)
mezlocillin sodium,mezlocillinum,mezlocillin,mezlocilline,mezlocilina,mezlocillin (substance)
microlax                           /00285401/,microx,microval,micro-k,micro-k,micrhogam
monteplase,montelukast,montephen,montephen,montephen,montephen
mopaday,madopa,modaplate,magdelay,magdelay,monuril paediatric
mylanta plus                       /01043301/,mylanta,mylanta,mylanta,mylanta child,mylanta child
omeprazole sodium,omeprazolum,omeprazole s-form,omeprazole,omeprazol,omeprazole in oral dosage form
opioid anaesthetics,opioid anesthetics,opioid analgesics,opioids,kolorz anesthetic,kolorz anesthetic
pentosan polysulfate,pentosan polysulfate sodium,pentosan polysulfate sodium,pentosan polysulf sod,pentosan polysulphate sodium,pentosan polysulphate sodium
petrolatum,"petrolatum, liquid","petrolatum oint,oph",petrem,mentholatum,mentholatum
piascledine                        /01305801/,pid,pce,pce,pce,isdn
soft soap,softkote,softsoap antibacterial,softsoap antibacterial,softsoap antibacterial,soft dine
sonrisal,soni-slo,soni-slo,syrisal,soneryl,sorbid sa
tetrofosmin,tetrasine,tetrasine,tetrasine,terazoosin,tetracosactin
thallium,thalomid,thalidomidum,thalidomide,thenalidinum,thenalidinum
tianeptine sodium,tianeptine,tianeptine (substance),teniposidum,tizanidinum,"nitrite, sodium"
veen 3g,veregen,velbe,vensir xl,veteran shield 24,veteran shield 24
actit,actisite,actisite,actisite,actisite,actisite
afloqualone,afluon,afluon,afluon,alfaxolone,alocane
ammonium carbonate w/glycyrrhiza/ipecacuanha,ammonium chloride,ammonium chloride,ammonium chloride [chemical/ingredient],ammonium chloride [chemical/ingredient],ammonium chloride (substance)
angiotensin ii antagonists,"angiotensin ii antagonists, plain","angiotensin ii antagonists, plain","angiotensin ii antagonists, combinations",angiotensin ii antagonists and diuretics,"angiotensin ii antagonists, other combinations"
aspimag,aspircaf,aspirtab,aspircaf,aspirtab,aspircaf
bekform,benfluorexum,benzefoam,buformin,benfluorex,cefrom
beriplast hs,bespar,beraprost,benorilate,buplast,respahist
bucolome,buccolam,bucillamine,bucalsep,bucalsep,bucalsep
bufferin a,bufferin,bufferin,bufferin,buff,buformina
calcitrol                          /00508501/,calciol,calcitriol,calcitriol,calcidol,calciferol
centella asiatica,centyl,centex,centex,centrally acting antiobesity products,centussin
chemotherapy,chemotherapeutics for topical use,chemdal,chemdal,chemdal,chemdec
cibadrex,cibacen,cibacène,carbex,care,care
citrocholine,citicholine,carbocholine,carbocholine,citicoline,citrolith
cocarboxylase,codecarboxylase,cocaina,cocaina,cocaina,cocaina
dehydro sanol,dehydrated ethanol,dehydrated ethanol,dehydrated ethanol,dehydrogesterone,dehydrocortisone
demacolin,demecolcine,dermacin,dermacin,dermocaine,dermocaine
dequalinium chloride,dequalinium chlor,dequalinium chlor,dequalinium,dequalinium,dequalinium
ditemer,demser,difemerine,dimetriose,diutensen-r,diutensen-r
dociteren,docefrez,doc,diacerein,meticorten,meticorten
donagan                            /01153301/,donatussin dc,donatussin dc,donatussin dc,donatussin dc,donatussin dc
donormyl                           /00886901/,dm,doryx,doryx,doral,doxy
endotelon                          /00811401/,endolor,endolor,endodan,endodan,endodan
epaderm,xenaderm,betaderm,xenaderm,betaderm,betaderm
flupirtine maleate,flupirtine,fluspirilene,flupirtine [chemical/ingredient],flunitrazepam,fluspirilenum
flurbiprofen axetil,flurbiprofene,flurbiprofene,flurbiprofene,flurbiprofene,flurbiprofen
hematinic                          /01491701/,hematin,hemax,hemax,hemax,hemax
hexaquine,hexadine,hexadine,hexadine,hexadine,hexamine
homeopatics nos,homapin,homatropine,homatropine (substance),humatin,hepat b
hormone replacement therapy,hormones and related agents,hormonal contraceptives for systemic use,"hormone, parathyroid",hormonin,"hormone, adrenocorticotrophic"
hylak                              /00710901/,hy5,hy5,hy5,hylenex,hylutin
hyoscine hydrobromide,hyoscine hydrob,hyoscine hydrob,hyoscine,hyoscine,hyoscine
ibu-hepa                           /01729901/,ibu,ibu,ibu,ibu,ibu
insulin zinc suspension,insulin lispro,insulin lispro,insulin lispro,insulin porcine,insulin glulisine
jorix,oraqix,oraqix,oraqix,oraqix,oraqix
kolantyl                           /00130401/,kolbam,koate,kokain,kokain,kokain
landiolol hydrochloride,landiolol,amlodipine / hydrochlorothiazide / valsartan,"lansoprazole, clarithromycin and tinidazole","lansoprazole, amoxicillin and clarithromycin","lansoprazole, amoxicillin and metronidazole"
lefax                              /00282601/,ax,e,e,lflx,lflx
levofloxacin hemihydrate,levofloxacine,levofloxacine,levofloxacin,levofloxacin,levofloxacin [chemical/ingredient]
melissa officinalis,melitracen,melitracen and psycholeptics,melanoma,metossamina,melitracen (substance)
midrid                             /00450801/,midrin,midrin,midrin,midetorin,midamor
mopsoralen                         /00505001/,moperone,moxon,moban,oxsoralen,oxsoralen
naltrexone hydrochloride,naltrexone hcl,naltrexone,naltrexone methylbromide,naltrexone methobromide,naltrexon
neo-eunomin,neo-bendromax,neo-calglucon,neo-synephrine,neo-synephrine,neo-synephrine
obetrol,oestriol,oestriol,oestrogel,detrol,iotrol
osmotan,osmoglyn,osmoglyn,osmanil,osmotically acting laxatives,comtan
papaver somniferum,papaver somniferum resin,papaver somniferum resin,papaver somniferum exudate,papaver somniferum exudate,papaveretum
paraflex comp,paraflex,paracetamolum,paraderm,paraderm,paraldehyde product
pharmaton                          /00124801/,pharmadine,pharmadine,pharmadine,pharmadine,pharmadine
phosphoric acid,phosphonoformic acid,"phosphoric acid, sodium salt","phosphoric acid, sodium salt",phosphonomethanoic acid,"phosphoric acid, diethyl 4-nitrophenyl ester"
platelet aggregation inhibitors excl.heparin,platelet aggregation inhibitors excl. heparin,platelet aggregation inhibitor combinations excl. heparin,platet,platelet-derived growth factor bb,platelet-derived growth factor bb
ristfor,relistor,relifor,relifor,relifor,relifor
sodium perchlorate,sodium perborate,sodium merthiolate,sodium picosulfate,sodium glycerophosphate,sodium benzoate
sofracort,soframycin,soframycin,soframycin,sofratulle,sofradex
solvipect,solvazinc,solis,soloc,solifenacin,serdolect
sorbit hartman,sorbitrate,sorbitrate,sorbisterit,sorbid sa,sorbid sa
sorbitol lactated ringer's,sorbide nitrate,sorbide nitrate,sorbitol,sorbitol,sorbitol
stilpane,stilline,siltane,stanek,stelazine,steripaste
technetium tc 99m,technetium tc 99m o(4),technetium tc 99m hmpao,technetium tc 99m disida,technetium tc 99m succimer,technetium tc^99m^ dmsa
topaal,topal,topamax,topicale,topicale,topicale
tri-penilenta,tri-minulet,tri-minulet,tri-minulet,tripelennamin,tripelennamin
trisekvens                         /00441501/,tris,tris,trisequens,trisenox,trisequens fte
tromcardin                         /00196901/,trocaine,trocaine,trocaine,trocaine,trovan
unacid                             /00917901/,nac,nac,nac,unifed,unasyn
valerianae comp.,valerianae radix,valenac,valenac,valenac,valenac
vi-siblin                          /00222601/,vi-sudo,vi-sudo,visine,vibal,isib
vitacal+d                          /05496101/,vita e,vita-d,vitae,vitazol,vitapap
xylocaine-epinephrine,xylocaine with epinephrine,xylocaine with epinephrine,xylocaine with epinephrine,xylocaine with epinephrine,xylocaine with epinephrine
ag.for treatm.of hemorrh.and anal fiss.for to,agents for treatment of hemorrhoids and anal fissures for topical use,agkistrodon rhodostoma venom protease,aota,a.t.,asfotase alfa in parenteral dosage form
aida,apidra,amidal,amidal,amidal,amidal
algolysin,l-lysin,algicon,alogliptin,alfuzosin,collalysine
alosenn                            /00476901/,alosetron,alophen,alophen,alophen,alor
aluminium w/magnesium hydroxide/simeticone,aluminium magnesium hydroxide sulfate hydrate,aluminium magnesium silicate,aluminum hydroxide/magnesium carbonate,alum hydrox,aluminum-magnesium hydroxide carbonate
alupent expectorant,alupent,alupent,tussend expectorant,tussend expectorant,tussend expectorant
amlopres l,amlor,ampres,amiloride hcl,amphero xl,amlodipine + valsartan
antispasmodics/ anticholinergics,antispasmodics in combination with analgesics,antispasmodics in combination with other drugs,antispasmodics in combination with psycholeptics,antispasmodics and anticholinergics in combination with other drugs,antiminth
arnica montana,"articaine, combinations",arcapta,narcan neonatal,amrinon,arnuity
arthrochoice,arthrocine,arthrotec,arthrotec,arthrotec,arthrotec
asmeton,asmavent,asmavent,asmavent,asmaven,asmaven
b-complex                          /01523901/,bc,bc,bc,bc,cx
bacteria nos,bacterial vaccines,bactine,bactine,bactine,bactine
benexate,benoxinate,benoxinate,benekraft,benylate,benekraft
benzaclin topical,benzocaine topical,benzocaine topical,benzocaine topical,benzocaine topical,benzaclin
bepotastine,betaine,betadine,betadine,betadine,betadine
berizym                            /00517401/,berinert,berdoz,betim,betim,beih
betalgil,betaxolol,betaxolol,betmiga,betaloc,betasal
cafinitrina,carbenicilina,afinitor,cafcit,cinarizina,cain acridine
candesartan w/hydrochlorothiazide,candesartan,aliskiren and hydrochlorothiazide,candesartan and amlodipine,candesartan cilexetil,candesartan and diuretics
cefathiamidine,cefatrizine,cefatriaxone,cefalothin,cefalotine,cefapirine
cefonicide,cefonicid,cefonicido,ceforanide,cefaronide,cefoxitine
cefoperazone sodium,cefoperazonum,cefoperazone,cefoperazono,cefotetanum,cefozopran
ceftizoxime sodium,ceftizoximum,ceftizoxime,ceftizoxima,cefotaxime sod,ceftizoxime (substance)
cerefolin nac,cefazolina,clorfenesina,cerulein,cefazolin,cerdelga
chelation therapy,choline alphoscerate,chemdal expectorant,chemdal expectorant,chemdal expectorant,chemical oxygen
cheratussin ac,cheratussin dac,cheratussin dac,cheratussin dac,cheratussin,cheratussin
chymoral                           /00087801/,chymopapain,chymotrypsin,chymotrypsin,chymotrypsin a and b,chymotrypsin a and b
cinepazide maleate,cinepazide,cinepazet,cineol,cinopal,cineole
citracal + d                       /01438101/,citracal,citrucel,citra ph,citramag,citrical plus d
clotrason,clobetasone,clobetasone,clotam,clotrimazoil,clotrimazole
co-tylenol                         /00446801/,co-tenidone,co-tussin,co-tussin,colyte,colyte
"comb of penicillin, incl. beta-lactam. inhib","combinations of penicillins, incl. beta-lactamase inhibitors",combinations of penicillins,combinations of antihypertensives in atc-gr. c02,combinations for eradication of helicobacter pylori,combinations of antihistamines
contraception,contac,contac,contrave,counteract pain,contimin
convallaria majalis,convalis,coaltar,coaltar,coaltar,coaltar
demalgon,demanol,dermalog,dermalzone,dermalzone,dexalone
desblue,desflurane,des,des,degludec,despec
dexamethasone phosphate,dexamethasone preparation,dexamethasone preparation,dexamethasone preparation,dexamethasone preparation,dexamethasone preparation
dexeryl                            /01579901/,dex,dexol,dexol,dexol,dexedrine
diazepan                           /00762201/,diazepam,diazepam rectube,diazoxide,diazemuls,diazoxide
digene,digex,digoxine,digenac xl,digenac xl,digenac xl
diprogenta,dipro,diprolene,diprolene,diprolene,diprolene
doloproct                          /00951901/,dolorac,dolorac,dolotic,dolotic,dolotic
dona                               /00362101/,donatuss dc,donatuss dc,donatuss dc,donatuss dc,donatuss dc
dorzolamide w/timolol,dorzolamide/timolol,dorzolamide,dorzolamid,dorzolamidum,dorzolamida
echinacea purpurea,econac sr,econac sr,econac,econac,emcin clear
el-4,ela-max,ela-max,ela-max,ela-max,ela-max
embramine,mercamine,mercamine,emadine,embeline,bydramine
emestar plus,emersal,emersal,emetrol,emetrol,merocets plus
epirizole,epitol,eryzole,eryzole,eryzole,eryzole
ertapenem sodium,ertapenem sod,ertapenem,ertapenem (substance),ertapenem [chemical/ingredient],ertaczo
essentiale 303                     /00022201/,essential care,essian,essian,esperal,eslectin
etoposide phosphate,etoposide teva,etoposide,etoposido,etoposide (substance),etopophos
feroba,fero-grad,fero-grad,fero-grad,fero-grad,fero-grad
ferric hydroxide polymaltose,ferric hydroxide,ferric hydroxide sucrose complex,ferric oxide polymaltose complexes,ferric oxide polymaltose complexes,"ferric oxide, saccharated"
flotac,floam,floam,flotrin,flotros,flolan
fluorometholone acetate,fluorometholone,fluorometholone,fluorometholone,fluorometholone,fluorometholone
folic acid w/iron/vitamin b12,folic acid/iron/multivitamins,folic acid and derivatives,folic acid [chemical/ingredient],folicare,folitab
glimet ds,glucient sr,glimepirida,glimepiride,glimepiridum,glimepiride (substance)
glucosamine w/chondroitin sulfates,glucosamine sulf,glucosamine hcl,glucosamine hcl meltdown,glucosamine hcl fizz,glucosamine (substance)
glyceol                            /00744501/,glycerol,glycerol,gly,glycérol,glycérol
gualenic acid,uralenic acid,gamolenic acid,gamoleic acid,gadobenic acid,salic acid
haemocoagulase,haemaccel,haemoctin,haemonine,haematin,haemoph influenzae b
hemocontin,hemocyte,hemocyte,haemoctin,hemorid ointment,hemorid ointment
hepagrisevit forte-n,heparin,heparin,heparin,hepat a,hepat b
histidine,histine-d,histine d,histine-d,histine d,histine-d
ibuprofen w/paracetamol,ibuprofen pmr,ibuprofen pmr,ibuprofen pmr,ibuprofen pmr,ibuprofen pmr
inhal asma,inh,"inhalants, nicotine",indapamida,intal,intal
iocanlidic acid,iocarmic acid,disalicylic acid,ioglicic acid,diphenoxilic acid,iocetamic acid
isodril,isordil,isordil,isodur,isorbid,isorbid
ketamine hydrochloride,betaine hydrochloride,ketamine hcl,ketamine,aluminum hydroxychloride,aluminum hydroxychloride
klinisalz b,klinoril,livial,alinia,clinisol 15,clinisol 15
laser treatment,lazer creme,lazer creme,lazer creme,lazer creme,lazer creme
leucogen,dulcogen,dulcogen,leucomycin a3,leuprorelin,neupogen
levocloperastine fendizoate,levocabastina,levocabastina,levonorgestrel preparation,levonorgestrel preparation,levora
levosalbutamol sulfate,levobunolol (substance),levora,levora,levora,levora
macrosalb (99mtc),macrogol (substance),macrobid,marol,marol,macroherm
marcain-adrenalin                  /00044301/,marcaine,marcain,marcain heavy,marcillin,marcillin
maxiplex,maxidex,maxidex,maxidex,maxidex,maxidex
melilotus officinalis,meltus,meltus,meltus,meltus,mequinol topical
milgamma                           /00089801/,m,migramax,miloxicam,mil-par,migard
mollipect,molap,molaxole,molative,molaxole,molative
neticonazole,fenticonazole,fenticonazole,fenticonazole nit,terconazole,econazole
neurobion forte                    /06411001/,neurocaine,neurocaine,neurocaine,neurocaine,neuromed
new lecicarbon,lecicarbon,newace,new day,new day,neo-decadron
novomix                            /01758401/,novolin,novolin,novolin,novolin,novolin
oftan                              /00905501/,oftaquix,fta,oforta,ofev,oflx
oilatum emollient,oilatum,oilatum jnr,oilatum plus,cavilon emollient,oil ingredients
oral blood glucose lowering drugs,"other blood glucose lowering drugs, excl. insulins",oral b fluorinse,oraldene,oralone,oralone
"other urologicals, incl antispasmodics",other urologicals in atc,other urologicals,other otologicals in atc,other ophthalmologic surgical aids in atc,other surgical aids
otidin,otocidin,otocidin,otocidin,otocidin,otocidin
pamaton,pamba,papacon,papacon,pamergan,pamergan
pamidronate disodium,pamidronate disod,pamidronic acid,pamine,pamine,pamidronic acid (substance)
papain,papaverine,papaverine,papacon,pazopanib,papain-urea topical
paralgin forte                     /00221201/,paral,paradote,paradione,paraffin oil,paravict
passiflora incarnata,prilocaina,asilone antacid,panlor dc,panlor dc,panlor dc
pelargonium sidoides extract,perindopril and diuretics,pelodis,pelodis,pedia-lax liquid glycerin suppositories,pedia-lax liquid glycerin suppositories
pepciddual,pepcid,pepcid ac,pedural,pedural,pepcid complete
perflutren,perflubron,perfan,perflenapent,perfalgan,pertofrane
phentolamine mesilate,phentolamine,phentolamine,phentolam mesil,phentolamin,phentolamin
pimeclone hydrochloride,priscoline hydrochloride,priscoline hydrochloride,pimecrolimus topical,pimecrolimus [chemical/ingredient],piloc hcl
pimobendan,pimozida,pimozide (substance),pimozide,pimozidum,probenecida
placebo,placidex,pce,pce,pce,placidyl
plasma lyte 148,plasma-lyte 148,plasma-lyte 148,plasma-lyte 148,plasma-lyte 148,plasma-lyte 148
platelets,platet,platet,platet,pletal,plasters
platycodon grandiflorus,platinum compounds,platelet-derived growth factor b chain precursor,platelet-derived growth factor b chain precursor,"platinum, diamminedichloro-, (sp-4-2)-",platinum diamminodichloride
polysaccharide-k,polysaccharide-iron comp,polycitra-k,polycitra-k,saccharide,polycin
preservision lutein eye vita.&min.sup.softg.,preservision,preservision,preservision,preservision,preservision
promethazine w/codeine             /01129901/,promethazine,promethazine,prometazin,prometazin,promazin
protoporphyrin,protropin,protopic,protopic,protriptylin,protriptyline
rasagiline mesylate,rasagiline mesil,rasagiline,rasagiline (substance),rasagiline [chemical/ingredient],rasilez
reboxetine mesilate,reboxetine,reboxetine (substance),reboxetine [chemical/ingredient],remedeine fte,remedeine fte
res-q,respa-pe,respa-sa,respa-pe,respa-pe,respa-sa
ringer,ringl,rig,gingera,gingera,rezine
ringer                             /01179901/,ringl,rig,ng,rinstead,rindal hpd
rowatinex                          /00499401/,rowasa,rogaine,ran,rondex,rondex
saccharomyces medicinalis,saccharomyces boulardii,saccharomyces boulardius,saccharomyces boulardi,saccharomyces boulardii (substance),saccharomyces boulardii lyo
sancos co,sancuso,sano log,sano log,sano log,sano log
sarna,sarna ultra,sarna ultra,sarna sensitive,sarna sensitive,sarafem
sevelamer carbonate,sevelamero,sevelamer (substance),sevelamer,sevelamerum,sevelamer [chemical/ingredient]
smallpox vaccine,smallpox vaccine live vaccinia virus,"smallpox, live attenuated",salivacaine,salivacaine,salivacaine
sodium lactate,sodium acetate,sodium sulfate,sodium sulfate,sodium apolate,sodium salicylate
spilactone-t,spiroctan,spirolactone,silicone,septocaine,septocaine
"stomatologicals, mouth preparations",stomatological preparations,stomatological preparations,sts,stanozolol preparation,stramoni preparations
streptodornase,streptase,streptokinase,streptoduocin,streptozocine,streptogramins
sulfamethoxazole sodium,sulfamethoxazole,sulfamethoxazole (substance),sulfamethizolum,sulfamethizolum,sulfamethizolum
tamarine                           /00912601/,tar,tacrine,tamurex,tasmar,tacrin
targin,targiniq,targiniq,targiniq,targretin,targinact
tenston,testolin,tencon,testro,tensomex,tensopril
thenoic acid,ethoic acid,ethoic acid,chenic acid,phenic acid,phenic acid
travocort,travoprost,travoprostum,trilocort,trilocort,trilocort
trifamox ibl                       /06421501/,trimox,triam,triam,triam,triam
triprolidine hydrochloride,triprolidine,triprolidin,triprolidine (obsolete),tripolidina,triprolidinum
twinrix,twinrix paed,twinrix adult,kinrix,kinrix,twinject
tyrosine,metyrosine,"tyrosine, 3,5-diiodo-",terazosine,térazosine,tyzine
urgenin                            /00135401/,urea,urea,urex,urogesic,urantoin
uv light therapy,liver therapy,bile therapy,rightstep,rightstep,rightstep
vaccin ipad d.t.c.,"vaccine, bcg",vaccines,"vaccine, diphtheria","vaccine, rubella","vaccine, calmette's"
valoron n,valorin extra,valorin extra,loron,valoid,vasocon a
veramid,verapamil,verapamilo,verapamilum,veralipride,metramid
vitamin k nos,vitamin b12 nos,vitamin k,vitamin k 1,vitamin k 3,vitamin k antagonists
wound drainage,condrin,condrin,rondamine,rondamine,konsyl orange
zipio-g,zipsor,zipsor,zipsor,zipsor,ziprasidona
a & d ointment,a & p,a & l laboratories protect,a & l laboratories 10 mix 10,ado,azdone
absorbase,absorica,absorica,absorbable cellulose,absorbable gelatin sponge,abstral
acedip,acidex,actedril,actedril,acepril,acetadrink
acefylline,acetylcholine,acetylin,acetylin,acetylin,acefylline piperazine
acesistem                          /01098101/,aceta,acezide,acea,acetadote,acetadote
acetone,acetarsone,acetarsone,acetarsone,acetoxolone,acetominophen
aclatonium,aclaro,aclacin,alcuronium,aclarubicin,alcaftadinum
adenosine triphosphate,adenosine,adenosin,adenosine aminohydrolase,adenosina,adenosylmethionine a s
adsorbotear,adsorbonac,adsorbonac,adsorbonac,adsorbocarpine,adsorbocarpine
algifen,balgifen,alginate,algitec,allfen,agif
algiril,algin,algiotic,algiotic,algiotic,algiotic
aluminium,aluminium oxide,aluminium agents,alumina,aluminum lake,aluminium chloride
amino acids nos w/electrolytes nos/glucose/th,amino acids nos,amino acids,amino acids,amino acids,amino acid
amino acids nos w/enterococcus faecium/escher,amino acids nos,amino acids,amino acids,amino acids,amino acid
amlodipine w/valsartan,amlodipine / valsartan,amlodipine valsartan,amlodipine/valsartan,amlodipine - valsartan,amlodipine + valsartan
analverin,alverina,alverine,analgesine,analgesine,anefrin
anginosan,angiomax,angiotensinamide,angidol,angilol,angidol
angiotensin ii,angiotensin amide,angiotensinamide,angiotensin amide [chemical/ingredient],angiotensin ii antagonists and diuretics,angiopine
antazoline w/tetryzoline,antazoline,antazoline,antazoline [chemical/ingredient],antazoline [chemical/ingredient],antazoline (substance)
antibiotics-resistant lactic acid bacteriae,antibiotics,antibiotics,antibiotics,antibiotics,antibiotics
aprindine hydrochloride,aprindine,aprindina,aprindinum,aprinox,aprindine [chemical/ingredient]
arbidol,aridil,aridil,acidol,carbol,carbol
ascorbic acid w/ergocalciferol/folic acid/ret,ascorbic acid oral liquid,ascorbic acid oral liquid,ascorbic acid oral liquid,ascorbic acid/ferrous fumarate/folic acid oral tablet,ascorbic acid/ferrous fumarate/folic acid oral tablet
ascorbic acid w/vitamin b nos,"ascorbic acid (vitamin c), plain","ascorbic acid (vitamin c), combinations",ascorbic acid (vit c),ascorbic acid (vit c),ascorbic acid (vit c)
aspartame,asparaginase,aspire,asparaginase ii,asparaginase macrogol,asparaginase (substance)
astoma,gastromax,soma,astramorph,stromba,asthmahaler
astragalus gummifer,aragam,aragam,astramorph,astri-uc,astri-uc
augmentine                         /01569301/,augmentin,augmentin-duo,amen,amen,amen
barium sulfate,barium sulfate with suspending agents,barium sulfate without suspending agents,barium sulfate containing x-ray contrast media,alum sulf,alum sulf
beclomethasone w/fenoterol,beclomethasone,beclomethasone,beclomethasone,beclomethasone,beclomethasone nasal
bee pollen,tree pollen,beepen-vk,gppe emollient,bellalphen,bellalphen
befact                             /00527001/,bc,bc,bc,bc,beacita
befact                             /01525301/,bc,bc,bc,bc,beacita
belotecan,berotec,beclometasone,beclometasone,beclometasone,beclometasone
benadryl cold and flu,benadryl,benadryl,benadryl-d allergy and sinus,benadryl-d allergy and sinus,benadryl-d allergy and sinus
berocca plus                       /01327001/,berotec,bc,bc,bc,berkolol
berusanol,bedranol,berman,bupranol,bedranol sr,bensal
bifidobacterium bifidum,bifonazolum,biocorneum,biocorneum,biocorneum,biocorneum
bifidobacterium longum,bifonazole,clofibrate aluminum,"bifonazole, combinations",bisacodilo,bisacodilo
bilevel positive airway pressure,bile and liver therapy drugs,bile and liver therapy,bile acids and derivatives for bile therapy,bile acids and derivatives,bile therapy drugs
biofermin                          /00275501/,biofenac,biofenac,biotin,biomycin,biomycin
bismuth hydroxide,bismuth preparations,bismuth tripotassium dicitrate,bismuth subnitrate (product),magnesium hydroxide,magnesium hydroxide
bitolterol mesilate,bitolterol,bitolterolum,bitolterol (substance),bitolterol [chemical/ingredient],bretylium tosilate
bricanyl comp.,bricanyl,bricanyl,bricanyl sa,bricanyl sa,brancico xl
bromhexine hydrochloride w/guaifenesin,bromhexine [chemical/ingredient],bromhexine,bromodiphenhydramine [chemical/ingredient],bromhexina,bromph hd
buserelin acetate,buserelin,buserelin (obsolete),buserelin (substance),goserelin acet,buserelin [chemical/ingredient]
calcigran                          /00434901/,calc,calc,calan,calcid,calcitab
calcium carbonate w/calcium gluconate,calcium carbonate oral capsule,calcium carbonate oral capsule,calcium carbonate oral tablet,calcium carbonate oral tablet,calcium carbonate oral powder
calcium w/iron,calcium,calcium,calcium leucovorin,"calcium, nadroparin",calcium glubionate
camphor,camphora,campto,camptosar,campath,campral
cardioplegia,cardioplegia solution,cardioplegia solutions,cardioplegic solution agent,cardioplen xl,cardiology pack
carminative,carticaine,caroid laxative,caroid laxative,carticain,carbinoxamine
cefaclor monohydrate,cefacloro,chloral monohydrate,cefaclor cd,cefaclor,cefaclorum
cefotiam hexetil hydrochloride,cefotiam,cefotiam [chemical/ingredient],ceftobiprole medocaril,cefotaxime sod,cefotaxime
ceftazidime pentahydrate,ceftazidime pentahyd,ceftazidima,ceftazidime,ceftazidim,ceftazidime [chemical/ingredient]
ceftezole sodium,ceftezole,cefazolinum,ceftizoxima,ceftriaxone sod,ceftaroline fosamil
celestona bifas,celestone,celestone,celestone,celestone,celestone
centagyl f                         /03057801/,centyl,centany,centany,centergy,centergy
cernilton                          /00521401/,cernevit,cernevit,cernevit,celontin,cervidil
certoparin sodium,certoparin sod,ceratonia (product),certican,ceftriaxone sod,certolizumab pegol
cheracol                           /00693301/,cheracol d,cheracol d,cheracol sore throat,cheracol sore throat,cheracol sore throat
chloramphenicol palmitate,chloramphenicol topical,chloramphenicol topical,chloramphenicol topical,chloramphenicol topical,chloramphenicol topical
choline,choloxin,"choline, cdp",cholib,cholinesterase,cephazoline
chromagen                          /00555001/,chromonar,chronulac,choragon,chromotrichia factor,chromium-51 edetate
clidinium,clinium,cetylpyridinium,cetylpyridinium,cetylpyridinium,cetylpyridinium
climen                             /01116101/,climesse,climanor,climesse,climesse,climesse
clodronate disodium,clodronic acid,clodronsaeure,clodronsäure,clodantoin,clorotrianiseno
cloperastine hydrochloride,cloperastine,cloperastine (substance),cloprednol,clopenthixol,cloridarol
codenal                            /00467701/,codeína,codein,codelsol,codelsol,codelsol
colbenemid,benemid,colestid,clomid,moclobemid,collagen peptidase
conlunett,condyline,constulose,convulex,concerta,constella
contraceptives,contragesic,contrave,contrave,contact laxatives,citracal petites
cordex                             /00062301/,cordarex,cordilox,coreg,cordilox mr,corzide
coricidin                          /01142901/,corisin,corisin,coricidin hbp cold & flu,coricidin hbp cold & flu,coricidin hbp cough & cold
"cough suppressants and expectorants, combinat","cough suppressants and expectorants, combinations",cough suppressants and expectorants,cough suppressants and mucolytics,cough nurse,cough and cold preparations
cuatroderm,curatoderm,cuadriderma,cuadriderma,cuadriderma,cuadriderma
curcuma longa,cymalon,carumonam,curaler,curaler,calcium gluconate
daiokanzoto,daivobet,daivobet,daivobet,daivonex,daivobet
dantrolene sodium,dantrolene sod,dantrolenum,dantrolene,dantroleno,dantrolene in oral dosage form
darebon,darvon,darbepoetin,dantron,darvon-n,adbeon
desorelle                          /01706301/,desorex,des,des,desonil,desowen
diethylcarbamazine citrate,diethylcarbamazine,diethylcarbamazin,diethylcarbamazine (substance),diethylcarbamazine (product),diethylcarbamazinum
digitalis purpurea,digitalis leaf,digitalis leaves,digitalis leaf extract,digitalis antitoxin,digitalis glycosides
dijene,dimetane,diprolene,diatensec,diprolene,diprolene
diphenoxylate w/atropine sulfate,diphenoxylate,diphenoxylatum,diphenoxin,diphenylin,diphenylin
dironorm,ironorm,ironorm,micronor,disobrom,disobrom
drugs affecting mineralization,drugs affecting bone structure and mineralization,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,drugs for constipation,drugs for constipation
duratears                          /01103201/,duratest,duratan,duratan,duract,duratuss
eclar,execlear,execlear,claro,claro,claro
edaravone,darvon,medrone,edarbi,edarbyclor,dalalone
eicosapen                          /06850301/,e,e,e,eposin,csa
emoxipin,moxilin,empirin,empirin,empirin,evoxin
enap-hl,endal,endal,endal,endal,endal
enap-hl                            /06436201/,e,e,e,endal,endal
eneas,enemas,entre-s,entex s,entre-s,entre-s
enervit                            /02938801/,e,e,e,engerix b,endari
epipropane                         /00483701/,epipram,epipram,epipen,epipen,epipen
esculoside,esclim,deslanoside,rescudose,clomide,ethulose
essentiale                         /00844501/,essential care,essian,essian,esperal,eslectin
essentiale 303,essential care,essian,essian,esketamine,eslectin
estroven,estrone,estrone,estrogens,estrogens,estrogenic
ethanolamine acetylleucinate,ethanolamine oleate,ethanol,ethanol,ethanol,ethanol topical
eupatilin,epanutin,eustigmin,eustigmin,epilim,netillin
ferrimed                           /01249901/,ferro-time,ferro-time,ferrocite,ferrocite f,ferrocite f
