term,slct,second_class,match1,match2,match3,match4,match5
calcium mefolinate w/pyridoxine hydrochloride,1,,calcium ipodate [chemical/ingredient],calcium carbonate/simethicone oral tablet,calcium carbonate/simethicone oral tablet,calcifediol [chemical/ingredient],calcium chloride [chemical/ingredient]
calcium pantothenate w/vitamins nos,1,,calcium pantothenate,calcium pantothenate,calcium d-pantothenate,calcium d-pantothenate,calcium pantothenate preparation
calcium polystyrene sulfonate,1,,calc polystyr sulfonate,calcitrene,calcipotriene,calcium phosphate product,calcium glucoheptonat
calcium w/iron,1,,calcium,calcium,calcium leucovorin,"calcium, nadroparin",calcium glubionate
calcium w/minerals/vitamin d nos,1,,calcium carbonate/vitamin d oral wafer,calcium carbonate/vitamin d oral wafer,calcium antacid,calcium antacid,calcium carbonate/vitamin d oral tablet
calcium w/vitamin d nos,1,,calcium,calcium,calcium carbonate/vitamin d oral capsule,calcium carbonate/vitamin d oral capsule,calcium citrates
calcium with vitamin d             /01233101/,1,,calcium,calcium,calcid,calcid,calciquid
calcium-sandoz                     /00009901/,1,,calcium-sandoz,calcium-sandoz,calci-d,calcid,calcidiol
"calcium, combinations with other drugs",1,,"calcium, combinations with vitamin d and/or other drugs",calcium carbonate/magnesium oxide oral tablet,calcium carbonate/magnesium oxide oral tablet,calcium carbonate/magnesium oxide oral tablet,calcium carbonate/magnesium oxide oral tablet
calmylin                           /01190401/,Non,,calmicid,calmurid,calmurid,calamine,calmurid hc
caltrate +d                        /06862301/,1,,caltrate,caltrate,caltro,caltro,care
caltrate plus                      /01438001/,1,,caltrate plus d,caltrate plus d,caltrate plus d,caltro,calagel
calvita                            /00287201/,Non,,calvite p & d,calvite p & d,calvite p&d,calvite p&d,calcitab
camgesic,Non,,cafgesic,cafgesic,cafgesic,amigesic,calagesic
camphor,1,,camphora,campto,camptosar,campath,campral
camphor w/menthol,1,,camphora,camphor-phenol topical,camphor-phenol topical,camphor-phenol topical,camphor-phenol topical
candesartan w/hydrochlorothiazide,1,,candesartan,aliskiren and hydrochlorothiazide,candesartan and amlodipine,candesartan cilexetil,candesartan and diuretics
canephron                          /00996401/,Non,,canesten,canesten,canesten,canesten af,canesten vc
cannabis,1,,cannabinoids,cannabinoid,cannabinoids [chemical/ingredient],cancidas,cantassium
cannabis sativa,1,,cannabinoid (substance),canasa,canakinumab (substance),cantassium vitamin e,canesten oasis
canrenoic acid,Non,,carbolic acid,carbolic acid,carbolic acid,carbolic acid,alendronic acid
carace plus                        /01613901/,1,,carace plus,carace plus,carace,care,care
carbager-plus,Non,,carbaglu,carace plus,carba-xp,carba-xp,carbagen
carbasalate,1,,carbasalate calcium,carbasalate calcium,carbamates,carbasalato calcico,carbasalato calcico
carbohydrates nos w/potassium chloride/sodium,1,,carbohydrates,carbohydrates,carbohydrate product,carbohydrate,carbohydrate (substance)
cardilan                           /01035601/,Non,,cardioxan,cardinol,cardoxin,cardular,carduran
cardioplegia,1,,cardioplegia solution,cardioplegia solutions,cardioplegic solution agent,cardioplen xl,cardiology pack
cardioplegic solution,1,,cardioplegia solution,cardioplegia solutions,cardioplegic solution agent,cardioplegia solution (product),cardioplegic solution agent (substance)
carminative,Non,,carticaine,caroid laxative,caroid laxative,carticain,carbinoxamine
carminative                        /01272401/,Non,,care,care,care,care,care
carminativum-hetterich,Non,,carmustine,carmustina,carmustine [chemical/ingredient],"carmine, indigo",carbatuss-cl
carnosine,Non,,carnitine,carboxine,narcotine,carbocaine,capsorin
carpantin                          /00942401/,Non,,carac,cartia,cartia,care,care
carperitide,Non,,carpiperone,carifree,carifree,care,care
carthamus tinctorius,Non,,carnitor,cartia,cartia,cardicor,caramet cr
catarrh,Non,,catapres,catapres,catapres,catacrom,catapresan
cebetabs,Non,,cet,zebeta,sleeptabs,sleeptabs,ceberclon
cebion-calcium med d3-vitamin,Non,,cenafed,cubicole d,cetuximab [chemical/ingredient],cena k,cena k
cefaclor monohydrate,4,,cefacloro,chloral monohydrate,cefaclor cd,cefaclor,cefaclorum
cefaliv,Non,,cefa,cefalexin,cefalotin,cefazolin,cefalexina
cefalotin sodium,3,,cefalotinum,cefazolin sod,cefalotin,cefaloridinum,cefalotina
cefathiamidine,Non,,cefatrizine,cefatriaxone,cefalothin,cefalotine,cefapirine
cefixime trihydrate,1,,cefixime,cefixim,cefixima,cefixime (substance),cefixime [chemical/ingredient]
cefmetazole sodium,1,,cefmetazolum,cefmetazole,cefmetazolo,cefmetazole (substance),cefmetazole [chemical/ingredient]
cefminox sodium,2,,cefminoxum,cefminox,cefpodoximum,cefminox (substance),cefuroxime sod
cefodizime disodium,1,,cefodizime,cefodizime (product),cefodizime (substance),cefotaxime sod,cefotaximum
cefonicid sodium,Non,,cefonicidum,cefonicido,ceforanidum,cefonicid (substance),cefobid
cefonicide,1,,cefonicid,cefonicido,ceforanide,cefaronide,cefoxitine
cefoperazone sodium,2,,cefoperazonum,cefoperazone,cefoperazono,cefotetanum,cefozopran
cefoperazone sodium w/sulbactam,2,,cefoperazonum,cefoperazone,cefoperazono,ceforanido,ceforanide (substance)
cefoperazone w/sulbactam,4,,cefoperazonum,cefoperazone (substance),cefoperazon,cefoperazone and beta-lactamase inhibitor,cefoperazone [chemical/ingredient]
cefotiam hexetil hydrochloride,1,,cefotiam,cefotiam [chemical/ingredient],ceftobiprole medocaril,cefotaxime sod,cefotaxime
cefoxitin sodium,1,,cefoxitin sod,cefoxitinum,cefoxitin,cefoxitina,cefoxitine
cefpimizole,Non,,cefprozil,cefpirome,cefpiramido,cefepime,cefprozilo
cefpiramide sodium,2,,cefpiramidum,cefpiramide,cefpiramido,cefpirome sulf,cefamandolum
ceftazidime pentahydrate,1,,ceftazidime pentahyd,ceftazidima,ceftazidime,ceftazidim,ceftazidime [chemical/ingredient]
ceftezole sodium,1,,ceftezole,cefazolinum,ceftizoxima,ceftriaxone sod,ceftaroline fosamil
ceftizoxime sodium,2,,ceftizoximum,ceftizoxime,ceftizoxima,cefotaxime sod,ceftizoxime (substance)
celadrin,1,,claradin,claradin,claradin,clarine,clarine
celestona bifas,1,,celestone,celestone,celestone,celestone,celestone
cenovis mega-multi,Non,,centrum singles-vitamin c,centrum singles-vitamin e,centrum singles-vitamin c,centrum singles-vitamin c,central nervous system
cenovis multivitamin and mineral,Non,,"iron, multivitamins and minerals",centrum singles-vitamin e,centrum singles-vitamin c,centrum singles-vitamin c,cenfol
centagyl f                         /03057801/,Non,,centyl,centany,centany,centergy,centergy
centella asiatica,Non,,centyl,centex,centex,centrally acting antiobesity products,centussin
centella asiatica extract,Non,,centrally acting sympathomimetics,central nervous system diagnostic radiopharmaceuticals,centex,centrally acting antiobesity products,cetec
centrum                            /00554501/,Non,,centran,centrax,centex,centergy,centergy
centrum                            /01536001/,Non,,centran,centrax,centex,centergy,centergy
centrum a to zinc,1,,centrum advance,centrax,centrum singles-vitamin c,centrum singles-vitamin c,centrum pro nutrients
centrum advantage,1,,centrum advance,centany,centany,centrum pro nutrients,centrum pro nutrients
centrum select 50+,1,,centrum singles-beta carotene,centrum singles-beta carotene,centrum singles-vitamin c,centrum singles-vitamin c,central nervous system
centrum silver                     /01292501/,Non,,centrin,centex,centex,centussin,centussin
cepacol anesthetic,1,,cepacol,cepacol,cepacol,cepacol,cepacol sensations cooling
cephalosporin c,other beta-lactam antibacterials,,cephaloridin,cephalotin,cephaloridine,cephaclor,cephalothin
cerebrolysin                       /00392001/,Non,,cerebyx,cerebrovase,cerelle,ceredase,cerezyme
cerefolin nac,Non,,cefazolina,clorfenesina,cerulein,cefazolin,cerdelga
cernevit                           /01027001/,1,,cernevit,cernevit,cernevit,certiva,certiva
cernilton                          /00521401/,Non,,cernevit,cernevit,cernevit,celontin,cervidil
cernitol,Non,,cernevit,cernevit,cernevit,cetirocol,retinol
certoparin sodium,1,,certoparin sod,ceratonia (product),certican,ceftriaxone sod,certolizumab pegol
cetacaine                          /00556501/,1,,cetacaine,cetacaine,cetacaine,cetacaine,cetacaine
cetaphil,Non,,ceta plus,ceta plus,cetapred,cetapred,cetapred
cetirizine w/pseudoephedrine,1,pseudoephedrine,cetirizine,cetirizin,cetirizine hcl,cetirizinum,cetirizina
cetraxate,Non,,cetraxal,cetraxal,cetraxal,cetraxal,cetraben
chelation therapy,Non,,choline alphoscerate,chemdal expectorant,chemdal expectorant,chemdal expectorant,chemical oxygen
chelidonium majus,Non,,chlordinium,"chloride, magnesium","chloride, magnesium",chininum,"chloride, ammonium"
chemotherapy,Non,,chemotherapeutics for topical use,chemdal,chemdal,chemdal,chemdec
cheracol,1,,cheracol-d,cheracol-d,charcoal,cepacol,cheracol sore throat
cheracol                           /00693301/,1,,cheracol d,cheracol d,cheracol sore throat,cheracol sore throat,cheracol sore throat
cheratussin ac,1,,cheratussin dac,cheratussin dac,cheratussin dac,cheratussin,cheratussin
cheston,Non,,cepton,cepton,celestone,celestone,celestone
chloramphenicol palmitate,1,,chloramphenicol topical,chloramphenicol topical,chloramphenicol topical,chloramphenicol topical,chloramphenicol topical
chlordiazepoxide w/amitriptyline,1,,chlordiazepoxide,chlordiazepoxidum,chlordiazepoxide [chemical/ingredient],chlordiazepoxide (substance),chlordiazepox hcl
chlorhexidine hydrochloride,1,,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine
chloromycetin                      /00258701/,1,,chloromycetin,chloromycetin,chloromycetin,chloromycetin,chloromycetin
chlorophyllin copper complex sodium,Non,,chloramphenicol in topical dosage form,chloramphenicol in topical dosage form,chloramphenicol in topical dosage form,chloramphenicol in topical dosage form,chloramphenicol in topical dosage form
chlorphenesin carbamate,1,,chlorphenesin,chlorphenesinum,chlorphenamine (substance),chlorphenesin (substance),chlorphenoxamine (substance)
chlorphenir w/dextrometh/guaifenesin/phen.pro,1,,chlorpheniramine,chlorphenamin,chlorphen hd,chlorphen hd,chlorphen hd
chlorpheniramin polistire/hydrocod polistire,1,,chlorpheniramine,chlorphen hd,chlorphen hd,chlorphen hd,chlorphen hd
cholesterol,Non,,cholestagel,cholesterol management,cholesterol management,cholesterol management,cholesterol management
choline,Non,,choloxin,"choline, cdp",cholib,cholinesterase,cephazoline
choline magnesium trisalicylate,Non,,choline salicylate,choline esters,choline salicylate (substance),choline alfoscerate,choline/glutamine/inositol oral tablet
choline w/inositol,Non,,chiro inositol,choline esters,choline derivatives,choline theophylline,choline fenofibrate
chondroitin w/glucosamine          /02118501/,1,,chondroitin sulfate,chondroitin sulfate b,chondroitin sulfates,chondroitin sulphate,chondroitin sulphate b
chromagen,Non,,cromogen,cromogen,choragon,chloromag,chloromag
chromagen                          /00555001/,Non,,chromonar,chronulac,choragon,chromotrichia factor,chromium-51 edetate
chromagen                          /00922301/,Non,,chromonar,chronulac,choragon,chromotrichia factor,chromium-51 edetate
chymoral                           /00087801/,Non,,chymopapain,chymotrypsin,chymotrypsin,chymotrypsin a and b,chymotrypsin a and b
cibadrex,Non,,cibacen,cibacène,carbex,care,care
cibaflam,Non,,cibral,citalopram,cicafem,acoflam,acoflam
cicletanine hydrochloride,1,,cicletanine,cicletanide,cicletanine (substance),ciclesonide [chemical/ingredient],ciclesonide [chemical/ingredient]
cilastatin sodium,1,,cilastatin and imipenem,cilastatin / imipenem,cilastatin/imipenem,"cilastatin, imipenem drug combination",cilastatin sodium/imipenem 250 mg-250 mg intravenous powder for solution
cimetropium,1,,cimetropium bromide,cimetidinum,cetrimonium,cetrimonium,cimetidin
cinacalcet hydrochloride,1,,cinacalcet hcl,cinacalcet,cinacalcet (substance),cinalog,cinalog
cinepazide maleate,1,,cinepazide,cinepazet,cineol,cinopal,cineole
cirrus                             /01318001/,Non,,c,cinu,cipro,cipro,cipro
ciruelax,Non,,cipralex,citrucel,cidaflex,cidaflex,relpax
cisatracurium besilate,1,,cisatracurium,cisatracurium (substance),cisatracurium [chemical/ingredient],cisapride,cisapridum
citracal + d                       /01438101/,1,,citracal,citrucel,citra ph,citramag,citrical plus d
citradex,Non,,citravet,citroma,citroma,ciprodex,ciprodex
citramon                           /00388301/,Non,,citroma,citroma,citroma,citramag,citrolith
citrocholine,1,,citicholine,carbocholine,carbocholine,citicoline,citrolith
citrosan,Non,,citroma,citroma,citroma,irospan,irospan
clarinex-d 24-hour,1,,clarinex-d,clarinex-d,clarinex,clarine,clarine
clavulanate potassium,Non,,clavine alkaloids,"citrate, potassium",clavamox,canrenoate potassium,cla
clenil compositum                  /00548601/,Non,,clenia,clenia,clenia,clenil modulite,clenil modulite
clidinium,Non,,clinium,cetylpyridinium,cetylpyridinium,cetylpyridinium,cetylpyridinium
clidinium bromide,Non,,aclidinium bromide,aclidinium brom,aclidinium bromide (substance),clidinium and psycholeptics,umeclidinium bromide
climen                             /01116101/,Non,,climesse,climanor,climesse,climesse,climesse
clinadil,Non,,clindacin,clindagel,clindacin,clindagel,clindacin
clobol-g,Non,,clobetasol,clobutinol,clobetasol.,clobetasol.,clobex
clodronate disodium,1,,clodronic acid,clodronsaeure,clodronsäure,clodantoin,clorotrianiseno
clofibric acid,4,,clofibride,"clofibric acid, ethyl ester",citric acid,clofibrate,clofibrato
clognil plus,Non,,clofenil,clofenil,clofenil,corzall plus,corzall plus
clonalin,Non,,clonidin,clonidin,clonidin,clonidina,clonidine
cloperastine hydrochloride,1,,cloperastine,cloperastine (substance),cloprednol,clopenthixol,cloridarol
clopidogrel hydrochloride,1,,clopidogrel,clopidogrelum,clopidogrel in oral dosage form,clopidogrel [chemical/ingredient],clopidogrel (substance)
clorazepic acid,1,,clorazepate dipot,carbolic acid,carbolic acid,carbolic acid,clorhexidina
clotrason,Non,,clobetasone,clobetasone,clotam,clotrimazoil,clotrimazole
co-dilatrend,1,,dilatrend,co-diovan,co-danthramer,co-danthrusate,colgate
co-pyronil,Non,,co-cyprindiol,co-prenozide,co-proxamol,co-dydramol,co-dydramol
co-tylenol                         /00446801/,Non,,co-tenidone,co-tussin,co-tussin,colyte,colyte
cocarboxylase,Non,,codecarboxylase,cocaina,cocaina,cocaina,cocaina
cocillana-etyfin                   /00223001/,Non,,cocet,cocet,cocaine,cocaine,cocaine
codafen                            /01182601/,1,,codafen,codafen,codafed,codafed,codafed
codeine contin,codeine,,codafen continus,codafen continus,codafen continus,codeine and ibuprofen,codeine 15mg/acetaminophen 300mg cap
codeine phos.w/guaifenesin/pheniramine mal.,1,,codeine phos,codeine,codeine phosphate/ibuprofen 12.8 mg-200 mg oral tablet,codeine and other non-opioid analgesics,codeinum
codeine phosphate sesquihydrate,1,,codeine phos,codeine,codeine phosphate/ibuprofen 12.8 mg-200 mg oral tablet,codegest,codegest
codeine sulfate,1,,codeine (substance),codeine,copper sulfate,codegest,codegest
codenal                            /00467701/,Non,,codeína,codein,codelsol,codelsol,codelsol
colbenemid,Non,,benemid,colestid,clomid,moclobemid,collagen peptidase
colchimax                          /00728901/,Non,,colchicina,colchamine,colchcine,colchicin,colchicinum
colistimethate sodium,Non,,colistimeth sod,colistina,colistine,colistina,colistine
colon operation,Non,,colocort,colocort,colocort,colocort,colocort
colopeg                            /00877901/,Non,,cologel,colofac,colofac mr,colocort,colocort
colsprin,Non,,sloprin,sloprin,sloprin,solprin,capsorin
colyte                             /00751601/,1,,colyte,colyte,colyte,colyte,colyte
"comb of penicillin, incl. beta-lactam. inhib",1,,"combinations of penicillins, incl. beta-lactamase inhibitors",combinations of penicillins,combinations of antihypertensives in atc-gr. c02,combinations for eradication of helicobacter pylori,combinations of antihistamines
"combinations and complexes of aluminium, calc",1,,"combinations and complexes of aluminium, calcium and magnesium compounds",combinations of penicillins,combinations of antineoplastic agents,combinations,combinations
combiron b 12,Non,,combigan,combigan,combivir,combivir,combigan
combivent                          /01261001/,1,,combivent,combivent,combivent udvs,combivir,combigan
combizym                           /00185101/,Non,,combigan,combigan,combivir,combivir,combigan
compression stockings application,Non,,compro,complement c1 esterase inhibitor (recombinant),combinations of tetracyclines,competact,compoz
condom,Non,,condylox,acondro,acondro,acondro,acondro
conivaptan hydrochloride,1,,conivaptan,arginine hydrochloride,conivaptan [chemical/ingredient],conivaptan (substance),control
conlunett,Non,,condyline,constulose,convulex,concerta,constella
contac                             /00014501/,1,,contac,contac,contac cold,contac 12 hour,contac 12 hour
contraception,Non,,contac,contac,contrave,counteract pain,contimin
contraceptives,Non,,contragesic,contrave,contrave,contact laxatives,citracal petites
contraceptives nos,Non,,contraceptives for topical use,contac sinus,contac sinus,contrast media,contimin
convallaria majalis,Non,,convalis,coaltar,coaltar,coaltar,coaltar
convallaria majalis extract,Non,,convalis,contact laxatives in combination,coal tar ext,contact laxatives,coal tar ext/allantoin
cophene                            /00566301/,Non,,cop,copd,copd,cp,cop-1
copyrkal,Non,,cop,cp oral,cp oral,cortalo,cortalo
cordalin,Non,,cordran,corlan,cordarone,corwin,codamine
cordalin                           /00343201/,Non,,cordran,cordran sp,cordarone,cordarone x,cordron hc
cordex                             /00062301/,Non,,cordarex,cordilox,coreg,cordilox mr,corzide
coricidin                          /01142901/,3,,corisin,corisin,coricidin hbp cold & flu,coricidin hbp cold & flu,coricidin hbp cough & cold
coronary angioplasty,Non,,coro-nitro,coro-nitro,coroday mr,corlanor,corsodyl
corozell,Non,,corzall,corzall,coropres,corzide,corzide
cortafriol,Non,,cortisol,cortisol,cortisol,cortisol,cortisol
corticetin,1,,corticorelin,corticaine,corticaine,corticaine,corticaine
cosaichill,Non,,cosamin,cosamin,cosuric,cosmocol,cosmocol
cosopt                             /01419801/,1,,cosopt,cosopt,cosopt,cosopt pf,cosopt pf
"cough suppressants and expectorants, combinat",1,,"cough suppressants and expectorants, combinations",cough suppressants and expectorants,cough suppressants and mucolytics,cough nurse,cough and cold preparations
cough suppressants excl. comb. with expectora,1,,"cough suppressants, excl. combinations with expectorants",cough suppressants and expectorants,cough suppressants and mucolytics,cough nurse,coughtuss
coughcode,Non,,cough out,cough-x cough relief,cough-x cough relief,cough-x cough relief,cough-x cough relief
coveram,Non,,covera,cera,coversyl,covace,covace
covomycin,Non,,colomycin,colomycin,cortomycin,cortomycin,cortomycin
crampex                            /00514201/,Non,,crantex,crantex,crantex,crantex,crantex
cromatonbic,Non,,crotamiton,cromolyn,cromolyn,cromolyn,cromolyn
cuatroderm,1,,curatoderm,cuadriderma,cuadriderma,cuadriderma,cuadriderma
cucurbita pepo,Non,,cupric sulphate,cupric sulfate,cucalyptol,carba xp,carba xp
curcuma longa,Non,,cymalon,carumonam,curaler,curaler,calcium gluconate
cyamopsis tetragonoloba,Non,,cyamepromazine,cya,cya,cyamemazine,cytosar
cyamopsis tetragonoloba gum,Non,,cyamepromazine,cya,cya,cyamemazine,capsin
cyanocobalamin w/pyridoxine,1,pyridoxine,cyanocobalamin,cyanocobalamin preparation,cyanocobalmin,cyanocobalamin co57,cyanocobalamin tannin complex
cyclo-progynova                    /00346801/,1,,cyclo-progynova,cyclo-progynova,cyclo-progynova,cyclo-progynova,cyclo-progynova
cycloph w/doxorub/prednis/rituximab/vincrist,Non,,cyclosporine a,cyclosporine a,cyclophenil,cyclosporin a,cyclosporin a
cyproterone acetate,1,,cyproterone,cyproterone and estrogen,cyprote acet,cyproterone (substance),cyproterone preparation
cysteine,Non,,cysteamine,cysteamine,cysteinamine,cysteinamine,cystrin
cysto,Non,,cystagon,cystagon,cayston,cystospaz,cystocalm
cytochrome c,Non,,cytomel,cetohyroxamic acid,cytotec,cytotec,cytosar u
cytoflavin,Non,,lactoflavin,cytoxan,cytovene,cytovene,cyticholine
d2e7,Non,,d,des,des,dhea,dex4
dabigatran,1,,dabigatran etexilate,dabigatran etexilate (substance),daktarin,daktarin,daktarin
daflon                             /02311201/,1,,daflon,dfo,df,danol,dalgan
daily vitamins,Non,,daily hist,daily hist,dairy ease,dala,"acid, vitamin a"
daiokanzoto,Non,,daivobet,daivobet,daivobet,daivonex,daivobet
daivobet                           /01643401/,1,,daivobet,daivobet,daivobet,daivobet,daivobet
dalmacol,Non,,alacol,alacol,alacol,alacol,alacol
dantrolene sodium,1,,dantrolene sod,dantrolenum,dantrolene,dantroleno,dantrolene in oral dosage form
darebon,Non,,darvon,darbepoetin,dantron,darvon-n,adbeon
daren,Non,,adren,adren,adren,darifenicin,dabrafenib
daslin,Non,,dalacin,dayli,daonil,dayli,dasatinib
deanxit                            /00428501/,Non,,deanol,det,deanase,dt,anx
debrumyl,Non,,demanyl,dermalo,debrisoquin [chemical/ingredient],debrisoquin,debrisoquina
defenac-p,Non,,defen-la,defen-la,defanac,defanac,defend ii
dehydro sanol,Non,,dehydrated ethanol,dehydrated ethanol,dehydrated ethanol,dehydrogesterone,dehydrocortisone
deltazine with epinephrine,Non,,deltalin,delta thc 09,deltasone,deltasone,delta-methorphan
demacolin,Non,,demecolcine,dermacin,dermacin,dermocaine,dermocaine
demalgon,Non,,demanol,dermalog,dermalzone,dermalzone,dexalone
demazin                            /00365701/,1,,demazin,demazin,demadex,dmi,dermazinc
denopamine,1,,deconamine,deconamine,denzapine,dopexamine,dentapaine
dental treatment,Non,,denticare,denticare,denticare,denticare,denticare
depsol plus,Non,,dialose plus,docusol plus,docusol plus,docusol plus,docusol plus
dequalinium chloride,1,,dequalinium chlor,dequalinium chlor,dequalinium,dequalinium,dequalinium
desblue,Non,,desflurane,des,des,degludec,despec
desenfriol d,Non,,deseril,desril,desonide,desonide,desonil
desogestrel w/estrogen nos,1,,desogestrel and estrogen,desogestrel,desogestrel (substance),desogestrel / ethinyl estradiol,desogestrel / ethinyl estradiol
desorelle                          /01706301/,Non,,desorex,des,des,desonil,desowen
despa                              /01712801/,Non,,des,des,des,despec,despec
detajmium bitartrate,Non,,deta,detemir,detamethasone,detamethasone,detamethasone
dexamethasone phosphate,1,,dexamethasone preparation,dexamethasone preparation,dexamethasone preparation,dexamethasone preparation,dexamethasone preparation
dexamethasone sodium metasulfobenzoate,1,,dexamethasonum,dexamethasonum,dexamethasonum,dexamethasonum,dexamethasonum
dexeryl,Non,,dexodryl,dexodryl,dexodryl,desyrel,dexedrine
dexeryl                            /01579901/,Non,,dex,dexol,dexol,dexol,dexedrine
dexketoprofen trometamol,1,,dexketoprofen,dexketoprofen,dexketoprofen in oral dosage form,dexketoprofen in oral dosage form,dexketoprofen (substance)
dexmedetomidine hydrochloride,1,,dexmedetomidine,dexmedetomidin,dexmedetomidina,dexmedetomidinum,dexmedetomidine (substance)
dexorange                          /01750401/,Non,,dex,dexol,dexol,dexol,dexasone
dextran + glukos,1,,dextran,dextranomer,dextrogel,dexilant,dextranomer topical topical paste
dextran 40,1,,dextran,dextranomer,dextran (substance),dextrostat,dextrorazoxane
dextriferron,Non,,dextromethorfan,dextrometorfano,dextropropoxifeno,dextrosulfenidol,deferipron
dextromethorphan w/pseudoephedrine,1,,dextromethorphan,dextromethorphanum,dextrometh/pseudoephed,dextromethmorphan,dextromethorphan (substance)
dextrose and sodium chloride injection,dextrose,,dextrose and electrolyte no. 75,dextrose and electrolyte no. 75,dextrose and electrolyte no. 75,dextrose and electrolyte no. 75,dextrose and electrolyte no. 75
dextrose in lactated ringer's,1,,dextrose,dextrose,dextrose,dextro energy,dextromoramide tart
dextrose w/potassium chloride,dextrose,,dextrose,dextrose,dextrose,"dextrose, unspecified form","dextrose, unspecified form"
di-gesic                           /00016701/,Non,,di-gel,di-gel,di-gel,d-g,d-g
diabiformine,Non,,diabiom,diamorphine,diabinese,diisopromine,diabecline
dianavit,Non,,kanavit,diar-aid,diacomit,darunavir,dixarit
diane,Non,,dianette,disadine,disadine,disadine,disadine
diapride forte,Non,,duradex forte,duradex forte,pred forte,pred forte,pred forte
diazepan                           /00762201/,1,,diazepam,diazepam rectube,diazoxide,diazemuls,diazoxide
dibrompropamidine isetionate,1,,dibrompropamidine,dibrompropamidine,dibrompropamidine (substance),dibrompropamidine (substance),dibromopropamidine
diclovit                           /01562401/,Non,,dic,diclovol,diclozip,diclovol,diclozip
didrokit                           /01103501/,Non,,didronel,didronel pmo,ddt,dt,didrogesterona
diethylcarbamazine citrate,1,,diethylcarbamazine,diethylcarbamazin,diethylcarbamazine (substance),diethylcarbamazine (product),diethylcarbamazinum
difilin                            /01148101/,,,difil g,difil g,dificlir,dificid,diflucan
digene,Non,,digex,digoxine,digenac xl,digenac xl,digenac xl
digestives enzymes,Non,,"digestives, incl. enzymes","digestives, incl. enzymes",dipeptiven,dipeptiven,dipeptiven
digitalis purpurea,3,,digitalis leaf,digitalis leaves,digitalis leaf extract,digitalis antitoxin,digitalis glycosides
dijene,Non,,dimetane,diprolene,diatensec,diprolene,diprolene
dimecrotic acid,Non,,iocarmic acid,acetrizoic acid,citric acid,diatrizoic acid,etacrinic acid
dinaciclib,Non,,cidacin,doxiciclina,doxiciclina,nacl,nacl
diovan triple,1,,diovan,diovan hct,diovan hct,ditropan xl,diosmin preparation
diovol                             /00018101/,Non,,diovan,diovan hct,diovan hct,dv,diodone
diphenhydra. hcl w/paracetamol/pseudoeph. hcl,1,,diphenhyd hcl/pholcod,diphenyl,diphenyl,diphenadryl,diphenadryl
diphenoxylate hydrochloride,1,,diphenoxylate,diphenoxylic acid,diphenyl,"diphosphonate, dichloromethylene",diphenylglyoxal superoxide
diphenoxylate w/atropine sulfate,1,,diphenoxylate,diphenoxylatum,diphenoxin,diphenylin,diphenylin
diprogenta,Non,,dipro,diprolene,diprolene,diprolene,diprolene
diprospan                          /00582101/,Non,,dipro,diprosone,diprosone,diprosone,diprosone
dironorm,Non,,ironorm,ironorm,micronor,disobrom,disobrom
ditemer,Non,,demser,difemerine,dimetriose,diutensen-r,diutensen-r
divina                             /00714301/,Non,,diva,divigel,dv,dv,dica
dl-alpha tocopheryl acetate,1,,dl-alpha-methylphenethylamine,dl-alpha-difluoromethylornithine,dl-alpha-difluoromethylornithine,dl-tropyltropate,dl-tropyltropate
dobutamine hydrochloride,1,,dobutamine hcl,dobutamine,dobutamin,dobutamina,dobutaminum
dociteren,Non,,docefrez,doc,diacerein,meticorten,meticorten
docosahexaenoic ac w/eicosapenta ac/tocophero,Non,,docosanol,docosanol topical,docosanol [chemical/ingredient],docosan-1-ol,docosyl alcohol
dolmina                            /01047201/,Non,,dolmar,dolmar,dolmatil,dolofin,dormin
dolocordralan                      /01582501/,Non,,dolocid,dolono,doloracin,doloracin,dolocodon pr
doloproct                          /00951901/,Non,,dolorac,dolorac,dolotic,dolotic,dolotic
domperidone w/pantoprazole,3,pantoprazole,domperidone/paracet,domperidona,domperidone,domperidon,domperidonum
dona                               /00336901/,Non,,donatuss dc,donatuss dc,donatuss dc,donatuss dc,donatuss dc
dona                               /00362101/,Non,,donatuss dc,donatuss dc,donatuss dc,donatuss dc,donatuss dc
donagan                            /01153301/,Non,,donatussin dc,donatussin dc,donatussin dc,donatussin dc,donatussin dc
donormyl                           /00886901/,Non,,dm,doryx,doryx,doral,doxy
dorzolamide w/timolol,1,,dorzolamide/timolol,dorzolamide,dorzolamid,dorzolamidum,dorzolamida
doxifluridine,Non,,idoxuridine,idoxuridine,idoxuridine,iodoxuridine,iodoxuridine
doxorubicin hydrochloride,1,,doxorubicin hcl,doxorubicin,doxorubin,doxorubicine,doxorubicin liposomal
dozol                              /00435101/,1,,dozol,dozic,dozine,doxal,docal
dreisavit                          /00844801/,Non,,des,des,des,dst,dristan
dronedarone hydrochloride,1,,dronedarone hcl,dronedarone,dronedarone (substance),dronabinol,dronabinol [chemical/ingredient]
drugs affecting mineralization,1,,drugs affecting bone structure and mineralization,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,drugs for constipation,drugs for constipation
drugs for treatm. of hyperkal. & hyperphospha,1,,drugs for treatment of hyperkalemia and hyperphosphatemia,drugs for treatment of lepra,drugs for treatment of lepra,drugs for treatment of hypoglycemia,drugs for treatment of hypercalcemia
