body_system,terms
SUPPLEMENTS,*ALPHA-TOCOPHEROL/*APIUM GRAVEOLENS/*BIOFLAVONOIDS/*CALCIUM ASCORBATE/PROANTHOCYANIDINS| *ASCORBIC ACID/*BIOFLAVONOIDS/*CALCIUM ASCORBATE| *MULTIVITAMIN NOS/*PHOSPHATIDYL CHOLINE/*PHOSPHOLIPID| ACAI BERRY| ACETYLCYSTEINE/CAMELLIA SINENSIS/CURCUMIN/PICRORHIZA KURROA/SCHISANDRA CHINENSIS/SILYBUM MARIANUM| AMINO ACIDS/FIBRE NOS/MINERALS/MULTIVITAMIN NOS/ORYZA SATIVA| AMYLASE/BROMELAINS/CHYMOTRYPSIN/LIPASE/PANCREATIN/PAPAIN/RUTOSIDE/TRYPSIN| ASCORBIC ACID/BETAINE HYDROCHLORIDE/CYANOCOBALAMIN/FOLIC ACID/PYRIDOXINE HYDROCHLORIDE| BOSWELLIA/CHONDROITIN SULFATE/GLUCOSAMINE/PHELLODENDRON/SULFATE/URTICA/ZINGIBER OFFICINALE| BOTANICAL NOS/COLLAGEN TYPE II/ENZYME NOS/OREGANO
SURGICAL & MEDICAL PROCEDURES,ABDOMINAL HERNIA REPAIR| ABSCESS DRAINAGE| ADENOIDECTOMY| ADRENALECTOMY| ANKLE OPERATION| AORTIC VALVE REPLACEMENT| APHERESIS| APPENDICECTOMY| ARTHRODESIS| BAKER'S CYST EXCISION
SURGICAL TREATMENTS,OTHER
THERAPEUTIC MICROBES,LACTOBACILLUS RHAMNOSUS| PROBIOTIC NOS| SACCHAROMYCES
THYROID AND PARA-THYROID HORMONE PREPARATIONS,THYROID.DRIED
THYROID HORMONES,LEVOTHYROXINE/LIOTHYRONINE| LEVOTHYROXINE/POTASSIUM IODIDE| LIOTHYRONINE
TRICYCLIC ANTIDEPRESSANTS,IMIPRAMINE PAMOATE
TUMOUR NECROSIS FACTOR ANTAGONISTS,APRATASTAT| BLINDED ETANERCEPT| BLINDED INFLIXIMAB| TUMOUR NECROSIS FACTOR ANTIBODY NOS
"VACCINES, TOXOIDS AND SEROLOGIC AGENTS","ACELLULAR PERTUSSIS VACCINE/DIPHTHERIA VACCINE/TETANUS VACCINE| ALLERGENIC EXTRACTS| DIPHTHERIA VACCINE/TETANUS VACCINE| GLOBULIN, IMMUNE| HEPATITIS A VACCINE/HEPATITIS B VIRUS VACCINE INACTIVATED| HEPATITIS B VIRUS VACCINE INACTIVATED| MUMPS VACCINE| TETANUS VACCINE| VACCINES NOS| VARICELLA ZOSTER VACCINE"
VASODILATORS,VERAPAMIL  HYDROCHLORIDE
VITAMIN B PREPARATIONS (EXCEPT VITAMIN B1),FLAVIN ADENINE DINUCLEOTIDE
VITAMIN E AND PREPARATIONS,TOCOPHEROL ACETATE
VITAMINS AND MINERALS,*ALPHA-TOCOPHEROL/*ASCORBIC ACID/*CUPRIC OXIDE/*LUTEIN/*MINERALS/*VITAMIN/*ZINC OXIDE| *ASCORBIC ACID/IRON/VITAMIN B COMPLEX| ADENOSINE TRIPHOSPHATE DISODIUM/ASCORBIC ACID/GLUTATHIONE/INOSITOL CALCIUM/THIAMINE| ALPHA-TOCOPHEROL| ALPHA-TOCOPHEROL/ASCORBIC ACID/CALCIUM/CALCIUM PANTOTHENATE/COLECALCIFEROL/CYANOCOBALAMIN/FOLIC ACID/IRON/NICOTINIC A...| ALPHA-TOCOPHEROL/ASCORBIC ACID/CALCIUM/COLECALCIFEROL/COPPER/*DEANOL BITARTRATE/FLUORIDE/GINSENG/IRON/MAGNESIUM/MANGA...| ALPHA-TOCOPHEROL/ASCORBIC ACID/CALCIUM/COLECALCIFEROL/COPPER/IODINE/IRON/MAGNESIUM/MANGANESE/MOLYBDENUM/NICOTINAMIDE/...| ALPHA-TOCOPHEROL/ASCORBIC ACID/COPPER/LUTEIN/ZINC| ALPHA-TOCOPHEROL/ASCORBIC ACID/COPPER/RETINOL/SELENIUM/ZINC| ALPHA-TOCOPHEROL/ASCORBIC ACID/CYANOCOBALAMIN/FERROUS FUMARATE/FOLIC ACID
