mean,Var1,Var2,CI2.5,CI97.5,sd,n_eff,rhat,trial,condition,comorbidity,repo
0.03,Pain,Cardiovascular,-0.112,0.173,0.073,3163.5,1,C0524T11,Rheumatoid_arthritis,Pain : Cardiovascular,YODA
0.15,Pain,Acid-related disease,-0.033,0.326,0.093,2986.48,1.001,C0524T11,Rheumatoid_arthritis,Pain : Acid-related disease,YODA
0.19,Pain,Asthma,-0.026,0.392,0.108,2740.32,1,C0524T11,Rheumatoid_arthritis,Pain : Asthma,YODA
0.33,Pain,Anxiety,0.166,0.472,0.076,2612.38,1,C0524T11,Rheumatoid_arthritis,Pain : Anxiety,YODA
0.15,Pain,Osteoporosis,-0.012,0.316,0.083,3018.64,1,C0524T11,Rheumatoid_arthritis,Pain : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,2914.25,0.999,C0524T11,Rheumatoid_arthritis,Cardiovascular : Cardiovascular,YODA
-0.06,Cardiovascular,Acid-related disease,-0.246,0.133,0.098,2749.54,1,C0524T11,Rheumatoid_arthritis,Cardiovascular : Acid-related disease,YODA
0.06,Cardiovascular,Asthma,-0.158,0.274,0.112,2864.55,0.999,C0524T11,Rheumatoid_arthritis,Cardiovascular : Asthma,YODA
0.16,Cardiovascular,Anxiety,0.001,0.32,0.081,2547.09,0.999,C0524T11,Rheumatoid_arthritis,Cardiovascular : Anxiety,YODA
0.04,Osteoporosis,Cardiovascular,-0.123,0.204,0.085,3108.42,1,C0524T11,Rheumatoid_arthritis,Osteoporosis : Cardiovascular,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2919.3,0.999,C0524T11,Rheumatoid_arthritis,Acid-related disease : Acid-related disease,YODA
0.1,Asthma,Acid-related disease,-0.157,0.346,0.127,2207.4,1,C0524T11,Rheumatoid_arthritis,Asthma : Acid-related disease,YODA
0.05,Anxiety,Acid-related disease,-0.153,0.257,0.105,1660.67,0.999,C0524T11,Rheumatoid_arthritis,Anxiety : Acid-related disease,YODA
0.16,Osteoporosis,Acid-related disease,-0.042,0.354,0.103,1824.8,1.001,C0524T11,Rheumatoid_arthritis,Osteoporosis : Acid-related disease,YODA
1,Asthma,Asthma,1,1,0,2439.83,0.999,C0524T11,Rheumatoid_arthritis,Asthma : Asthma,YODA
0.25,Asthma,Anxiety,0.021,0.461,0.112,1450.79,1.001,C0524T11,Rheumatoid_arthritis,Asthma : Anxiety,YODA
-0.03,Osteoporosis,Asthma,-0.267,0.209,0.122,1072.13,1.001,C0524T11,Rheumatoid_arthritis,Osteoporosis : Asthma,YODA
1,Anxiety,Anxiety,1,1,0,2634.76,0.999,C0524T11,Rheumatoid_arthritis,Anxiety : Anxiety,YODA
0.11,Osteoporosis,Anxiety,-0.068,0.282,0.09,2364.62,1,C0524T11,Rheumatoid_arthritis,Osteoporosis : Anxiety,YODA
1,Osteoporosis,Osteoporosis,1,1,0,2271.73,0.999,C0524T11,Rheumatoid_arthritis,Osteoporosis : Osteoporosis,YODA
1,Pain,Pain,1,1,0,NA,NA,C0524T12,Rheumatoid_arthritis,Pain : Pain,YODA
0.08,Pain,Cardiovascular,-0.049,0.202,0.065,2811.33,1,C0524T12,Rheumatoid_arthritis,Pain : Cardiovascular,YODA
0.1,Pain,Acid-related disease,-0.076,0.267,0.087,3191.68,1.001,C0524T12,Rheumatoid_arthritis,Pain : Acid-related disease,YODA
0.14,Pain,Asthma,-0.076,0.348,0.11,2400.64,1,C0524T12,Rheumatoid_arthritis,Pain : Asthma,YODA
0.23,Pain,Anxiety,0.072,0.377,0.078,2787.74,1,C0524T12,Rheumatoid_arthritis,Pain : Anxiety,YODA
0.01,Pain,Osteoporosis,-0.157,0.182,0.088,2577.63,1,C0524T12,Rheumatoid_arthritis,Pain : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,3214.98,0.999,C0524T12,Rheumatoid_arthritis,Cardiovascular : Cardiovascular,YODA
0.03,Cardiovascular,Acid-related disease,-0.139,0.212,0.089,2646.46,1,C0524T12,Rheumatoid_arthritis,Cardiovascular : Acid-related disease,YODA
0.16,Cardiovascular,Asthma,-0.055,0.372,0.109,3232.01,1,C0524T12,Rheumatoid_arthritis,Cardiovascular : Asthma,YODA
0.19,Cardiovascular,Anxiety,0.045,0.338,0.076,2655.9,1,C0524T12,Rheumatoid_arthritis,Cardiovascular : Anxiety,YODA
0.13,Osteoporosis,Cardiovascular,-0.03,0.295,0.085,2722.88,1.001,C0524T12,Rheumatoid_arthritis,Osteoporosis : Cardiovascular,YODA
1,Acid-related disease,Acid-related disease,1,1,0,3184.02,0.999,C0524T12,Rheumatoid_arthritis,Acid-related disease : Acid-related disease,YODA
-0.06,Asthma,Acid-related disease,-0.344,0.237,0.15,1545.86,1,C0524T12,Rheumatoid_arthritis,Asthma : Acid-related disease,YODA
0.22,Anxiety,Acid-related disease,0.021,0.409,0.101,1674.71,1.001,C0524T12,Rheumatoid_arthritis,Anxiety : Acid-related disease,YODA
0.16,Osteoporosis,Acid-related disease,-0.061,0.367,0.109,1758.86,1,C0524T12,Rheumatoid_arthritis,Osteoporosis : Acid-related disease,YODA
1,Asthma,Asthma,1,1,0,3031.71,0.999,C0524T12,Rheumatoid_arthritis,Asthma : Asthma,YODA
0.37,Asthma,Anxiety,0.14,0.562,0.107,1275.27,1.002,C0524T12,Rheumatoid_arthritis,Asthma : Anxiety,YODA
-0.15,Osteoporosis,Asthma,-0.435,0.148,0.147,775.15,1.009,C0524T12,Rheumatoid_arthritis,Osteoporosis : Asthma,YODA
1,Anxiety,Anxiety,1,1,0,1691.58,0.999,C0524T12,Rheumatoid_arthritis,Anxiety : Anxiety,YODA
0.18,Osteoporosis,Anxiety,-0.018,0.37,0.097,2033.08,1,C0524T12,Rheumatoid_arthritis,Osteoporosis : Anxiety,YODA
1,Osteoporosis,Osteoporosis,1,1,0,3038.54,0.999,C0524T12,Rheumatoid_arthritis,Osteoporosis : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,C0743T08,Psoriasis,Cardiovascular : Cardiovascular,YODA
-0.01,Pain,Cardiovascular,-0.203,0.196,0.101,1841.98,1.002,C0743T08,Psoriasis,Pain : Cardiovascular,YODA
0.45,Cardiovascular,Arthritis,0.276,0.612,0.087,1915.84,1,C0743T08,Psoriasis,Cardiovascular : Arthritis,YODA
0.03,Cardiovascular,Anxiety,-0.201,0.261,0.117,2272.98,0.999,C0743T08,Psoriasis,Cardiovascular : Anxiety,YODA
-0.26,Cardiovascular,Asthma,-0.584,0.081,0.17,1535.09,1.001,C0743T08,Psoriasis,Cardiovascular : Asthma,YODA
-0.02,Cardiovascular,Acid-related disease,-0.315,0.265,0.149,1650.56,1.001,C0743T08,Psoriasis,Cardiovascular : Acid-related disease,YODA
1,Pain,Pain,1,1,0,3030.28,0.999,C0743T08,Psoriasis,Pain : Pain,YODA
0.1,Pain,Arthritis,-0.111,0.302,0.108,2094.48,1,C0743T08,Psoriasis,Pain : Arthritis,YODA
-0.07,Pain,Anxiety,-0.31,0.172,0.124,1884.75,0.999,C0743T08,Psoriasis,Pain : Anxiety,YODA
-0,Pain,Asthma,-0.342,0.324,0.172,2200.39,1.001,C0743T08,Psoriasis,Pain : Asthma,YODA
0.16,Pain,Acid-related disease,-0.171,0.451,0.158,1796.92,1.004,C0743T08,Psoriasis,Pain : Acid-related disease,YODA
1,Arthritis,Arthritis,1,1,0,2814.16,0.999,C0743T08,Psoriasis,Arthritis : Arthritis,YODA
-0.06,Arthritis,Anxiety,-0.304,0.176,0.123,1555.86,1.002,C0743T08,Psoriasis,Arthritis : Anxiety,YODA
-0.17,Asthma,Arthritis,-0.5,0.188,0.179,1490.59,1.002,C0743T08,Psoriasis,Asthma : Arthritis,YODA
-0.5,Arthritis,Acid-related disease,-0.835,-0.079,0.197,542.15,1.005,C0743T08,Psoriasis,Arthritis : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,2941.5,0.999,C0743T08,Psoriasis,Anxiety : Anxiety,YODA
-0.48,Asthma,Anxiety,-0.88,0.029,0.245,553.53,1.004,C0743T08,Psoriasis,Asthma : Anxiety,YODA
-0.11,Anxiety,Acid-related disease,-0.467,0.257,0.184,1003.52,1.001,C0743T08,Psoriasis,Anxiety : Acid-related disease,YODA
1,Asthma,Asthma,1,1,0,2189.01,0.999,C0743T08,Psoriasis,Asthma : Asthma,YODA
0.16,Asthma,Acid-related disease,-0.264,0.538,0.204,919.76,1.007,C0743T08,Psoriasis,Asthma : Acid-related disease,YODA
1,Acid-related disease,Acid-related disease,1,1,0,649.9,0.999,C0743T08,Psoriasis,Acid-related disease : Acid-related disease,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,C0743T09,Psoriasis,Cardiovascular : Cardiovascular,YODA
-0.17,Pain,Cardiovascular,-0.346,0.007,0.088,2105.4,1,C0743T09,Psoriasis,Pain : Cardiovascular,YODA
0.52,Cardiovascular,Arthritis,0.387,0.64,0.065,2225.79,0.999,C0743T09,Psoriasis,Cardiovascular : Arthritis,YODA
-0.02,Cardiovascular,Anxiety,-0.197,0.15,0.089,2224.57,1.001,C0743T09,Psoriasis,Cardiovascular : Anxiety,YODA
-0.01,Cardiovascular,Asthma,-0.263,0.253,0.133,1980.06,1,C0743T09,Psoriasis,Cardiovascular : Asthma,YODA
-0.01,Cardiovascular,Acid-related disease,-0.249,0.219,0.12,1461.04,1,C0743T09,Psoriasis,Cardiovascular : Acid-related disease,YODA
1,Pain,Pain,1,1,0,2946.85,0.999,C0743T09,Psoriasis,Pain : Pain,YODA
0.22,Pain,Arthritis,0.047,0.383,0.087,2285.27,1,C0743T09,Psoriasis,Pain : Arthritis,YODA
0.04,Pain,Anxiety,-0.152,0.218,0.096,1670.23,1.002,C0743T09,Psoriasis,Pain : Anxiety,YODA
-0.25,Pain,Asthma,-0.549,0.072,0.161,1353.95,1.002,C0743T09,Psoriasis,Pain : Asthma,YODA
-0.02,Pain,Acid-related disease,-0.284,0.251,0.137,903.9,1.002,C0743T09,Psoriasis,Pain : Acid-related disease,YODA
1,Arthritis,Arthritis,1,1,0,1286.85,0.999,C0743T09,Psoriasis,Arthritis : Arthritis,YODA
-0.12,Arthritis,Anxiety,-0.307,0.07,0.096,1271.64,1,C0743T09,Psoriasis,Arthritis : Anxiety,YODA
0.06,Asthma,Arthritis,-0.223,0.313,0.137,1726.25,1,C0743T09,Psoriasis,Asthma : Arthritis,YODA
-0.39,Arthritis,Acid-related disease,-0.664,-0.109,0.142,737.74,1.002,C0743T09,Psoriasis,Arthritis : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,2486.19,0.999,C0743T09,Psoriasis,Anxiety : Anxiety,YODA
0.02,Asthma,Anxiety,-0.254,0.294,0.141,2081.78,1,C0743T09,Psoriasis,Asthma : Anxiety,YODA
0.08,Anxiety,Acid-related disease,-0.169,0.32,0.126,1379.65,0.999,C0743T09,Psoriasis,Anxiety : Acid-related disease,YODA
1,Asthma,Asthma,1,1,0,2914.54,0.999,C0743T09,Psoriasis,Asthma : Asthma,YODA
-0.44,Asthma,Acid-related disease,-0.868,0.088,0.257,319.59,1.012,C0743T09,Psoriasis,Asthma : Acid-related disease,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2038.81,0.999,C0743T09,Psoriasis,Acid-related disease : Acid-related disease,YODA
1,Pain,Pain,1,1,0,NA,NA,CNTO1275PSA3001,Psoriatic_arthritis,Pain : Pain,YODA
0.29,Pain,Cardiovascular,0.001,0.541,0.139,1650.56,1.001,CNTO1275PSA3001,Psoriatic_arthritis,Pain : Cardiovascular,YODA
0.3,Pain,Anxiety,-0.082,0.636,0.189,2861.68,1,CNTO1275PSA3001,Psoriatic_arthritis,Pain : Anxiety,YODA
0.44,Pain,Asthma,-0.004,0.777,0.203,3240.74,1,CNTO1275PSA3001,Psoriatic_arthritis,Pain : Asthma,YODA
0.17,Pain,Acid-related disease,-0.193,0.502,0.18,1882.68,1.003,CNTO1275PSA3001,Psoriatic_arthritis,Pain : Acid-related disease,YODA
-0.04,Pain,Diabetes,-0.466,0.398,0.225,1316.17,1,CNTO1275PSA3001,Psoriatic_arthritis,Pain : Diabetes,YODA
1,Cardiovascular,Cardiovascular,1,1,0,2924.89,0.999,CNTO1275PSA3001,Psoriatic_arthritis,Cardiovascular : Cardiovascular,YODA
0.3,Cardiovascular,Anxiety,-0.102,0.657,0.198,2972.53,1,CNTO1275PSA3001,Psoriatic_arthritis,Cardiovascular : Anxiety,YODA
0.13,Cardiovascular,Asthma,-0.329,0.574,0.236,2664.82,1.001,CNTO1275PSA3001,Psoriatic_arthritis,Cardiovascular : Asthma,YODA
-0.06,Cardiovascular,Acid-related disease,-0.481,0.364,0.218,1250.64,1.002,CNTO1275PSA3001,Psoriatic_arthritis,Cardiovascular : Acid-related disease,YODA
0.18,Diabetes,Cardiovascular,-0.219,0.568,0.202,1946.32,1,CNTO1275PSA3001,Psoriatic_arthritis,Diabetes : Cardiovascular,YODA
1,Anxiety,Anxiety,1,1,0,2635.17,0.999,CNTO1275PSA3001,Psoriatic_arthritis,Anxiety : Anxiety,YODA
0.04,Asthma,Anxiety,-0.573,0.602,0.304,1629.6,1.002,CNTO1275PSA3001,Psoriatic_arthritis,Asthma : Anxiety,YODA
-0.14,Anxiety,Acid-related disease,-0.734,0.451,0.32,572.63,1.008,CNTO1275PSA3001,Psoriatic_arthritis,Anxiety : Acid-related disease,YODA
-0.12,Diabetes,Anxiety,-0.731,0.499,0.32,693.47,1.005,CNTO1275PSA3001,Psoriatic_arthritis,Diabetes : Anxiety,YODA
1,Asthma,Asthma,1,1,0,3136.56,0.999,CNTO1275PSA3001,Psoriatic_arthritis,Asthma : Asthma,YODA
-0.07,Asthma,Acid-related disease,-0.672,0.525,0.314,490.46,1.004,CNTO1275PSA3001,Psoriatic_arthritis,Asthma : Acid-related disease,YODA
-0.16,Diabetes,Asthma,-0.741,0.456,0.322,691.05,1.001,CNTO1275PSA3001,Psoriatic_arthritis,Diabetes : Asthma,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2665.79,0.999,CNTO1275PSA3001,Psoriatic_arthritis,Acid-related disease : Acid-related disease,YODA
0.25,Diabetes,Acid-related disease,-0.208,0.644,0.223,1668.69,1.002,CNTO1275PSA3001,Psoriatic_arthritis,Diabetes : Acid-related disease,YODA
1,Diabetes,Diabetes,1,1,0,490.47,0.999,CNTO1275PSA3001,Psoriatic_arthritis,Diabetes : Diabetes,YODA
1,Pain,Pain,1,1,0,NA,NA,CNTO1275PSA3002,Psoriatic_arthritis,Pain : Pain,YODA
0.08,Pain,Cardiovascular,-0.219,0.374,0.153,2384.79,1,CNTO1275PSA3002,Psoriatic_arthritis,Pain : Cardiovascular,YODA
0.45,Pain,Anxiety,0.17,0.679,0.131,2338.66,1.002,CNTO1275PSA3002,Psoriatic_arthritis,Pain : Anxiety,YODA
0.3,Pain,Asthma,-0.112,0.68,0.21,1955.55,1,CNTO1275PSA3002,Psoriatic_arthritis,Pain : Asthma,YODA
0.12,Pain,Acid-related disease,-0.221,0.466,0.178,1876.82,1,CNTO1275PSA3002,Psoriatic_arthritis,Pain : Acid-related disease,YODA
0.12,Pain,Diabetes,-0.254,0.493,0.193,2118.94,1,CNTO1275PSA3002,Psoriatic_arthritis,Pain : Diabetes,YODA
1,Cardiovascular,Cardiovascular,1,1,0,2856.28,0.999,CNTO1275PSA3002,Psoriatic_arthritis,Cardiovascular : Cardiovascular,YODA
0.28,Cardiovascular,Anxiety,-0.029,0.562,0.155,1619.57,1.002,CNTO1275PSA3002,Psoriatic_arthritis,Cardiovascular : Anxiety,YODA
0.29,Cardiovascular,Asthma,-0.162,0.682,0.221,2370.26,0.999,CNTO1275PSA3002,Psoriatic_arthritis,Cardiovascular : Asthma,YODA
-0.38,Cardiovascular,Acid-related disease,-0.809,0.119,0.25,774.5,1,CNTO1275PSA3002,Psoriatic_arthritis,Cardiovascular : Acid-related disease,YODA
0.2,Diabetes,Cardiovascular,-0.195,0.567,0.198,1767.71,1.001,CNTO1275PSA3002,Psoriatic_arthritis,Diabetes : Cardiovascular,YODA
1,Anxiety,Anxiety,1,1,0,1820.45,0.999,CNTO1275PSA3002,Psoriatic_arthritis,Anxiety : Anxiety,YODA
0.67,Asthma,Anxiety,0.299,0.919,0.161,2031.43,1,CNTO1275PSA3002,Psoriatic_arthritis,Asthma : Anxiety,YODA
0.11,Anxiety,Acid-related disease,-0.286,0.478,0.197,2045.08,1,CNTO1275PSA3002,Psoriatic_arthritis,Anxiety : Acid-related disease,YODA
0.2,Diabetes,Anxiety,-0.189,0.572,0.198,1344.21,1,CNTO1275PSA3002,Psoriatic_arthritis,Diabetes : Anxiety,YODA
1,Asthma,Asthma,1,1,0,1562.65,0.999,CNTO1275PSA3002,Psoriatic_arthritis,Asthma : Asthma,YODA
-0.04,Asthma,Acid-related disease,-0.586,0.49,0.275,834.75,1.001,CNTO1275PSA3002,Psoriatic_arthritis,Asthma : Acid-related disease,YODA
0.36,Diabetes,Asthma,-0.123,0.758,0.229,899.78,1.001,CNTO1275PSA3002,Psoriatic_arthritis,Diabetes : Asthma,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2529.62,0.999,CNTO1275PSA3002,Psoriatic_arthritis,Acid-related disease : Acid-related disease,YODA
0.06,Diabetes,Acid-related disease,-0.409,0.513,0.24,1444.74,1.001,CNTO1275PSA3002,Psoriatic_arthritis,Diabetes : Acid-related disease,YODA
1,Diabetes,Diabetes,1,1,0,2285.36,0.999,CNTO1275PSA3002,Psoriatic_arthritis,Diabetes : Diabetes,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,DIA3002,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
0.07,Pain,Cardiovascular,-0.143,0.29,0.112,2663.84,1,DIA3002,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
-0.18,Cardiovascular,Arthritis,-0.41,0.068,0.119,2741.12,1,DIA3002,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
0.02,Cardiovascular,Acid-related disease,-0.269,0.317,0.149,2489.12,1,DIA3002,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
0.37,Cardiovascular,Anxiety,0.13,0.589,0.118,3485.53,1,DIA3002,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
0.24,Cardiovascular,Asthma,-0.15,0.591,0.191,2739.95,1,DIA3002,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,2826.54,0.999,DIA3002,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
0.42,Pain,Arthritis,0.188,0.629,0.115,2499.26,1,DIA3002,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
0.29,Pain,Acid-related disease,-0.029,0.581,0.155,2028.16,1.001,DIA3002,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
0.32,Pain,Anxiety,0.04,0.576,0.138,2487.65,1,DIA3002,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
-0.18,Pain,Asthma,-0.666,0.338,0.265,1581.06,1.001,DIA3002,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,2731.58,0.999,DIA3002,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.32,Arthritis,Acid-related disease,-0.715,0.11,0.214,802.96,1.004,DIA3002,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
0.02,Arthritis,Anxiety,-0.304,0.346,0.169,1747.02,1,DIA3002,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
-0.37,Asthma,Arthritis,-0.839,0.211,0.272,1310.77,1.001,DIA3002,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,1861.54,0.999,DIA3002,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
0.03,Anxiety,Acid-related disease,-0.359,0.415,0.202,1174.96,1.002,DIA3002,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
0.2,Asthma,Acid-related disease,-0.303,0.644,0.244,2292.91,1,DIA3002,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,519.83,0.999,DIA3002,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
0.37,Asthma,Anxiety,-0.07,0.739,0.208,2530.95,1,DIA3002,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,316.63,0.999,DIA3002,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,DIA3005,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
-0.13,Pain,Cardiovascular,-0.319,0.047,0.094,1736.46,1.001,DIA3005,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
-0.24,Cardiovascular,Arthritis,-0.405,-0.063,0.088,2023.6,1,DIA3005,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
0.09,Cardiovascular,Acid-related disease,-0.162,0.321,0.124,1883.73,1,DIA3005,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
0.09,Cardiovascular,Anxiety,-0.16,0.341,0.128,1727.42,1,DIA3005,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
0.18,Cardiovascular,Asthma,-0.151,0.494,0.163,1496.68,1.001,DIA3005,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,3085.72,0.999,DIA3005,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
0.28,Pain,Arthritis,0.084,0.462,0.096,1553.51,1.002,DIA3005,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
0.03,Pain,Acid-related disease,-0.239,0.299,0.136,1358.01,1.002,DIA3005,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
0.14,Pain,Anxiety,-0.146,0.426,0.145,1253.93,1.004,DIA3005,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
-0.41,Pain,Asthma,-0.855,0.122,0.257,516.29,1.005,DIA3005,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,2690.67,0.999,DIA3005,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.49,Arthritis,Acid-related disease,-0.846,-0.123,0.19,447.37,1.002,DIA3005,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
0.07,Arthritis,Anxiety,-0.208,0.341,0.141,1404.66,1.003,DIA3005,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
-0.36,Asthma,Arthritis,-0.798,0.085,0.23,486.54,1.003,DIA3005,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2128.1,0.999,DIA3005,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
-0.34,Anxiety,Acid-related disease,-0.785,0.152,0.245,295.2,1.002,DIA3005,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
-0.06,Asthma,Acid-related disease,-0.563,0.393,0.246,542.16,1.001,DIA3005,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,2735.73,0.999,DIA3005,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
-0.18,Asthma,Anxiety,-0.739,0.339,0.279,473.3,1.004,DIA3005,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,277.7,0.999,DIA3005,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,DIA3006,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
0.03,Pain,Cardiovascular,-0.11,0.169,0.071,2005.73,1,DIA3006,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
0.1,Cardiovascular,Arthritis,-0.041,0.237,0.071,2334.91,1,DIA3006,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
0.18,Cardiovascular,Acid-related disease,0.017,0.348,0.085,1516.92,1.001,DIA3006,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
0.27,Cardiovascular,Anxiety,0.078,0.443,0.092,1933.06,1,DIA3006,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
0.15,Cardiovascular,Asthma,-0.077,0.368,0.114,1827.98,1.001,DIA3006,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,2616.51,0.999,DIA3006,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
0.17,Pain,Arthritis,-0.012,0.342,0.09,1219.35,1.001,DIA3006,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
0.28,Pain,Acid-related disease,0.084,0.47,0.1,1040.45,1.004,DIA3006,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
0.4,Pain,Anxiety,0.198,0.572,0.097,1631.52,1.002,DIA3006,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
0.08,Pain,Asthma,-0.209,0.372,0.149,1220.53,1.002,DIA3006,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,2901.33,0.999,DIA3006,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.51,Arthritis,Acid-related disease,-0.81,-0.132,0.178,243.49,1.004,DIA3006,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
0.13,Arthritis,Anxiety,-0.101,0.366,0.12,931.9,1.003,DIA3006,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
-0.06,Asthma,Arthritis,-0.368,0.25,0.158,897.01,0.999,DIA3006,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,631.26,0.999,DIA3006,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
0.31,Anxiety,Acid-related disease,0.067,0.528,0.121,1089.86,1,DIA3006,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
0.07,Asthma,Acid-related disease,-0.277,0.388,0.172,847.76,1.003,DIA3006,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,1927.52,0.999,DIA3006,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
0.34,Asthma,Anxiety,0.039,0.606,0.145,1600.43,1,DIA3006,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,2836.97,0.999,DIA3006,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,DIA3009,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
0.01,Pain,Cardiovascular,-0.11,0.132,0.062,1629.94,1.002,DIA3009,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
-0.03,Cardiovascular,Arthritis,-0.15,0.093,0.062,1624.36,1.001,DIA3009,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
0.26,Cardiovascular,Acid-related disease,0.129,0.388,0.066,1668.99,1.002,DIA3009,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
0.23,Cardiovascular,Anxiety,0.085,0.368,0.074,1548.08,0.999,DIA3009,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
