nct_id,Omega,comorbidity
NCT01106690,56,anxiety : asthma_COPD
NCT01106690,66,asthma_COPD : asthma_COPD
NCT01137812,11,CV : CV
NCT01137812,21,pain : CV
NCT01137812,31,arthritis : CV
NCT01137812,41,antacids : CV
NCT01137812,51,anxiety : CV
NCT01137812,61,asthma_COPD : CV
NCT01137812,12,CV : pain
NCT01137812,22,pain : pain
NCT01137812,32,arthritis : pain
NCT01137812,42,antacids : pain
NCT01137812,52,anxiety : pain
NCT01137812,62,asthma_COPD : pain
NCT01137812,13,CV : arthritis
NCT01137812,23,pain : arthritis
NCT01137812,33,arthritis : arthritis
NCT01137812,43,antacids : arthritis
NCT01137812,53,anxiety : arthritis
NCT01137812,63,asthma_COPD : arthritis
NCT01137812,14,CV : antacids
NCT01137812,24,pain : antacids
NCT01137812,34,arthritis : antacids
NCT01137812,44,antacids : antacids
NCT01137812,54,anxiety : antacids
NCT01137812,64,asthma_COPD : antacids
NCT01137812,15,CV : anxiety
NCT01137812,25,pain : anxiety
NCT01137812,35,arthritis : anxiety
NCT01137812,45,antacids : anxiety
NCT01137812,55,anxiety : anxiety
NCT01137812,65,asthma_COPD : anxiety
NCT01137812,16,CV : asthma_COPD
NCT01137812,26,pain : asthma_COPD
NCT01137812,36,arthritis : asthma_COPD
NCT01137812,46,antacids : asthma_COPD
NCT01137812,56,anxiety : asthma_COPD
NCT01137812,66,asthma_COPD : asthma_COPD
NCT00216593,11,pain : pain
NCT00216593,21,CV : pain
NCT00216593,31,anxiety : pain
NCT00216593,41,antacids : pain
NCT00216593,51,arthritis : pain
NCT00216593,61,osteoporosis : pain
NCT00216593,12,pain : CV
NCT00216593,22,CV : CV
NCT00216593,32,anxiety : CV
NCT00216593,42,antacids : CV
NCT00216593,52,arthritis : CV
NCT00216593,62,osteoporosis : CV
NCT00216593,13,pain : anxiety
NCT00216593,23,CV : anxiety
NCT00216593,33,anxiety : anxiety
NCT00216593,43,antacids : anxiety
NCT00216593,53,arthritis : anxiety
NCT00216593,63,osteoporosis : anxiety
NCT00216593,14,pain : antacids
NCT00216593,24,CV : antacids
NCT00216593,34,anxiety : antacids
NCT00216593,44,antacids : antacids
NCT00216593,54,arthritis : antacids
NCT00216593,64,osteoporosis : antacids
NCT00216593,15,pain : arthritis
NCT00216593,25,CV : arthritis
NCT00216593,35,anxiety : arthritis
NCT00216593,45,antacids : arthritis
NCT00216593,55,arthritis : arthritis
NCT00216593,65,osteoporosis : arthritis
NCT00216593,16,pain : osteoporosis
NCT00216593,26,CV : osteoporosis
NCT00216593,36,anxiety : osteoporosis
NCT00216593,46,antacids : osteoporosis
NCT00216593,56,arthritis : osteoporosis
NCT00216593,66,osteoporosis : osteoporosis
NCT00236431,11,pain : pain
NCT00236431,21,CV : pain
NCT00236431,31,anxiety : pain
NCT00236431,41,antacids : pain
NCT00236431,51,arthritis : pain
NCT00236431,61,osteoporosis : pain
NCT00236431,12,pain : CV
NCT00236431,22,CV : CV
NCT00236431,32,anxiety : CV
NCT00236431,42,antacids : CV
NCT00236431,52,arthritis : CV
NCT00236431,62,osteoporosis : CV
NCT00236431,13,pain : anxiety
NCT00236431,23,CV : anxiety
NCT00236431,33,anxiety : anxiety
NCT00236431,43,antacids : anxiety
NCT00236431,53,arthritis : anxiety
NCT00236431,63,osteoporosis : anxiety
NCT00236431,14,pain : antacids
NCT00236431,24,CV : antacids
NCT00236431,34,anxiety : antacids
NCT00236431,44,antacids : antacids
NCT00236431,54,arthritis : antacids
NCT00236431,64,osteoporosis : antacids
NCT00236431,15,pain : arthritis
NCT00236431,25,CV : arthritis
NCT00236431,35,anxiety : arthritis
NCT00236431,45,antacids : arthritis
NCT00236431,55,arthritis : arthritis
NCT00236431,65,osteoporosis : arthritis
NCT00236431,16,pain : osteoporosis
NCT00236431,26,CV : osteoporosis
NCT00236431,36,anxiety : osteoporosis
NCT00236431,46,antacids : osteoporosis
NCT00236431,56,arthritis : osteoporosis
NCT00236431,66,osteoporosis : osteoporosis
NCT00236574,11,pain : pain
NCT00236574,21,CV : pain
NCT00236574,31,anxiety : pain
NCT00236574,41,antacids : pain
NCT00236574,51,arthritis : pain
NCT00236574,61,osteoporosis : pain
NCT00236574,12,pain : CV
NCT00236574,22,CV : CV
NCT00236574,32,anxiety : CV
NCT00236574,42,antacids : CV
NCT00236574,52,arthritis : CV
NCT00236574,62,osteoporosis : CV
NCT00236574,13,pain : anxiety
NCT00236574,23,CV : anxiety
NCT00236574,33,anxiety : anxiety
NCT00236574,43,antacids : anxiety
NCT00236574,53,arthritis : anxiety
NCT00236574,63,osteoporosis : anxiety
NCT00236574,14,pain : antacids
NCT00236574,24,CV : antacids
NCT00236574,34,anxiety : antacids
NCT00236574,44,antacids : antacids
NCT00236574,54,arthritis : antacids
NCT00236574,64,osteoporosis : antacids
NCT00236574,15,pain : arthritis
NCT00236574,25,CV : arthritis
NCT00236574,35,anxiety : arthritis
NCT00236574,45,antacids : arthritis
NCT00236574,55,arthritis : arthritis
NCT00236574,65,osteoporosis : arthritis
NCT00236574,16,pain : osteoporosis
NCT00236574,26,CV : osteoporosis
NCT00236574,36,anxiety : osteoporosis
NCT00236574,46,antacids : osteoporosis
NCT00236574,56,arthritis : osteoporosis
NCT00236574,66,osteoporosis : osteoporosis
