,Cohort,Type of condition,nct_id,Indication,Pain,CV,Arthritis,Affective,Acid-related,Airways,Diabetes,Osteoporosis,Thyroid,Thromboembolic,Inflammatory,BPH,Gout,Glaucoma,Urological,ED,Antipsychotics,Epilepsy,Migraine,Parkinson,Dementia
142,TRIAL,Respiratory,NCT02236611,"Pulmonary Disease, Chronic Obstructive",8.5,59.1,8,9.9,9.3,,12.5,1.1,6.3,2.9,0.6,2.2,2.8,0.9,0.4,0.4,1.3,0.9,0.1,0.6,0.1
143,UKB,Respiratory,,"Pulmonary Disease, Chronic Obstructive",40.8,37.7,22.2,25.8,15.5,,8.1,5,6.3,3.4,5.2,2.9,2.1,1.3,2,1.2,1.5,1.8,1.3,0.5,0
144,SAIL,Respiratory,,"Pulmonary Disease, Chronic Obstructive",58.4,61.2,29.1,26.8,30.3,,12.5,11.4,10,8,10.7,7.1,4.2,4.1,3.8,3.2,2.6,2.3,1.5,1.2,0.3
145,TRIAL,Respiratory,NCT01335464,Pulmonary fibrosis,21.6,50.8,15.2,14.6,30.9,18.5,16.7,6,9.3,1,0,8.4,5.8,3.7,1.2,2.3,0.8,2.1,0.2,0.6,0.2
146,TRIAL,Respiratory,NCT01335477,Pulmonary fibrosis,19.9,48.3,15.5,14.8,29.5,24,19.3,4.6,9.1,0.2,0,6.9,4.4,3.5,1.1,3.1,2.2,0.7,0.2,1.6,1.1
147,UKB,Respiratory,,Pulmonary fibrosis,36.5,40.5,18.2,14.4,25.9,29.5,10.3,18.5,6.7,4.8,20.4,4.8,3.4,2.4,1.9,2.6,1.4,1.9,1.4,1,0
148,SAIL,Respiratory,,Pulmonary fibrosis,60.5,66.2,30.8,22,38.6,44.8,14,25.7,12.4,12.6,0,9.8,6.3,4.9,4.2,3.2,1.8,1.8,0.8,1.5,0.2
149,TRIAL,Urological,NCT00384930,Benign Prostatic Hyperplasia,12.4,44.5,24.8,8.2,9.6,5.2,7.7,0.2,4,0.7,6.1,,1.9,2.8,,32.1,0.5,0.7,0.9,0.9,0
150,TRIAL,Urological,NCT00827242,Benign Prostatic Hyperplasia,2.2,4.3,2.8,0.3,1.8,1.2,2.5,0.3,0,1.5,1.5,,0,0.3,,15.7,0.3,0.3,0,0,0
151,TRIAL,Urological,NCT00848081,Benign Prostatic Hyperplasia,13.5,86.5,27,11.9,16,8.8,14.2,0.9,11.3,3.1,6.3,,6.3,4.7,,30.8,0.3,0.9,1.9,0.6,2.2
152,TRIAL,Urological,NCT00861757,Benign Prostatic Hyperplasia,3,53.3,11.3,5.7,10.3,4.5,9.2,0,1.9,0,3.8,,5.4,1.4,,0,0.6,0,0,0,0.5
153,TRIAL,Urological,NCT00970632,Benign Prostatic Hyperplasia,2.5,50.9,4.3,1.4,5.7,2.3,11.4,0.6,2.3,2,2.2,,4.5,0.8,,12.7,0.2,0.2,0.2,0,0.6
154,UKB,Urological,,Benign Prostatic Hyperplasia,21.2,39.4,19.4,7.5,8.3,8.6,6,1.1,2.1,2.8,2.3,,2.6,1.8,,2.6,0.6,1.3,0.5,0.6,0
155,SAIL,Urological,,Benign Prostatic Hyperplasia,43.3,64.1,29.5,15.1,25.2,18.9,12.5,3.5,4.6,8.5,7.1,,5.9,5.5,,8.3,1.6,2.1,0.9,1.9,0.4
156,TRIAL,Urological,NCT00855582,Erectile dysfunction,7.8,44.1,12.4,5.4,7.8,5.1,11.4,1.2,5.1,0.8,2.6,,2.5,2.6,,,0.5,0.3,0.8,0.5,0.8
157,UKB,Urological,,Erectile dysfunction,26.4,45.9,19,10.9,8.2,11.4,18.8,1.5,2.7,2.6,3.2,,4.4,1.8,,,0.5,2.4,0.3,1.1,0
158,SAIL,Urological,,Erectile dysfunction,37.3,56.5,28.9,18.3,19.9,15.8,20.2,1.7,3.5,4.9,6.2,,5.3,2.8,,,1.9,1.8,0.9,1.1,0.1
