body_system,atc_code,reason_not_classified,terms
BISPHOSPHONATES,M05BA,,ALENDRONATE| ALENDRONATE SODIUM/CHOLECALCIFEROL| IBANDRONATE SODIUM| RISEDRONATE
ANALGESIC/OTHER DRUG COMBINATIONS,N02,,*ASPIRIN/*BUTALBITAL/*CAFFEINE/*CODEINE PHOSPHATE/*DOXYLAMINE/*PARACETAMOL/*SALICYLAMIDE| *ASPIRIN/*CAFFEINE/CODEINE PHOSPHATE/*MEPROBAMATE/PARACETAMOL/*PROMETHAZINE| *CAFFEINE/*CODEINE PHOSPHATE/*DIPHENHYDRAMINE/PARACETAMOL| *CAFFEINE/CODEINE PHOSPHATE/*MEPROBAMATE/PARACETAMOL/*PROMETHAZINE| *CODEINE PHOSPHATE/*DEXTROPROPOXYPHENE/*GLUTAMINE/PARACETAMOL/*PEMOLINE/*PROMETHAZINE| *CYANOCOBALAMIN/*DICLOFENAC/*DIPYRONE/*PARACETAMOL/PYRIDOXINE/THIAMINE| ANALGESIC/OTHER DRUG COMBINATIONS NOS| BUTALBITAL/CAFFEINE/CODEINE PHOSPHATE/PARACETAMOL| BUTALBITAL/CAFFEINE/PARACETAMOL| BUTALBITAL/PARACETAMOL
ANALGESICS,N02,,*CAFFEINE/CODEINE PHOSPHATE/PARACETAMOL| ANALGESIC NOS| CAFFEINE CITRATE/CODEINE PHOSPHATE/PARACETAMOL| CAFFEINE/CODEINE PHOSPHATE/MEPROBAMATE/PARACETAMOL| CAFFEINE/ERGOTAMINE TARTRATE/PARACETAMOL| CAJUPUT OIL/EUCALYPTOL/MENTHOL/METHYL SALICYLATE| CODEINE PHOSPHATE/IBUPROFEN| CODEINE PHOSPHATE/IBUPROFEN/PARACETAMOL| CODEINE PHOSPHATE/PARACETAMOL| DEXTROPROPOXYPHENE NOS/PARACETAMOL
"ANALGESICS,ANTI-ITCHINGS,ASTRIGENTS AND ANTI-INFLAMMATORY",N02,,"ANALGESICS,ANTI-ITCHINGS,ASTRIGENTS AND ANTI-INFLAMMATORY| DIFLORASONE DIACETATE| PREDNISOLONE FARNESYLATE"
OPIOID ANALGESICS,N02A,,CODEINE/CODEINE SULFATE| HYDROCODONE NOS| NALOXONE/PENTAZOCINE HYDROCHLORIDE| PARACETAMOL/PENTAZOCINE HYDROCHLORIDE
ANTIMIGRAINE AGENTS,N02C,,DICHLORALPHENAZONE/ISOMETHEPTENE MUCATE/PARACETAMOL
ANTIMIGRAINE AGENTS NEC,N02C,,DICHLORALPHENAZONE/ISOMETHEPTENE MUCATE/PARACETAMOL
5-HT1 AGONISTS,N02CC07,,FROVATRIPTAN SUCCINATE
DOPAMINERGIC AGENTS,N04B,,PRAMIPEXOLE HYDROCHLORIDE
"HYPNOTICS AND SEDATIVES, ANTIANXIETICS","N05B, N05C",,TANDOSPIRONE CITRATE
SEDATIVES AND HYPNOTICS,N05C,,BUTALBITAL/CAFFEINE
ANTIDEPRESSANTS NEC,N06A,,ATOMOXETINE HYDROCHLORIDE
TRICYCLIC ANTIDEPRESSANTS,N06AA,,IMIPRAMINE PAMOATE
ANOREXIANTS AND CNS STIMULANTS,N06B,,AMPHETAMINE ASPARTATE/AMPHETAMINE SULFATE/DEXTROAMPHETAMINE SACCHARATE/DEXTROAMPHETAMINE SULFATE| DEANOL ACEGLUMATE/GINSENG/TRACE ELEMENTS/VITAMIN| DIETHYLPROPION HYDROCHLORIDE| LISDEXAMFETAMINE MESILATE| PHENDIMETRAZINE TARTRATE
OPIOID ANTAGONISTS,N07BC,,BUPRENORPHINE HYDROCHLORIDE/NALOXONE HYDROCHLORIDE
BRONCHODILATORS AND ANTIASTHMATICS,R03,,BECLOMETASONE DIPROPIONATE/FORMOTEROL FUMARATE| BUDESONIDE/FORMOTEROL FUMARATE| FLUTICASONE PROPIONATE/SALMETEROL XINAFOATE| FLUTICASONE/SALMETEROL XINAFOATE| IPRATROPIUM BROMIDE/SALBUTAMOL/SALBUTAMOL SULFATE| LEVOSALBUTAMOL HYDROCHLORIDE/LEVOSALBUTAMOL TARTRATE| REPROTEROL HYDROCHLORIDE| SALBUTAMOL/SALBUTAMOL SULFATE| SODIUM CROMOGLYCATE
ANTIHISTAMINES,R06,,*ACRIVASTINE/*AMMONIUM CHLORIDE/*CALAMINE/*CAMPHOR/*CODEINE PHOSPHATE/*DIPHENHYDRAMINE/*MENTHOL/*SODIUM CITRATE/*ZINC...| CETIRIZINE HYDROCHLORIDE/PSEUDOEPHEDRINE HYDROCHLORIDE| D-CHLORPHENIRAMINE MALEATE| DIMENHYDRINATE OR MECLOZINE| DIPHENHYDRAMINE DIACEFYLLINATE| DIPHENHYDRAMINE NOS| FEXOFENADINE HYDROCHLORIDE/PSEUDOEPHEDRINE HYDROCHLORIDE
AGENTS FOR OPHTHALMIC USE,S01,,NIPRADILOL| TRANILAST
OPHTHALMIC PREPARATIONS,S01,,"*HYDROXYPROPYL GUAR GUM/*MACROGOL/*PROPYLENE GLYCOL| AZAPENTACENE| CARBOMER 940| CARBOMER 940/CETRIMIDE| CARMELLOSE| DEXTRAN 70/GLYCEROL/HYPROMELLOSE| DEXTRAN 70/HYDROXYPROPYL METHYLCELLULOSE| DEXTRAN 70/HYPROMELLOSE| EYE DROPS NOS| GLYCEROL/POTASSIUM CHLORIDE/SODIUM CHLORIDE/SODIUM PHOSPHATE, DIBASIC"
ANTIGLAUCOMA AGENTS,S01E,,BRIMONIDINE TARTRATE/TIMOLOL MALEATE| TIMOLOL MALEATE/TRAVOPROST
CHELATING AGENTS,V03AC,,EDETIC ACID
