mean,Var1,Var2,ci2.5,ci97.5,sd,n_eff,rhat,trial,condition,comorbidity,repo
1,Arthritis,Arthritis,1,1,0,2867.62,0.999,BI502_256,Hypertension,Arthritis : Arthritis,Vivli
-0.57,Arthritis,Acid-related disease,-0.841,-0.21,0.163,271.73,1.008,BI502_256,Hypertension,Arthritis : Acid-related disease,Vivli
0.17,Arthritis,Anxiety,-0.05,0.374,0.111,1329.85,1.001,BI502_256,Hypertension,Arthritis : Anxiety,Vivli
0.25,Asthma,Arthritis,-0.065,0.535,0.153,2013.06,1.002,BI502_256,Hypertension,Asthma : Arthritis,Vivli
-0.28,Diabetes,Arthritis,-0.518,-0.009,0.133,511.21,1.008,BI502_256,Hypertension,Diabetes : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2469.58,0.999,BI502_256,Hypertension,Acid-related disease : Acid-related disease,Vivli
0.2,Anxiety,Acid-related disease,-0.072,0.462,0.137,859.35,1.004,BI502_256,Hypertension,Anxiety : Acid-related disease,Vivli
0.28,Asthma,Acid-related disease,-0.089,0.62,0.185,904.26,1.001,BI502_256,Hypertension,Asthma : Acid-related disease,Vivli
0.04,Diabetes,Acid-related disease,-0.258,0.356,0.159,659.88,1.004,BI502_256,Hypertension,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2048.76,0.999,BI502_256,Hypertension,Anxiety : Anxiety,Vivli
0.34,Asthma,Anxiety,-0,0.636,0.164,1365.46,1.004,BI502_256,Hypertension,Asthma : Anxiety,Vivli
0.09,Diabetes,Anxiety,-0.198,0.376,0.145,1503.41,1.002,BI502_256,Hypertension,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,1791.31,0.999,BI502_256,Hypertension,Asthma : Asthma,Vivli
-0.3,Diabetes,Asthma,-0.77,0.228,0.255,293.64,1,BI502_256,Hypertension,Diabetes : Asthma,Vivli
1,Diabetes,Diabetes,1,1,0,2302,0.999,BI502_256,Hypertension,Diabetes : Diabetes,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI502_316,Hypertension,Pain : Pain,Vivli
-0.01,Pain,Arthritis,-0.746,0.707,0.385,632.43,1.002,BI502_316,Hypertension,Pain : Arthritis,Vivli
-0,Pain,Acid-related disease,-0.718,0.735,0.392,598.22,1.005,BI502_316,Hypertension,Pain : Acid-related disease,Vivli
0.01,Pain,Anxiety,-0.669,0.667,0.361,349.79,1.011,BI502_316,Hypertension,Pain : Anxiety,Vivli
-0,Pain,Asthma,-0.689,0.724,0.379,2218.23,1,BI502_316,Hypertension,Pain : Asthma,Vivli
0.02,Pain,Diabetes,-0.708,0.702,0.377,810.52,1.004,BI502_316,Hypertension,Pain : Diabetes,Vivli
1,Arthritis,Arthritis,1,1,0,2717.46,0.999,BI502_316,Hypertension,Arthritis : Arthritis,Vivli
-0.14,Arthritis,Acid-related disease,-0.745,0.459,0.323,1285.94,1.001,BI502_316,Hypertension,Arthritis : Acid-related disease,Vivli
-0.27,Arthritis,Anxiety,-0.764,0.246,0.264,539.02,1.002,BI502_316,Hypertension,Arthritis : Anxiety,Vivli
-0.02,Asthma,Arthritis,-0.702,0.618,0.353,2566.95,1.001,BI502_316,Hypertension,Asthma : Arthritis,Vivli
-0.08,Diabetes,Arthritis,-0.685,0.51,0.32,1195.12,0.999,BI502_316,Hypertension,Diabetes : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2846.87,0.999,BI502_316,Hypertension,Acid-related disease : Acid-related disease,Vivli
0.25,Anxiety,Acid-related disease,-0.182,0.614,0.208,919.04,1,BI502_316,Hypertension,Anxiety : Acid-related disease,Vivli
-0.04,Asthma,Acid-related disease,-0.727,0.637,0.361,3119.92,0.999,BI502_316,Hypertension,Asthma : Acid-related disease,Vivli
-0.11,Diabetes,Acid-related disease,-0.745,0.536,0.345,1034.48,1.002,BI502_316,Hypertension,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2592.92,0.999,BI502_316,Hypertension,Anxiety : Anxiety,Vivli
-0.06,Asthma,Anxiety,-0.72,0.559,0.343,2883,1,BI502_316,Hypertension,Asthma : Anxiety,Vivli
-0.18,Diabetes,Anxiety,-0.73,0.347,0.287,1438.85,1,BI502_316,Hypertension,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,1264.34,0.999,BI502_316,Hypertension,Asthma : Asthma,Vivli
-0.01,Diabetes,Asthma,-0.7,0.632,0.357,1377.37,1.002,BI502_316,Hypertension,Diabetes : Asthma,Vivli
1,Diabetes,Diabetes,1,1,0,573.61,0.999,BI502_316,Hypertension,Diabetes : Diabetes,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI502_317,Hypertension,Pain : Pain,Vivli
0.41,Pain,Arthritis,0.059,0.709,0.171,2720.98,1,BI502_317,Hypertension,Pain : Arthritis,Vivli
-0.19,Pain,Acid-related disease,-0.768,0.418,0.311,1521.02,1.001,BI502_317,Hypertension,Pain : Acid-related disease,Vivli
0.12,Pain,Anxiety,-0.265,0.473,0.19,1325.2,1.002,BI502_317,Hypertension,Pain : Anxiety,Vivli
-0.17,Pain,Asthma,-0.764,0.447,0.325,1220.47,1.002,BI502_317,Hypertension,Pain : Asthma,Vivli
-0.11,Pain,Diabetes,-0.748,0.499,0.328,1229.31,1.002,BI502_317,Hypertension,Pain : Diabetes,Vivli
1,Arthritis,Arthritis,1,1,0,2910.15,0.999,BI502_317,Hypertension,Arthritis : Arthritis,Vivli
-0.13,Arthritis,Acid-related disease,-0.691,0.455,0.304,1171.99,1.001,BI502_317,Hypertension,Arthritis : Acid-related disease,Vivli
-0.21,Arthritis,Anxiety,-0.688,0.288,0.251,722.54,1.001,BI502_317,Hypertension,Arthritis : Anxiety,Vivli
-0.11,Asthma,Arthritis,-0.719,0.478,0.318,1457.3,1.001,BI502_317,Hypertension,Asthma : Arthritis,Vivli
-0.07,Diabetes,Arthritis,-0.696,0.501,0.317,1075.1,1,BI502_317,Hypertension,Diabetes : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2829.69,0.999,BI502_317,Hypertension,Acid-related disease : Acid-related disease,Vivli
-0.22,Anxiety,Acid-related disease,-0.771,0.297,0.275,554.06,1.003,BI502_317,Hypertension,Anxiety : Acid-related disease,Vivli
-0.05,Asthma,Acid-related disease,-0.666,0.525,0.317,1534.58,1,BI502_317,Hypertension,Asthma : Acid-related disease,Vivli
-0.03,Diabetes,Acid-related disease,-0.673,0.573,0.33,1529.78,1.001,BI502_317,Hypertension,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2217.43,0.999,BI502_317,Hypertension,Anxiety : Anxiety,Vivli
-0.18,Asthma,Anxiety,-0.743,0.382,0.296,1691.82,1.001,BI502_317,Hypertension,Asthma : Anxiety,Vivli
-0.12,Diabetes,Anxiety,-0.736,0.454,0.316,1556.68,1.003,BI502_317,Hypertension,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2726.22,0.999,BI502_317,Hypertension,Asthma : Asthma,Vivli
-0.02,Diabetes,Asthma,-0.685,0.558,0.333,1429.99,1.003,BI502_317,Hypertension,Diabetes : Asthma,Vivli
1,Diabetes,Diabetes,1,1,0,2618.28,0.999,BI502_317,Hypertension,Diabetes : Diabetes,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI502_327,Hypertension,Pain : Pain,Vivli
0.17,Pain,Arthritis,-0.008,0.339,0.088,1808.95,1,BI502_327,Hypertension,Pain : Arthritis,Vivli
0.02,Pain,Acid-related disease,-0.213,0.25,0.118,1362.53,1,BI502_327,Hypertension,Pain : Acid-related disease,Vivli
0.06,Pain,Anxiety,-0.179,0.29,0.121,1897.39,0.999,BI502_327,Hypertension,Pain : Anxiety,Vivli
-0.07,Pain,Asthma,-0.356,0.207,0.148,1751.96,1.001,BI502_327,Hypertension,Pain : Asthma,Vivli
-0.04,Pain,Diabetes,-0.296,0.212,0.13,1278.92,1,BI502_327,Hypertension,Pain : Diabetes,Vivli
1,Arthritis,Arthritis,1,1,0,2653.88,0.999,BI502_327,Hypertension,Arthritis : Arthritis,Vivli
-0.65,Arthritis,Acid-related disease,-0.898,-0.336,0.147,228.28,1.02,BI502_327,Hypertension,Arthritis : Acid-related disease,Vivli
0.16,Arthritis,Anxiety,-0.059,0.38,0.114,1356.66,1.003,BI502_327,Hypertension,Arthritis : Anxiety,Vivli
-0.02,Asthma,Arthritis,-0.277,0.258,0.139,1297.16,1.002,BI502_327,Hypertension,Asthma : Arthritis,Vivli
-0.08,Diabetes,Arthritis,-0.333,0.167,0.129,862.45,1.008,BI502_327,Hypertension,Diabetes : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,1914.67,0.999,BI502_327,Hypertension,Acid-related disease : Acid-related disease,Vivli
0.12,Anxiety,Acid-related disease,-0.154,0.373,0.134,1021.35,1,BI502_327,Hypertension,Anxiety : Acid-related disease,Vivli
0.24,Asthma,Acid-related disease,-0.041,0.5,0.137,1316.39,1.002,BI502_327,Hypertension,Asthma : Acid-related disease,Vivli
-0.13,Diabetes,Acid-related disease,-0.443,0.175,0.159,396.49,1.004,BI502_327,Hypertension,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2902.39,0.999,BI502_327,Hypertension,Anxiety : Anxiety,Vivli
0.24,Asthma,Anxiety,-0.07,0.521,0.151,901.9,1.001,BI502_327,Hypertension,Asthma : Anxiety,Vivli
-0.48,Diabetes,Anxiety,-0.86,-0.019,0.225,292.89,1.008,BI502_327,Hypertension,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2761.43,0.999,BI502_327,Hypertension,Asthma : Asthma,Vivli
0.17,Diabetes,Asthma,-0.159,0.483,0.168,694.05,1.006,BI502_327,Hypertension,Diabetes : Asthma,Vivli
1,Diabetes,Diabetes,1,1,0,1675.96,0.999,BI502_327,Hypertension,Diabetes : Diabetes,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI502_376,Hypertension,Pain : Pain,Vivli
0.28,Pain,Arthritis,0.057,0.49,0.111,1640.96,1,BI502_376,Hypertension,Pain : Arthritis,Vivli
0.21,Pain,Acid-related disease,-0.095,0.494,0.15,1448.53,1.002,BI502_376,Hypertension,Pain : Acid-related disease,Vivli
0.18,Pain,Anxiety,-0.049,0.405,0.118,1305.42,1.001,BI502_376,Hypertension,Pain : Anxiety,Vivli
0.25,Pain,Asthma,-0.032,0.495,0.132,1500.65,1.001,BI502_376,Hypertension,Pain : Asthma,Vivli
0.1,Pain,Diabetes,-0.174,0.36,0.137,1255.71,1.002,BI502_376,Hypertension,Pain : Diabetes,Vivli
1,Arthritis,Arthritis,1,1,0,2969.38,0.999,BI502_376,Hypertension,Arthritis : Arthritis,Vivli
-0.42,Arthritis,Acid-related disease,-0.746,-0.016,0.189,276.37,1.023,BI502_376,Hypertension,Arthritis : Acid-related disease,Vivli
0.29,Arthritis,Anxiety,0.067,0.488,0.111,1426.6,1.001,BI502_376,Hypertension,Arthritis : Anxiety,Vivli
0.3,Asthma,Arthritis,0.041,0.531,0.128,1383.66,1.001,BI502_376,Hypertension,Asthma : Arthritis,Vivli
0.2,Diabetes,Arthritis,-0.05,0.457,0.13,1257.57,1,BI502_376,Hypertension,Diabetes : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2916.21,0.999,BI502_376,Hypertension,Acid-related disease : Acid-related disease,Vivli
0.19,Anxiety,Acid-related disease,-0.095,0.475,0.148,647.95,1.005,BI502_376,Hypertension,Anxiety : Acid-related disease,Vivli
0.12,Asthma,Acid-related disease,-0.245,0.454,0.178,664.26,1,BI502_376,Hypertension,Asthma : Acid-related disease,Vivli
-0.03,Diabetes,Acid-related disease,-0.39,0.337,0.188,497.11,1.004,BI502_376,Hypertension,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2828.61,0.999,BI502_376,Hypertension,Anxiety : Anxiety,Vivli
0.01,Asthma,Anxiety,-0.285,0.301,0.153,1426.65,1.002,BI502_376,Hypertension,Asthma : Anxiety,Vivli
-0,Diabetes,Anxiety,-0.301,0.29,0.151,1496.31,1.001,BI502_376,Hypertension,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2846.54,0.999,BI502_376,Hypertension,Asthma : Asthma,Vivli
-0.02,Diabetes,Asthma,-0.382,0.321,0.181,1016.15,1.002,BI502_376,Hypertension,Diabetes : Asthma,Vivli
1,Diabetes,Diabetes,1,1,0,2535.02,0.999,BI502_376,Hypertension,Diabetes : Diabetes,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI502_391,Hypertension,Pain : Pain,Vivli
0.24,Pain,Arthritis,0.108,0.379,0.071,1620.12,1.001,BI502_391,Hypertension,Pain : Arthritis,Vivli
0.03,Pain,Acid-related disease,-0.159,0.215,0.096,1275.37,1,BI502_391,Hypertension,Pain : Acid-related disease,Vivli
0.3,Pain,Anxiety,0.141,0.447,0.078,1568.89,1.001,BI502_391,Hypertension,Pain : Anxiety,Vivli
0.18,Pain,Asthma,-0.039,0.373,0.105,2006.58,0.999,BI502_391,Hypertension,Pain : Asthma,Vivli
0.01,Pain,Diabetes,-0.229,0.247,0.122,1118.32,1.001,BI502_391,Hypertension,Pain : Diabetes,Vivli
1,Arthritis,Arthritis,1,1,0,2932.24,0.999,BI502_391,Hypertension,Arthritis : Arthritis,Vivli
-0.64,Arthritis,Acid-related disease,-0.85,-0.377,0.122,228.43,1.005,BI502_391,Hypertension,Arthritis : Acid-related disease,Vivli
0.25,Arthritis,Anxiety,0.09,0.4,0.081,875.93,1.002,BI502_391,Hypertension,Arthritis : Anxiety,Vivli
0.05,Asthma,Arthritis,-0.16,0.249,0.105,1082.57,1.002,BI502_391,Hypertension,Asthma : Arthritis,Vivli
-0.18,Diabetes,Arthritis,-0.42,0.069,0.127,573.54,1.002,BI502_391,Hypertension,Diabetes : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2951.14,0.999,BI502_391,Hypertension,Acid-related disease : Acid-related disease,Vivli
0.12,Anxiety,Acid-related disease,-0.074,0.322,0.1,823.06,1.005,BI502_391,Hypertension,Anxiety : Acid-related disease,Vivli
0.07,Asthma,Acid-related disease,-0.178,0.314,0.127,442.46,1.014,BI502_391,Hypertension,Asthma : Acid-related disease,Vivli
-0.13,Diabetes,Acid-related disease,-0.412,0.17,0.151,446.28,1.003,BI502_391,Hypertension,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,1691.95,0.999,BI502_391,Hypertension,Anxiety : Anxiety,Vivli
-0.04,Asthma,Anxiety,-0.287,0.217,0.128,1337.75,1.001,BI502_391,Hypertension,Asthma : Anxiety,Vivli
0.19,Diabetes,Anxiety,-0.057,0.427,0.123,1264.8,1.003,BI502_391,Hypertension,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2605.78,0.999,BI502_391,Hypertension,Asthma : Asthma,Vivli
-0.02,Diabetes,Asthma,-0.356,0.302,0.172,904.52,1.003,BI502_391,Hypertension,Diabetes : Asthma,Vivli
1,Diabetes,Diabetes,1,1,0,2448.55,0.999,BI502_391,Hypertension,Diabetes : Diabetes,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI502_392,Hypertension,Pain : Pain,Vivli
0.32,Pain,Arthritis,0.205,0.435,0.059,2042.07,0.999,BI502_392,Hypertension,Pain : Arthritis,Vivli
0.19,Pain,Acid-related disease,0.035,0.346,0.08,1265.24,1.003,BI502_392,Hypertension,Pain : Acid-related disease,Vivli
0.12,Pain,Anxiety,-0.042,0.265,0.079,1486.31,1.001,BI502_392,Hypertension,Pain : Anxiety,Vivli
0.18,Pain,Asthma,0.004,0.36,0.091,2121.97,0.999,BI502_392,Hypertension,Pain : Asthma,Vivli
-0.09,Pain,Diabetes,-0.276,0.095,0.095,1484.93,1.003,BI502_392,Hypertension,Pain : Diabetes,Vivli
1,Arthritis,Arthritis,1,1,0,2636.42,0.999,BI502_392,Hypertension,Arthritis : Arthritis,Vivli
-0.69,Arthritis,Acid-related disease,-0.836,-0.513,0.084,193.94,1.028,BI502_392,Hypertension,Arthritis : Acid-related disease,Vivli
0.34,Arthritis,Anxiety,0.201,0.474,0.068,1026.33,1,BI502_392,Hypertension,Arthritis : Anxiety,Vivli
0.02,Asthma,Arthritis,-0.171,0.195,0.093,833.75,1.002,BI502_392,Hypertension,Asthma : Arthritis,Vivli
-0.07,Diabetes,Arthritis,-0.235,0.1,0.085,840.52,1.001,BI502_392,Hypertension,Diabetes : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,3098.8,0.999,BI502_392,Hypertension,Acid-related disease : Acid-related disease,Vivli
0.02,Anxiety,Acid-related disease,-0.17,0.23,0.104,504.36,1.001,BI502_392,Hypertension,Anxiety : Acid-related disease,Vivli
0.14,Asthma,Acid-related disease,-0.079,0.356,0.113,408.97,1.001,BI502_392,Hypertension,Asthma : Acid-related disease,Vivli
-0.07,Diabetes,Acid-related disease,-0.316,0.184,0.125,335.86,1.01,BI502_392,Hypertension,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2709.6,0.999,BI502_392,Hypertension,Anxiety : Anxiety,Vivli
0.22,Asthma,Anxiety,0.012,0.406,0.1,1863.94,0.999,BI502_392,Hypertension,Asthma : Anxiety,Vivli
-0.08,Diabetes,Anxiety,-0.291,0.132,0.108,1428.1,1.001,BI502_392,Hypertension,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2959.98,0.999,BI502_392,Hypertension,Asthma : Asthma,Vivli
-0.05,Diabetes,Asthma,-0.33,0.218,0.142,1067.81,1.001,BI502_392,Hypertension,Diabetes : Asthma,Vivli
1,Diabetes,Diabetes,1,1,0,2980.3,0.999,BI502_392,Hypertension,Diabetes : Diabetes,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI502_396,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,Vivli
0.15,Pain,Cardiovascular,-0.142,0.456,0.153,270.37,1.003,BI502_396,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,Vivli
0.06,Cardiovascular,Arthritis,-0.294,0.407,0.18,290.36,1.002,BI502_396,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,Vivli
-0.21,Cardiovascular,Acid-related disease,-0.429,0.02,0.118,629.37,1.004,BI502_396,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,Vivli
-0.28,Cardiovascular,Anxiety,-0.489,-0.04,0.117,632.21,1,BI502_396,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,Vivli
-0.04,Cardiovascular,Asthma,-0.41,0.335,0.191,509.17,1.006,BI502_396,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,Vivli
1,Pain,Pain,1,1,0,2882.59,0.999,BI502_396,Diabetes_Mellitus_Type_2,Pain : Pain,Vivli
0.49,Pain,Arthritis,0.319,0.647,0.083,1229.06,1.001,BI502_396,Diabetes_Mellitus_Type_2,Pain : Arthritis,Vivli
-0.05,Pain,Acid-related disease,-0.238,0.132,0.093,977.08,1.001,BI502_396,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,Vivli
0.2,Pain,Anxiety,0.018,0.374,0.093,1296.53,1.003,BI502_396,Diabetes_Mellitus_Type_2,Pain : Anxiety,Vivli
0.08,Pain,Asthma,-0.179,0.329,0.131,729.66,1.006,BI502_396,Diabetes_Mellitus_Type_2,Pain : Asthma,Vivli
1,Arthritis,Arthritis,1,1,0,2820.59,0.999,BI502_396,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,Vivli
-0.23,Arthritis,Acid-related disease,-0.498,0.066,0.146,290.85,1.012,BI502_396,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,Vivli
0.21,Arthritis,Anxiety,-0.005,0.42,0.108,865.22,1.003,BI502_396,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,Vivli
0.08,Asthma,Arthritis,-0.232,0.387,0.157,681.12,1.002,BI502_396,Diabetes_Mellitus_Type_2,Asthma : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,1807.65,0.999,BI502_396,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,Vivli
0.11,Anxiety,Acid-related disease,-0.086,0.288,0.095,838.81,1.007,BI502_396,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,Vivli
0.09,Asthma,Acid-related disease,-0.175,0.342,0.133,1001.99,1.001,BI502_396,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2864.39,0.999,BI502_396,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,Vivli
-0.11,Asthma,Anxiety,-0.421,0.203,0.159,597.54,1.004,BI502_396,Diabetes_Mellitus_Type_2,Asthma : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2295.88,0.999,BI502_396,Diabetes_Mellitus_Type_2,Asthma : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI502_397,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,Vivli
0.17,Pain,Cardiovascular,-0.034,0.364,0.103,479.49,1.008,BI502_397,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,Vivli
0.09,Cardiovascular,Arthritis,-0.114,0.29,0.103,606.86,1.004,BI502_397,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,Vivli
0.15,Cardiovascular,Acid-related disease,-0.049,0.35,0.103,253.78,1.017,BI502_397,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,Vivli
0.24,Cardiovascular,Anxiety,0.032,0.435,0.102,403.17,1.007,BI502_397,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,Vivli
0.26,Cardiovascular,Asthma,-0.028,0.575,0.154,281.1,1.003,BI502_397,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,Vivli
1,Pain,Pain,1,1,0,3135.65,0.999,BI502_397,Diabetes_Mellitus_Type_2,Pain : Pain,Vivli
0.3,Pain,Arthritis,0.165,0.431,0.069,1033.35,1,BI502_397,Diabetes_Mellitus_Type_2,Pain : Arthritis,Vivli
0.21,Pain,Acid-related disease,0.067,0.348,0.072,553.47,1.008,BI502_397,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,Vivli
0.27,Pain,Anxiety,0.137,0.402,0.067,1086.29,1.001,BI502_397,Diabetes_Mellitus_Type_2,Pain : Anxiety,Vivli
0.21,Pain,Asthma,0.032,0.377,0.087,1640.31,0.999,BI502_397,Diabetes_Mellitus_Type_2,Pain : Asthma,Vivli
1,Arthritis,Arthritis,1,1,0,2932.79,0.999,BI502_397,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,Vivli
-0.68,Arthritis,Acid-related disease,-0.843,-0.47,0.096,117.76,1.015,BI502_397,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,Vivli
0.14,Arthritis,Anxiety,-0.011,0.277,0.073,344.83,1.011,BI502_397,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,Vivli
0.18,Asthma,Arthritis,-0.006,0.349,0.091,405.78,1.014,BI502_397,Diabetes_Mellitus_Type_2,Asthma : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,145.63,0.999,BI502_397,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,Vivli
0.24,Anxiety,Acid-related disease,0.101,0.361,0.067,687.4,1.004,BI502_397,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,Vivli
0.05,Asthma,Acid-related disease,-0.139,0.241,0.097,458.6,1.006,BI502_397,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2551.61,0.999,BI502_397,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,Vivli
0.19,Asthma,Anxiety,0.011,0.36,0.09,1997.04,1,BI502_397,Diabetes_Mellitus_Type_2,Asthma : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2853.7,0.999,BI502_397,Diabetes_Mellitus_Type_2,Asthma : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI502_413,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,Vivli
-0.03,Pain,Cardiovascular,-0.344,0.293,0.165,3696.83,0.999,BI502_413,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,Vivli
0.25,Cardiovascular,Arthritis,0.077,0.414,0.086,3223.67,1,BI502_413,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,Vivli
-0.05,Cardiovascular,Acid-related disease,-0.221,0.118,0.087,2126.58,1,BI502_413,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,Vivli
0.22,Cardiovascular,Anxiety,0.021,0.422,0.102,2390.12,1,BI502_413,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,Vivli
0.17,Cardiovascular,Asthma,-0.118,0.432,0.139,2794.54,1,BI502_413,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,Vivli
1,Pain,Pain,1,1,0,3043.29,0.999,BI502_413,Diabetes_Mellitus_Type_2,Pain : Pain,Vivli
0.31,Pain,Arthritis,-0.012,0.61,0.16,601.15,1.003,BI502_413,Diabetes_Mellitus_Type_2,Pain : Arthritis,Vivli
-0.35,Pain,Acid-related disease,-0.779,0.123,0.239,233.27,1.005,BI502_413,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,Vivli
0.04,Pain,Anxiety,-0.397,0.451,0.22,459.93,1.001,BI502_413,Diabetes_Mellitus_Type_2,Pain : Anxiety,Vivli
0.21,Pain,Asthma,-0.243,0.592,0.217,774.63,1.008,BI502_413,Diabetes_Mellitus_Type_2,Pain : Asthma,Vivli
1,Arthritis,Arthritis,1,1,0,2465.53,0.999,BI502_413,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,Vivli
-0.64,Arthritis,Acid-related disease,-0.864,-0.35,0.132,353.37,1.009,BI502_413,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,Vivli
0.23,Arthritis,Anxiety,0.025,0.434,0.105,1896.2,1,BI502_413,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,Vivli
0.17,Asthma,Arthritis,-0.118,0.439,0.145,1838.1,1.001,BI502_413,Diabetes_Mellitus_Type_2,Asthma : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2317.33,0.999,BI502_413,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,Vivli
0.13,Anxiety,Acid-related disease,-0.105,0.345,0.117,1376.31,1.001,BI502_413,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,Vivli
0.07,Asthma,Acid-related disease,-0.231,0.361,0.152,1437.55,1.001,BI502_413,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2665.88,0.999,BI502_413,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,Vivli
0.04,Asthma,Anxiety,-0.302,0.363,0.17,1882.56,1,BI502_413,Diabetes_Mellitus_Type_2,Asthma : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,1714.11,0.999,BI502_413,Diabetes_Mellitus_Type_2,Asthma : Asthma,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI502_550,Hypertension,Pain : Pain,Vivli
0.43,Pain,Arthritis,0.243,0.591,0.089,1490.52,0.999,BI502_550,Hypertension,Pain : Arthritis,Vivli
0.51,Pain,Acid-related disease,0.31,0.684,0.096,1379.12,1,BI502_550,Hypertension,Pain : Acid-related disease,Vivli
0.39,Pain,Anxiety,0.197,0.57,0.096,1151.43,1.001,BI502_550,Hypertension,Pain : Anxiety,Vivli
